gisco_id,name,registered,turnout,invalid,blank,DZMH,Kučera,HSS,SMU,ASH,LH,DSU-SN,HČSP-HKDU,HDRS,HDSS-HDC-DPS,HDZ,HGSS-HKDS,HNS-SBHS,HPS,HRZ,HSLS-DC,HSP,HSP1861,HSU,HB-HIP,HDS,HP (2005),HR,NL [Neovisna lista],Zec,POL-INS,SDP,SRP,DSRS,SHB,ZS-Zeleni-SND-SNA,Zeleni HR,Kuzhnini,ZAOBŽ,Reçica,SSDRH,Tabaković,SDA,Alijansa,HRS,HDS-HKDS-HGSS,HND,Levaković,SDP-LIBRA,DGS,HDSS,HNS,HPSS-1904,HSP-ZDS-MS,SDU,HES,HNS-PGS,HDS-HDRS,Pavlek,ZS-SNA-PGSU-Zeleni-SND,HDRS-HDS-JHS,HGSS,HKDS,HDD,HP (2000),KSU,Antić,Živković,Maslina,RUSNAK,RiU-Z,RiU-O,LS,TB-SU,NNZ/DG,Memedi [Nazif Memedi],KUD-V,NSNH,SRURH,Ukrajina-SB,SSRH,SBHS-PGS,LIBRA,DSU,HPS-HP,Adamović,SDP-LS,Bakula,SDSS,SNS,HSP-ZDS,ASH-JS,SDP-LIBRA-LS,SHP,DSZ,HGSS-HDS,Petter,PPS,ZSR,U.P.D.K.,Bognolo,FDI,Poropat,Radin,DAN,HČSP-HKDU-HDSS,Ciganović,SDP-IDS
HR_00345,Brdovec,9081,6025,140,0,0,0,764,0,35,20,39,36,0,0,1958,20,0,13,11,166,0,63,195,28,0,3,2,69,0,12,1474,23,0,20,51,38,1,0,0,4,0,0,8,18,0,17,0,0,4,0,281,23,0,6,7,0,34,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,301,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HR_00353,Brestovac,4396,2354,78,0,0,0,245,0,10,20,3,33,7,36,966,13,100,11,2,81,98,18,66,6,7,2,1,5,208,1,228,11,11,1,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,40,0,0,0,0,0,0,0,13,7,1,0,0,0,0,0,0,0,0
HR_00361,Breznica,1929,1275,37,0,0,0,324,0,0,1,1,6,0,0,381,16,0,4,0,47,0,11,42,3,0,0,1,1,0,2,0,3,0,0,13,0,0,0,0,0,0,0,0,7,0,2,0,122,2,76,116,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00370,Brinje,3797,2309,36,0,0,0,139,0,1,30,4,28,0,0,1426,0,0,13,5,19,154,17,68,6,0,2,1,7,0,0,161,14,0,5,5,2,0,0,0,0,0,0,0,7,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,17,22,5,1,3,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0
HR_00388,Brod Moravice,920,639,20,0,0,0,30,0,1,5,0,11,0,5,239,0,0,4,0,22,45,7,26,4,0,0,0,1,0,1,130,3,0,2,0,6,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,1,52,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00396,Brodski Stupnik,2786,1705,60,0,0,0,113,0,1,4,5,9,3,18,697,5,66,18,2,95,99,18,59,28,7,0,0,1,29,3,267,9,6,2,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HR_00400,Brtonigla - Verteneglio,1502,911,46,0,0,0,18,0,5,5,2,0,0,0,127,2,0,1,0,15,12,1,24,3,0,3,5,2,0,12,0,10,0,1,0,9,0,0,4,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,17,65,10,168,1,4,10,293
HR_00418,Budinscina,2111,1317,61,0,0,0,161,0,0,5,2,14,0,0,454,9,0,9,0,20,0,10,54,69,8,3,0,14,0,1,0,7,0,1,5,0,0,0,0,0,0,0,0,2,0,2,0,141,2,71,134,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00426,Buje,4933,2909,93,0,4,0,50,1,11,26,9,0,0,0,359,7,0,2,0,82,42,6,70,18,8,2,7,4,0,11,0,78,0,2,0,23,4,3,1,3,2,13,5,0,0,0,0,0,2,0,0,0,0,3,0,144,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,12,0,0,0,0,22,0,0,4,7,3,81,158,22,500,4,7,5,976
HR_00434,Buzet,5139,3545,167,0,0,0,48,0,6,27,17,0,0,0,259,8,0,7,0,117,43,12,132,6,11,3,5,8,0,24,0,44,0,3,0,35,1,0,0,3,1,18,7,0,0,0,0,0,2,0,0,0,0,2,0,461,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,1,1,83,0,13,3,7,13,1897
