gisco_id,name,registered,turnout,invalid,blank,Radin,Zennaro,Akšamija,Avdić,Hodžić [Nedžad Hodžić],Prljaskaj,Mešić [Mirza Mešić],Morina,Srebreniković,Sulejmani,A-HSP,BM365-NS-R-NV-HSS-BUZ,HSP-HČSP-ABH-OS,HSP-HKDU-HDS-USP-DESNO,MOST,Pametno-Za grad,DSŽ,HDZ,HDSSB-HKS,HL,Dukić,NLSP-SH-PZ-ORaH,SDP-HNS-HSS-HSU,HSU,ŽZ-PH-AM,B-DH,BDSH,HBPS,HDZ-HSLS,HRS,HB,SMS,SRP,ŽZ-PH-AM-Abeceda,AM,HNS-HSU,HSR,Glasnović,IDS-PGS-RI,SHV,SRNA,DI,Zeleni,MDS,Knapić,ZS-SU,ŽZ-PH-AM-Abeceda-HDSS-MS,Ajduković,Horvat [Mile Horvat],Ljubojević,Milaković,Milošević [Boris Milošević],Pupovac,Radmanović,Jankovics,Juhas,ŽZ-PH-AM-HDSS-Abeceda,NLSP-SH-PZ-ORaH-SHZ-SU,ABUH,Bilek,Komak,HDZ-HDS,HSP1861,NLSP-SH-PZ-ORaH-SU,Ahmedi,Avdagić,Bosak [Robert Bosak],Hasanović,Ismailovski,Kajtazi,Kostić,Memedi [Orhan Memedi]
HR_00469,Cernik,3182,1524,37,0,0,0,0,0,0,0,0,0,0,0,12,34,4,17,184,5,8,621,113,2,3,0,397,3,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00477,Cerovlje,1354,716,21,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,37,9,0,102,0,1,0,0,108,6,42,4,0,0,0,0,0,0,2,0,0,0,0,0,347,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00485,Cestica,4711,2277,79,0,0,0,1,0,0,0,0,0,0,0,17,155,8,5,150,5,0,367,0,4,0,57,1200,0,0,4,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,4,12,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,1,1,14,0,0
HR_00493,Cetingrad,2047,820,20,0,0,0,1,0,33,0,19,3,2,0,2,26,5,3,32,2,3,539,0,1,0,0,78,1,0,0,0,1,0,1,0,0,0,39,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00507,Cista Provo,2292,1354,14,0,0,0,0,0,0,0,0,0,0,0,6,10,24,1,98,8,0,0,0,0,0,0,13,0,0,2,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1151,4,2,0,0,0,0,0,0,0,0
HR_00515,Civljane,263,57,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00523,Cres,2865,1432,46,0,7,0,0,0,0,2,0,0,0,5,11,20,9,4,117,25,0,331,0,6,0,7,568,14,108,7,0,0,6,0,0,0,8,5,0,0,1,0,95,0,0,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00531,Crikvenica,12166,5494,95,0,2,0,0,0,1,58,3,0,0,3,17,84,25,49,370,77,0,1718,1,10,0,28,2294,24,299,11,0,1,68,0,0,1,17,8,0,0,0,0,188,0,0,7,10,0,0,0,0,0,4,0,0,4,6,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,13,0,1
HR_00540,Crnac,1199,564,17,0,0,0,0,0,0,0,0,0,0,0,3,10,6,3,42,2,0,270,36,0,0,3,122,9,0,0,1,0,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00558,Cabar,3533,1600,51,0,0,0,0,0,0,0,0,0,0,0,11,43,3,5,91,4,9,349,0,18,0,2,712,15,0,0,0,7,0,6,0,0,0,150,0,0,0,0,43,1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
