gisco_id,name,registered,turnout,invalid,blank,Abeceda,AM,A-HSP,DPS [Demokratska Prigorsko-Zagrebačka Stranka],DSŽ-HSN-ASBU,HDZ-HSS-HSP-BUZ-ZDS-HDS,HRS,HSR,HDSSB-ABH-A-HSS-HRAST-HSP-HZ-OS-ZZH,HL,MDS,NF-HSLS-PGS-RI,NS-NSS,Ðapić,ORaH,PS,HB,KLJUČ,SRH,SDP-HNS-IDS-HSU,SPH,SRP,SHZ,HSU,ZH-AMD-ZS
HR_01198,Garesnica,8880,2036,58,0,12,10,4,4,14,813,14,4,71,71,4,33,9,9,133,6,7,18,4,687,4,6,2,30,9
HR_01201,Generalski Stol,2362,554,14,0,5,7,4,0,8,340,1,1,26,21,1,12,0,3,22,3,3,3,1,70,0,3,2,3,1
HR_01210,Glina,8554,1660,48,0,11,8,9,3,4,861,8,5,82,22,3,66,7,4,98,2,5,6,7,381,0,7,3,6,4
HR_01228,Gola,1911,362,10,0,3,2,2,0,4,200,3,2,35,28,1,2,0,0,14,0,2,0,0,52,0,0,0,2,0
HR_01236,Gorican,2417,493,17,0,2,6,3,4,3,224,2,1,41,20,7,12,1,1,21,2,3,3,3,105,1,1,1,9,0
HR_01244,Gorjani,1357,308,16,0,1,5,1,1,6,103,2,0,77,9,0,5,2,2,16,0,1,1,0,49,0,0,0,9,2
HR_01252,Gornja Stubica,4370,929,30,0,1,7,5,3,7,252,6,2,51,59,1,38,2,2,64,3,6,8,4,358,1,0,0,13,6
HR_01279,Gornji Bogicevci,1934,444,36,0,5,6,0,4,5,234,3,2,33,8,0,1,1,1,28,2,0,4,0,61,1,2,1,4,2
HR_01295,Gornji Kneginec,4653,1082,29,0,8,11,5,3,9,496,7,6,30,33,0,19,2,0,78,4,1,3,2,313,4,1,0,15,3
HR_01309,Gospic,11356,3299,97,0,30,15,21,4,22,2124,7,9,120,32,4,144,8,9,164,9,7,9,3,426,3,5,1,18,8
HR_01317,Gracac,5649,900,44,0,1,3,3,3,1,391,0,1,12,8,3,4,6,1,19,2,3,1,1,383,1,2,1,5,1
HR_01325,Gracisce,1167,203,8,0,2,7,0,2,1,16,2,0,7,7,0,2,0,1,28,1,0,5,2,106,0,0,1,4,1
HR_01333,Grad Zagreb,685647,188216,4093,0,372,1129,396,425,525,67506,455,127,13637,5871,203,5322,147,251,25742,1236,447,786,321,56578,162,290,114,1157,924
HR_01341,Gradac,3447,932,45,0,2,9,2,4,4,361,4,2,33,11,3,13,1,1,83,2,4,6,1,328,2,1,2,7,1
HR_01350,Gradec,3026,741,25,0,5,17,8,3,3,316,2,5,33,34,2,10,1,6,75,5,3,4,3,152,3,5,3,13,5
HR_01368,Gradina,3206,821,16,0,9,6,5,1,14,517,4,1,53,9,2,6,3,2,43,1,1,4,1,114,2,2,0,5,0
HR_01376,Gradiste,2440,357,12,0,0,3,5,0,8,155,3,1,37,7,0,5,1,4,35,0,2,0,1,71,0,0,0,4,3
HR_01384,Grožnjan / Grisignana,717,210,21,0,4,1,2,4,1,1,3,0,1,0,0,2,0,0,16,0,1,0,1,148,0,0,0,1,3
HR_01392,Grubisno Polje,5804,1347,41,0,10,8,3,6,6,671,4,1,51,54,3,15,2,4,79,9,2,6,4,335,2,2,0,25,4
HR_01406,Gundinci,1575,345,13,0,2,3,2,2,3,191,3,1,29,6,2,12,0,1,11,0,0,2,3,57,0,0,0,1,1
HR_01414,Gunja,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_01449,Hercegovac,2007,461,13,0,2,3,1,1,3,218,2,0,31,19,0,26,1,0,37,0,1,4,0,87,0,1,0,10,1
HR_01457,Hlebine,1067,234,7,0,0,0,1,0,2,127,2,2,3,10,1,4,0,0,18,1,1,0,0,51,1,1,1,0,1
HR_01465,Hrascina,1293,267,6,0,3,3,1,0,1,138,1,2,8,12,0,1,0,2,22,0,1,1,1,55,1,1,1,4,2
HR_01481,Hrvace,3352,1045,22,0,3,4,1,0,5,805,5,2,60,11,2,12,5,3,25,1,3,7,3,62,1,0,2,0,1
HR_01490,Hrvatska Dubica,2019,466,15,0,4,8,5,1,2,270,0,0,16,10,0,4,5,3,24,1,1,1,1,86,3,2,0,3,1
HR_01503,Hrvatska Kostajnica,2586,576,27,0,3,4,2,2,5,251,2,1,11,39,2,34,1,0,33,2,0,0,2,147,0,1,0,6,1
HR_01511,Breznicki Hum,1110,197,8,0,0,2,1,0,0,98,1,0,2,10,1,3,0,2,22,0,1,0,0,46,0,0,0,0,0
HR_01520,Hum na Sutli,4225,609,31,0,2,9,5,1,9,224,4,1,16,25,1,2,0,1,79,2,1,2,1,182,1,0,2,8,0
HR_01538,Hvar,4139,979,20,0,2,8,5,2,4,467,2,1,43,5,0,11,4,3,77,1,4,3,1,298,1,4,1,8,4
HR_01546,Ilok,6031,1642,70,0,7,16,5,3,18,924,7,9,76,29,4,40,4,23,105,2,6,9,4,254,2,4,0,16,5
HR_01554,Imotski,9005,2386,46,0,12,8,8,2,3,1385,6,3,636,3,0,12,0,4,45,1,6,0,2,189,2,2,0,8,3
HR_01562,Ivanec,11205,2281,83,0,10,26,9,6,20,660,19,2,68,122,7,28,2,6,232,4,5,14,10,907,1,4,2,18,16
HR_01589,Ivanic-Grad,12364,2820,68,0,6,27,10,5,14,891,14,5,158,194,2,69,3,5,334,14,8,18,4,921,3,3,3,32,9
HR_01597,Ivankovo,6449,1535,48,0,9,8,6,3,5,944,8,1,129,45,0,31,1,10,50,4,3,5,1,206,1,0,0,14,3
HR_01619,Ivanska,2369,591,16,0,6,2,3,7,6,179,1,0,39,6,1,21,1,4,42,3,1,0,1,242,1,0,1,5,3
HR_01635,Jakovlje,3211,525,14,0,0,17,2,4,3,208,6,1,22,27,1,1,1,0,71,3,0,6,1,123,1,3,0,6,4
HR_01643,Jaksic,3405,938,32,0,4,14,4,2,6,550,4,4,79,16,0,10,1,2,42,2,3,5,1,147,1,2,0,5,2
HR_01651,Jalzabet,2616,613,17,0,3,6,3,2,8,294,3,3,22,24,2,22,0,2,45,3,4,5,2,131,3,0,2,5,2
HR_01660,Jarmina,1967,431,8,0,2,2,1,0,7,310,3,0,15,7,0,9,1,0,12,0,2,1,1,48,0,0,0,0,2
HR_01678,Jasenice,1513,327,8,0,0,4,1,2,2,225,3,4,17,1,0,6,0,0,15,2,0,2,0,35,0,0,0,0,0
HR_01686,Jasenovac,1898,615,27,0,7,11,7,5,8,328,4,0,23,14,3,14,3,1,46,1,1,2,0,98,0,1,2,7,2
HR_01694,Jastrebarsko,13740,3878,144,0,19,57,23,12,21,1703,26,8,223,92,6,90,4,9,395,13,7,25,7,917,5,8,8,36,20
HR_01708,Jelenje,4526,852,43,0,3,20,2,6,1,188,2,6,33,38,1,31,2,4,166,1,9,5,1,266,2,3,1,8,10
HR_01716,Jelsa,3532,1567,120,0,4,17,4,5,7,745,2,2,61,33,2,15,2,5,101,3,5,6,1,390,8,3,0,13,13
HR_01724,Josipdol,3173,934,27,0,5,6,10,2,7,570,7,1,55,24,2,18,0,3,40,5,1,2,1,128,5,1,2,11,1
HR_01732,Kali,1723,430,16,0,2,6,4,0,10,153,4,0,14,13,2,11,2,0,49,0,0,3,1,131,0,0,2,7,0
HR_01759,Kanfanar,1310,360,9,0,2,6,0,0,6,54,0,2,20,11,2,30,0,1,29,0,1,1,0,175,0,4,1,3,3
HR_01767,Kapela,2548,858,42,0,8,11,2,6,9,386,8,7,25,41,2,29,0,4,105,0,1,6,6,148,4,1,3,4,0
HR_01775,Kaptol,2918,782,18,0,3,8,4,3,7,409,3,2,100,29,0,6,1,3,29,4,2,4,1,132,1,3,1,4,5
HR_01783,Karlobag,1006,448,11,0,3,2,3,1,1,303,1,4,12,4,0,7,0,2,24,2,0,0,2,61,0,0,1,3,1
HR_01791,Karlovac,49404,15189,434,0,60,80,60,36,65,6606,43,21,528,1417,11,247,24,27,1372,55,36,66,38,3727,17,31,13,111,64
HR_01805,Kastav,8876,1970,41,0,4,52,4,0,11,502,5,1,53,67,3,53,3,1,287,10,6,14,2,814,5,3,3,15,11
HR_01813,Kastela,34355,7507,224,0,33,69,26,8,26,3938,18,10,959,146,3,162,3,50,442,11,21,23,8,1260,8,9,6,24,20
HR_01830,Kijevo,390,125,3,0,0,1,2,3,1,99,0,0,9,1,0,0,1,1,0,0,1,0,1,2,0,0,0,0,0
HR_01848,Kistanje,3630,950,22,0,2,2,3,0,1,165,0,0,6,1,1,15,4,0,3,0,1,2,4,711,4,2,0,0,1
HR_01856,Klakar,1931,435,19,0,3,3,10,0,1,253,1,0,51,4,0,1,0,2,38,0,1,2,3,41,0,0,1,1,0
HR_01864,Klana,1646,383,12,0,3,6,1,2,3,119,3,0,9,16,0,9,0,3,40,0,2,2,0,148,1,0,0,2,2
HR_01872,Klanjec,2445,486,22,0,2,5,3,2,13,163,5,0,9,27,1,21,0,0,55,0,1,2,2,144,1,0,0,6,2
HR_01899,Klenovnik,1680,286,8,0,1,4,2,0,1,117,1,0,7,22,1,3,1,0,13,2,0,4,2,95,0,0,0,1,1
HR_01902,Klinca Sela,4266,930,35,0,3,16,4,5,6,430,4,2,80,27,0,19,0,2,114,5,7,3,2,149,1,1,0,10,5
HR_01929,Klis,3956,1148,60,0,7,12,5,2,5,639,2,1,73,27,1,39,3,4,59,5,11,3,1,172,1,3,0,8,5
HR_01937,Klostar Ivanic,5243,1027,32,0,3,9,2,2,7,422,4,0,66,82,0,16,2,5,94,2,3,8,3,247,1,2,3,9,3
HR_01945,Klostar Podravski,2574,575,15,0,4,6,2,0,8,267,3,5,97,6,1,3,1,2,53,2,3,4,0,85,3,1,0,3,1
HR_01953,Knezevi Vinogradi,4208,1624,208,0,23,40,8,10,24,299,13,5,147,69,8,16,17,22,110,7,15,23,11,473,14,10,2,33,17
HR_01961,Knin,14973,3818,146,0,16,18,11,4,14,1691,4,12,297,64,9,87,12,7,138,3,12,11,7,1215,9,7,1,12,11
HR_01970,Komiža,1659,358,27,0,1,3,1,2,1,119,2,3,9,9,0,5,0,0,32,2,0,1,0,126,1,1,1,10,2
HR_01988,Konavle,7368,2113,67,0,4,29,11,2,9,1134,12,5,119,25,1,56,1,7,163,12,9,9,6,402,3,3,0,12,12
HR_01996,Koncanica,1999,382,14,0,3,2,3,0,4,137,6,0,27,11,0,8,0,0,30,0,0,3,0,122,1,2,1,7,1
HR_02003,Konjscina,3056,796,19,0,1,4,0,1,5,401,5,0,14,46,4,11,1,1,65,1,3,0,5,201,1,3,0,1,3
HR_02011,Koprivnica,26267,6646,179,0,20,38,53,12,28,1924,17,20,480,292,12,133,2,5,867,27,17,41,14,2366,4,6,2,62,25
HR_02020,Koprivnicki Bregi,1896,420,18,0,5,4,4,0,2,202,3,2,16,11,1,2,0,1,42,1,3,2,0,94,0,0,1,4,2
HR_02038,Koprivnicki Ivanec,1817,412,18,0,0,2,1,1,4,260,2,0,7,13,1,4,0,1,29,1,1,0,0,60,0,1,3,2,1
