gisco_id,name,registered,turnout,invalid,blank,AS,A-HSP,DA,DP,HDZ,HSGO,HSU,Ilčić,L9,JD,MOST-HS-HSP,Možemo!,OIP,HB,PZŽ,PHR,PIP,RF,Republika,Ričard,Skočak,SDP,SIP,UZ-SU-BUZ-DSU,ORaH
HR_04642,Trpinja,3714,385,11,0,2,1,1,9,29,1,1,1,240,0,2,9,1,1,0,0,12,2,0,1,13,39,6,3,0
HR_04669,Tuhelj,1750,413,2,0,1,1,0,24,150,1,1,3,1,0,4,18,3,1,4,0,11,3,0,0,15,168,0,2,0
HR_05932,Tucepi,1671,412,4,0,2,0,2,31,144,0,1,6,10,0,18,9,9,2,2,0,5,1,2,16,9,136,1,2,0
HR_04677,Udbina,1275,576,6,0,2,2,1,12,161,1,2,0,336,0,3,2,0,1,0,0,1,1,1,2,3,37,1,1,0
HR_04685,Umag - Umago,12324,1917,16,0,8,1,1,55,260,2,12,13,768,1,41,103,16,1,9,2,83,17,3,6,52,417,13,14,3
HR_04693,Unesic,1148,518,3,0,2,0,2,37,426,2,5,0,0,0,14,0,2,0,2,0,5,0,0,3,7,7,0,1,0
HR_04715,Valpovo,8710,1856,34,0,4,3,3,195,737,0,7,15,9,0,64,46,31,3,9,0,70,12,2,11,49,519,9,21,3
HR_04723,Varazdin,38149,8861,110,0,16,9,1,311,1804,8,91,405,343,3,275,621,129,9,58,2,235,73,12,53,461,3721,19,62,30
HR_04731,Varazdinske Toplice,5146,1064,11,0,1,5,1,71,372,2,9,12,72,3,16,21,9,5,6,2,38,3,0,11,63,315,5,6,5
HR_04740,Vela Luka,3429,904,18,0,2,0,3,40,348,0,3,3,8,0,10,18,5,0,1,0,20,7,0,14,17,375,0,9,3
HR_04758,Velika,4390,930,18,0,8,3,1,74,458,3,13,8,5,0,35,10,13,0,4,0,38,1,0,9,27,192,3,5,2
HR_05410,Velika Gorica,54782,11765,138,0,43,15,11,1326,3802,14,65,173,145,8,621,667,223,14,55,12,366,70,14,105,628,3122,35,68,25
HR_04766,Velika Kopanica,2510,439,9,0,4,0,3,73,182,0,6,1,2,0,18,1,7,1,4,0,9,0,0,5,40,68,2,4,0
HR_04774,Velika Ludina,1987,432,10,0,4,3,2,28,199,0,0,3,0,1,27,12,6,1,3,0,19,0,0,4,20,81,4,4,1
