gisco_id,name,registered,turnout,invalid,blank,A-HSP,Fokus,OIP,SIP,DA,DP,HDZ-HSLS-HDS-HNS,HSP-HB,JD,MOST-HS-HKS,Možemo!,RF,Ričard,SD-IDS-PGS-HL,SDP-Centar-HSS-DOSIP-NS-R-GLAS,SRP,UZ-SU-BUZ,IDS-PGS-UNIJA-ISU-NS-R,SDP-Centar-HSS-DOSIP,Crnogorac,Jeckov,Milaković,Pupovac,Šimpraga,AS,DP-PIP-DHSS,HSGO,MDS,Simunić,NPS,Horvat [Franjo Horvat],Kajtazi,Kralj,Bilek,Komak,AP,NS-R-PGS-IDS-UNIJA,SD-HL,DP-PIP-DHSS-ZL,Hodžić [Armin Hodžić],Prljaskaj,Šoipi,Tabaković,DP-PIP-BLOK,HB,PHR,Rogina,HDZ,Bilo,MOST,Dussich,Radin,HSP,SHZ,Jankovics
HR_00353,Brestovac,3004,1671,47,0,9,17,15,20,0,215,844,14,1,96,32,7,0,4,286,0,32,0,0,0,12,2,16,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00361,Breznica,1669,1001,33,0,4,6,8,18,0,0,335,6,0,56,48,9,0,0,322,0,15,0,0,0,0,0,0,0,0,104,4,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00370,Brinje,2301,1229,36,0,4,11,9,18,0,0,814,19,0,60,4,1,0,0,0,0,17,0,113,2,0,0,0,1,0,114,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00388,Brod Moravice,590,361,18,0,2,0,1,6,0,0,128,4,0,17,19,1,0,0,0,0,19,0,109,0,0,0,0,0,0,24,1,0,0,0,0,2,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
HR_00396,Brodski Stupnik,2239,1320,52,0,5,13,11,10,0,246,524,15,2,130,32,7,0,3,221,0,39,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00400,Brtonigla - Verteneglio,1342,762,38,0,3,5,4,12,0,19,93,7,0,35,51,8,0,0,0,4,11,190,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,47,40,0,0,0
HR_00418,Budinscina,1825,904,25,0,3,3,11,13,0,0,298,5,0,46,28,2,0,0,372,0,15,0,0,0,0,0,0,0,0,47,1,0,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00426,Buje - Buie,3873,2216,64,0,3,16,22,15,0,62,311,12,0,113,116,37,0,0,2,11,35,458,697,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,1,0,0,0,0,0,0,0,111,117,0,0,0
HR_00434,Buzet,4791,3205,151,0,4,82,16,34,0,49,377,5,0,137,253,95,0,0,1,5,68,842,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,77,2,1,0,1,0,0,0,0,0,0,4,0,0,0,0
HR_00442,Cerna,3406,2034,88,0,4,2,14,6,0,304,664,9,5,115,11,2,0,5,789,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00469,Cernik,2876,1641,78,0,11,16,9,15,0,203,788,10,3,83,65,4,0,2,312,0,36,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00477,Cerovlje,1247,814,35,0,0,16,5,3,0,11,119,2,0,45,63,9,0,0,0,3,9,354,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
HR_00485,Cestica,4367,2701,138,0,10,12,18,45,0,0,788,21,0,123,117,12,0,0,1041,0,42,0,0,0,0,0,0,0,0,97,2,9,21,123,65,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00493,Cetingrad,1621,755,7,0,2,4,6,4,0,0,508,3,0,20,16,0,0,0,0,0,6,0,46,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,18,1,1,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
HR_00507,Cista Provo,1961,1168,42,0,5,0,11,2,1,137,823,27,0,75,0,0,17,2,19,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HR_00515,Civljane,163,60,7,0,0,0,0,1,0,3,9,0,0,1,0,0,2,1,4,0,0,0,0,17,12,6,15,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HR_00523,Cres,2568,1628,59,0,3,11,12,12,0,74,409,9,0,118,133,44,0,0,3,6,42,175,504,2,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,2,0,0,0,0,0,0,1,0,0,0,0
HR_00531,Crikvenica,11074,5843,151,0,20,41,65,42,0,270,1889,38,0,320,377,105,2,0,42,11,103,249,2004,7,5,3,6,6,1,4,0,0,0,1,0,2,0,1,0,1,0,0,0,7,66,15,0,3,0,0,0,0,0,0,0,0,0,0,1
