gisco_id,name,registered,turnout,invalid,blank,I.Fem,CEUS,PSOE,ALTER,CXE,AR,Contigo,ADÑ,PACMA,SAIn,PCTE,FAC,PH,AxSÍ,PACT,MIEL,IzqEsp,PUM+J,MCR,Cs,JxCAT,Vox,IGRE,Volt,CV-EC,PP,Recortes Cero-LV-GVE,CEX-CREX-PR,CPE,PCPE-PCPC,Podemos-IU,Pirates,PCTC,PCTG,ELAK
ES_04075,Pulpí,5731,4017,72,29,7,1,1545,0,1,3,0,3,39,0,2,1,5,4,7,0,1,4,1,313,1,264,1,10,5,1537,3,0,0,10,147,1,0,0,0
ES_04076,Purchena,1231,999,13,9,2,0,537,0,0,0,1,0,9,0,0,0,0,0,1,0,0,1,1,81,0,42,2,4,1,221,0,1,0,3,68,2,0,0,0
ES_04077,Rágol,301,281,1,1,0,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,0,4,0,0,0,175,1,0,0,0,3,0,0,0,0
ES_04078,Rioja,1123,884,12,3,0,0,374,0,0,0,0,2,28,0,1,0,1,3,2,0,0,0,0,50,0,60,1,0,0,160,1,0,0,5,181,0,0,0,0
ES_04079,Roquetas de Mar,56030,30199,446,225,52,11,8131,11,19,21,11,21,509,5,10,5,8,32,19,20,25,25,9,4765,22,4535,6,60,95,8470,62,7,19,36,2488,19,0,0,0
ES_04080,Santa Cruz de Marchena,204,178,3,1,0,0,74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,1,6,0,1,0,72,0,1,0,0,2,0,0,0,0
ES_04081,Santa Fe de Mondújar,358,294,2,1,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,19,0,0,0,45,1,0,0,0,8,0,0,0,0
ES_04082,Senés,291,227,1,0,1,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,119,0,1,0,1,12,0,0,0,0
ES_04083,Serón,1762,1373,20,28,3,0,692,0,1,0,0,0,14,0,0,0,0,1,0,0,0,2,0,97,0,43,1,2,3,387,3,0,0,1,74,1,0,0,0
ES_04084,Sierro,346,300,7,3,0,0,134,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,27,0,18,0,0,0,99,0,0,0,0,9,0,0,0,0
ES_04085,Somontín,383,341,2,1,0,0,151,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,17,0,24,0,1,0,136,0,0,0,1,3,0,0,0,0
ES_04086,Sorbas,1729,1363,12,8,0,1,529,0,0,2,0,0,9,0,0,1,0,2,0,0,1,0,2,85,0,81,1,1,3,580,2,1,2,0,40,0,0,0,0
ES_04087,Suflí,172,147,1,4,0,0,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,11,0,1,1,53,1,0,0,1,7,0,0,0,0
ES_04088,Tabernas,2502,1824,29,22,0,0,948,0,0,2,1,2,10,0,1,2,0,3,3,0,0,2,1,103,1,132,0,4,1,458,0,0,3,1,94,1,0,0,0
ES_04089,Taberno,767,571,18,4,1,0,204,0,0,1,0,0,9,0,1,0,0,0,0,0,0,0,0,45,1,39,0,1,0,224,0,0,0,1,22,0,0,0,0
ES_04090,Tahal,322,278,7,0,0,0,149,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,20,0,15,0,0,0,70,0,0,0,0,14,0,0,0,0
ES_04091,Terque,334,261,1,4,0,0,197,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,33,0,0,0,0,11,0,0,0,0
ES_04092,Tíjola,2823,2276,48,14,5,0,888,2,0,0,1,5,17,0,1,1,0,3,3,1,0,4,1,437,0,157,1,2,3,597,1,1,0,1,82,0,0,0,0
ES_04093,Turre,2229,1486,29,15,3,0,565,1,0,1,1,2,21,0,1,0,2,1,0,1,1,1,0,96,2,134,2,5,3,503,0,0,0,3,92,1,0,0,0
ES_04094,Turrillas,212,175,3,1,0,0,29,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,21,0,0,2,108,1,0,0,0,1,0,0,0,0
ES_04095,Uleila del Campo,711,581,18,6,0,0,196,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,37,0,54,0,2,0,231,0,0,0,0,31,1,0,0,0
ES_04096,Urrácal,298,270,3,1,0,0,136,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,13,0,9,0,0,0,90,0,0,0,0,16,0,0,0,0
ES_04097,Velefique,242,200,1,0,0,0,113,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,10,0,14,0,0,0,44,0,0,0,0,14,0,0,0,0
ES_04098,Vélez-Blanco,1506,1182,20,5,2,0,585,2,0,0,0,1,11,1,1,1,0,1,1,0,0,0,0,183,0,87,1,4,0,213,0,0,1,0,62,0,0,0,0
ES_04099,Vélez-Rubio,5001,3651,83,36,9,1,1260,1,2,1,2,4,19,1,4,2,0,3,1,0,2,3,0,535,1,330,0,7,1,1159,4,2,2,5,171,0,0,0,0
ES_04100,Vera,9577,5462,86,57,6,8,1589,2,3,3,2,7,82,0,1,5,1,9,4,0,0,2,1,646,10,550,1,11,16,2032,1,1,3,3,320,0,0,0,0
ES_04101,Viator,4390,2867,53,33,2,0,1332,0,1,1,1,3,37,1,2,1,2,1,2,0,1,0,0,225,1,305,2,1,4,736,2,0,0,2,115,1,0,0,0
ES_04102,Vícar,14327,8215,180,62,3,1,3485,2,6,4,3,3,94,0,4,3,3,6,4,4,0,3,1,710,3,1385,1,12,3,1815,3,0,1,13,395,3,0,0,0
ES_04103,Zurgena,2362,1306,21,21,1,0,635,1,0,1,0,0,19,3,0,0,3,5,3,0,0,0,1,123,0,92,0,2,2,351,2,0,0,1,19,0,0,0,0
ES_04901,"Tres Villas, Las",511,412,6,5,0,0,240,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,23,0,45,0,1,1,68,0,0,0,0,20,0,0,0,0
ES_04902,"Ejido, El",46714,25813,171,213,27,7,5931,7,12,14,7,12,322,5,18,3,4,24,27,5,19,18,1,3983,9,5440,7,143,47,7819,32,4,7,31,1434,10,0,0,0
ES_04903,"Mojonera, La",4305,2983,56,39,5,0,783,0,1,1,3,1,27,0,4,0,0,5,3,0,0,4,0,360,1,462,0,19,1,1101,3,0,2,1,94,7,0,0,0
ES_04904,Balanegra,1908,1251,9,7,0,0,228,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,87,0,161,0,2,0,710,0,0,0,1,33,1,0,0,0
ES_11001,Alcalá de los Gazules,4364,2848,82,24,4,3,1685,3,1,1,1,4,19,3,1,4,0,7,1,0,4,0,0,216,0,178,1,4,4,324,7,5,3,1,257,1,0,0,0
ES_11002,Alcalá del Valle,4210,3687,38,20,0,0,1613,0,0,0,0,0,14,0,0,0,0,3,1,0,1,0,1,96,0,23,1,1,1,118,1,0,0,0,1755,0,0,0,0
ES_11003,Algar,1239,849,23,17,2,1,341,0,0,0,1,0,3,1,1,0,0,3,0,0,2,0,0,89,0,35,0,7,0,278,1,0,2,0,42,0,0,0,0
ES_11004,Algeciras,89735,43646,462,400,50,11,14653,40,42,30,14,21,829,7,21,21,23,291,55,3,14,61,92,6318,160,5318,67,82,144,10149,227,5,36,61,3915,24,0,0,0
ES_11005,Algodonales,4546,3111,104,27,1,0,1479,1,0,2,2,1,9,3,2,0,0,15,1,0,1,1,1,218,0,89,1,1,8,697,2,2,2,5,434,2,0,0,0
ES_11006,Arcos de la Frontera,24582,13936,401,237,17,3,6544,13,10,16,11,5,137,3,11,9,12,95,7,6,6,2,1,1780,5,653,33,31,24,2783,10,8,9,48,1000,6,0,0,0
ES_11007,Barbate,18119,10140,262,233,28,6,3305,8,4,17,8,6,157,5,13,10,8,1758,16,1,4,10,0,1075,7,439,8,36,35,1672,42,7,18,12,928,2,0,0,0
ES_11008,"Barrios, Los",17950,10152,155,167,16,6,4124,4,16,8,7,12,190,0,15,8,6,96,7,6,9,8,4,1732,6,839,4,35,20,1514,59,3,13,7,1036,20,0,0,0
ES_11009,Benaocaz,587,462,11,3,0,1,170,1,0,0,0,0,9,0,0,0,0,1,1,0,0,1,1,58,0,29,0,1,0,140,1,0,1,1,32,0,0,0,0
ES_11010,Bornos,6344,3940,94,130,4,4,1452,0,1,2,2,5,33,1,4,2,3,34,0,1,16,2,0,489,0,129,5,8,7,447,5,3,8,8,1039,2,0,0,0
ES_11011,"Bosque, El",1735,1214,31,14,1,0,497,0,0,2,0,0,13,0,1,0,0,54,0,1,0,0,0,157,0,95,0,1,0,211,0,0,0,0,136,0,0,0,0
ES_11012,Cádiz,97682,60730,580,498,98,22,19369,77,31,70,30,23,1333,9,43,26,35,299,37,20,38,81,18,7984,60,3097,21,130,192,11797,156,11,73,63,14384,25,0,0,0
ES_11013,Castellar de la Frontera,2366,1781,54,35,3,1,991,0,0,1,0,1,17,0,0,2,2,1,1,2,4,0,0,179,2,83,1,3,3,195,6,1,0,1,190,2,0,0,0
ES_11014,Conil de la Frontera,17493,9729,142,210,33,6,3414,1,5,7,7,11,139,2,13,4,5,350,8,11,43,12,0,1555,10,424,151,31,44,1429,25,12,14,37,1562,12,0,0,0
ES_11015,Chiclana de la Frontera,64524,29691,270,411,37,14,10681,14,26,32,11,7,611,7,26,15,8,159,28,14,40,11,0,5099,17,2565,69,70,107,5430,64,4,22,56,3754,12,0,0,0
ES_11016,Chipiona,15140,9223,194,188,12,6,3369,8,9,9,2,3,202,5,7,9,3,31,4,4,22,6,3,1596,3,743,13,24,15,1725,7,3,9,36,951,2,0,0,0
ES_11017,Espera,3189,2046,76,74,6,0,942,0,0,0,0,1,7,0,10,2,1,3,1,2,10,5,0,208,1,66,0,3,4,279,3,0,3,9,330,0,0,0,0
ES_11018,"Gastor, El",1460,1102,21,7,1,0,542,0,1,0,0,0,6,0,0,1,1,8,0,0,2,0,0,71,0,46,0,1,0,355,3,0,1,1,34,0,0,0,0
ES_11019,Grazalema,1759,1334,56,13,2,0,586,3,2,0,0,1,17,0,3,1,1,13,3,1,2,2,0,109,1,60,0,3,1,353,1,0,2,2,95,1,0,0,0
ES_11020,Jerez de la Frontera,166727,85613,705,825,81,29,30238,42,78,65,29,21,1341,8,80,53,38,484,62,22,49,91,20,13985,43,6608,48,140,204,18998,154,13,121,135,10767,36,0,0,0
ES_11021,Jimena de la Frontera,5080,3295,74,93,1,4,1491,0,1,3,2,0,31,0,4,2,1,7,2,0,9,2,1,415,1,133,1,0,4,580,9,1,11,1,409,2,0,0,0
ES_11022,"Línea de la Concepción, La",49034,22472,255,325,29,7,8205,9,21,11,15,17,715,2,14,14,12,179,12,7,7,22,48,4439,30,2039,10,65,85,3681,180,7,23,35,1940,12,0,0,0
ES_11023,Medina-Sidonia,9408,6913,127,113,6,0,3404,1,1,1,3,0,74,2,6,2,0,12,1,0,8,3,2,826,1,238,3,6,11,580,11,1,7,3,1458,2,0,0,0
ES_11024,Olvera,6613,4510,110,63,4,1,2177,43,0,3,0,1,37,1,2,4,1,13,1,1,3,2,1,502,0,102,0,5,7,819,0,0,4,3,599,1,0,0,0
ES_11025,Paterna de Rivera,4392,3292,93,95,3,2,1750,2,7,2,3,0,18,1,4,0,1,210,4,2,6,1,2,218,1,73,3,1,4,542,6,4,5,6,213,10,0,0,0
ES_11026,Prado del Rey,4705,3511,144,28,5,1,1308,5,2,7,0,0,21,2,1,1,0,127,2,1,0,2,0,447,0,236,0,9,3,911,10,2,0,3,232,1,0,0,0
ES_11027,"Puerto de Santa María, El",68807,36644,301,316,61,132,11096,18,22,20,24,10,706,10,25,15,19,539,29,18,30,67,7,5339,28,3713,16,65,127,8497,200,11,46,175,4948,14,0,0,0
ES_11028,Puerto Real,32874,18409,246,252,18,181,7816,5,6,24,7,22,399,4,22,2,2,576,9,10,13,20,2,1942,8,657,19,35,102,1178,56,2,55,17,4690,12,0,0,0
ES_11029,Puerto Serrano,5441,3228,109,82,3,0,1078,0,0,2,2,0,20,5,5,2,1,9,0,0,1,0,2,230,2,136,3,6,4,311,6,1,0,10,1196,2,0,0,0
ES_11030,Rota,23003,13602,210,186,23,4,5010,5,9,3,2,2,281,0,7,4,6,62,7,4,9,7,0,2199,8,1076,34,31,58,2791,36,3,23,27,1467,8,0,0,0
ES_11031,San Fernando,76372,39355,205,336,50,9,14473,11,23,30,12,17,801,7,22,22,31,1015,46,4,25,26,13,6068,22,4060,33,67,90,6934,187,9,41,46,4595,25,0,0,0
ES_11032,Sanlúcar de Barrameda,54648,23937,412,309,35,16,8993,12,23,21,14,18,383,6,44,13,12,65,31,9,57,15,8,4053,40,1824,3,58,78,3390,308,43,24,125,3484,11,0,0,0
