gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,ÖVR
SE_1783,Hagfors,9537,8008,1,64,841,525,165,165,4299,520,147,1139,91,51
SE_1761,Hammarö,11493,10344,4,66,2651,523,540,490,3876,470,627,857,181,59
SE_1780,Karlstad,70311,61660,18,531,14227,3480,3244,2760,21188,3332,4735,5842,1819,484
SE_1715,Kil,9236,8073,0,91,1495,679,261,334,3094,417,361,1164,120,57
SE_1781,Kristinehamn,18947,16322,2,147,3122,1018,776,620,6664,906,820,1846,268,133
SE_1762,Munkfors,2908,2474,0,11,239,152,87,49,1430,114,51,280,52,9
SE_1760,Storfors,3079,2660,1,32,320,171,46,95,1286,162,59,459,15,14
SE_1766,Sunne,10427,8975,3,106,1902,1219,357,307,3098,324,318,1120,163,58
SE_1785,Säffle,11973,10202,1,92,1931,1372,339,428,3361,351,337,1805,125,60
SE_1737,Torsby,9438,7674,2,73,1318,675,193,215,3305,440,207,1091,98,57
SE_1765,Årjäng,6774,5636,0,71,1056,696,312,446,1641,176,134,1021,42,41
SE_2403,Bjurholm,1918,1616,1,8,338,194,89,98,597,79,28,162,16,6
SE_2425,Dorotea,2211,1894,0,22,129,204,124,50,921,200,30,179,25,10
SE_2481,Lycksele,9633,8042,3,68,1127,327,297,575,3667,824,185,834,100,35
SE_2418,Malå,2485,2071,3,18,177,96,94,62,1041,266,47,218,30,19
SE_2401,Nordmaling,5579,4689,1,44,631,527,238,214,1996,425,107,433,58,15
SE_2417,Norsjö,3211,2666,1,31,227,219,95,130,1323,323,33,255,16,13
SE_2409,Robertsfors,5294,4543,1,35,502,756,130,207,1907,403,154,307,100,41
SE_2482,Skellefteå,56848,49304,16,509,5210,2832,1865,1940,24468,4552,2575,3809,1147,381
SE_2422,Sorsele,1986,1579,0,31,175,149,26,92,612,209,47,204,28,6
SE_2421,Storuman,4835,3933,1,51,510,365,155,254,1567,397,117,450,48,18
SE_2480,Umeå,91291,80955,33,614,13248,4449,3960,3069,29032,9907,6521,4539,4826,757
SE_2462,Vilhelmina,5326,4495,1,66,400,355,115,244,2032,488,112,562,84,36
SE_2404,Vindeln,4218,3586,2,21,546,392,131,214,1422,281,108,345,67,57
SE_2460,Vännäs,6561,5637,0,43,717,594,189,263,2228,688,241,475,145,54
SE_2463,Åsele,2258,1918,4,21,221,201,98,65,848,172,36,207,30,15
SE_2280,Härnösand,19254,16446,6,102,2530,1055,538,545,7063,1042,1136,1799,494,136
SE_2282,Kramfors,14745,12541,7,86,1410,1188,208,298,6447,930,413,1209,271,74
SE_2283,Sollefteå,15512,13231,6,117,1377,857,270,267,7037,865,402,1681,235,117
SE_2281,Sundsvall,75252,65036,20,460,12690,3393,2892,2183,26618,3611,3317,7579,1689,584
SE_2262,Timrå,13813,11889,5,80,1532,569,408,312,5937,789,354,1639,184,80
SE_2260,Ånge,7708,6518,2,52,735,483,94,174,3214,372,126,1044,100,122
SE_2284,Örnsköldsvik,43558,37793,20,379,5559,3377,1030,2318,18661,1602,1325,2618,602,302
SE_1984,Arboga,10649,9076,7,94,1852,498,349,315,3436,449,469,1387,149,71
SE_1982,Fagersta,9457,7895,2,84,1209,195,207,205,3512,508,326,1455,125,67
SE_1961,Hallstahammar,11618,9752,3,94,1448,369,370,315,4343,587,389,1606,126,102
SE_1960,Kungsör,6249,5386,0,54,998,384,262,235,1936,268,193,931,83,42
SE_1983,Köping,19195,16099,3,158,2773,965,587,498,6487,886,632,2781,214,115
SE_1962,Norberg,4435,3812,2,44,535,163,107,85,1447,334,161,766,105,63
SE_1981,Sala,17077,14712,4,179,2888,1600,587,522,4867,670,678,2238,316,163
SE_1904,Skinnskatteberg,3447,2928,0,19,388,187,149,70,1245,185,86,528,50,21
SE_1907,Surahammar,7474,6317,2,70,847,232,213,142,2833,451,213,1151,92,71
SE_1980,Västerås,108479,92727,35,911,22759,4126,5925,4109,29830,4713,5402,11885,2138,894
SE_1440,Ale,20995,18094,2,239,3962,911,776,779,5774,1124,1005,2902,449,171
SE_1489,Alingsås,30068,26534,6,212,5956,1760,1811,1806,7236,1576,2338,2846,768,219
SE_1460,Bengtsfors,7324,6125,1,66,961,582,183,274,2274,225,200,1166,140,53
SE_1443,Bollebygd,6538,5859,1,56,1427,459,270,296,1569,252,304,1074,105,46
