gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,d,FRP,Kustkult,SF,BRP,AfS,CSIS,DD,DP,EAP,KLP,KrVP,Lpo,MED,NYREF,PV,SKP,SkåP,TRP,ViS
SE_2062,Mora,16079,8299,9.0,58,1067,1162,171,734,1949,437,688,1785,55,72,0.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,3.0,0.0,0.0,4.0,9.0,16.0,0.0,17.0,0.0,0.0,0.0,0.0
SE_2080,Falun,45091,26167,39.0,172,4191,4200,684,1783,6036,1885,3066,3521,193,165,0.0,0.0,0.0,0.0,0.0,124.0,0.0,5.0,7.0,0.0,6.0,7.0,12.0,12.0,0.0,53.0,6.0,0.0,0.0,0.0
SE_2081,Borlänge,37883,19589,54.0,141,2642,2114,576,1233,5682,1268,1814,3687,105,127,0.0,0.0,0.0,0.0,0.0,77.0,0.0,6.0,10.0,0.0,1.0,4.0,5.0,17.0,0.0,17.0,9.0,0.0,0.0,0.0
SE_2082,Säter,8671,4718,11.0,47,574,756,72,349,1294,265,314,938,24,27,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0
SE_2083,Hedemora,11636,5800,19.0,45,721,728,82,512,1463,406,407,1275,33,29,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,1.0,0.0,0.0,9.0,9.0,4.0,0.0,24.0,0.0,0.0,0.0,0.0
SE_2084,Avesta,17031,8434,18.0,68,1053,802,174,607,2665,445,526,1882,49,68,0.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,2.0,0.0,4.0,6.0,5.0,6.0,0.0,7.0,1.0,0.0,0.0,0.0
SE_2085,Ludvika,19590,9834,39.0,82,1135,921,231,583,3146,634,798,2083,50,43,0.0,0.0,0.0,0.0,0.0,59.0,0.0,4.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0
SE_2101,Ockelbo,4492,2064,6.0,20,214,253,16,127,608,136,139,515,7,7,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
SE_2104,Hofors,7370,3238,8.0,38,330,244,75,164,1181,339,167,647,9,17,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
SE_2121,Ovanåker,8988,4198,9.0,35,461,760,65,564,1114,179,219,739,13,12,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2132,Nordanstig,7303,3316,13.0,18,290,450,55,283,909,288,210,734,14,17,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2161,Ljusdal,14632,6742,15.0,50,832,1046,138,456,1735,454,575,1326,40,30,0.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,3.0,0.0,0.0,0.0,5.0,2.0,0.0,9.0,3.0,0.0,0.0,0.0
SE_2180,Gävle,76998,40603,64.0,267,6821,3281,1467,2551,11032,2868,4314,7146,263,239,0.0,0.0,0.0,0.0,0.0,150.0,5.0,11.0,25.0,0.0,3.0,5.0,9.0,34.0,0.0,36.0,12.0,0.0,0.0,0.0
SE_2181,Sandviken,28947,14351,30.0,126,1732,1205,441,833,4779,1013,945,2983,68,86,0.0,0.0,0.0,0.0,0.0,70.0,2.0,6.0,5.0,0.0,0.0,1.0,5.0,3.0,1.0,12.0,5.0,0.0,0.0,0.0
SE_2182,Söderhamn,19602,9525,17.0,69,1193,1188,165,571,2986,634,685,1841,43,53,0.0,0.0,0.0,0.0,0.0,26.0,6.0,2.0,4.0,0.0,3.0,0.0,4.0,2.0,0.0,33.0,0.0,0.0,0.0,0.0
SE_2183,Bollnäs,20321,9892,15.0,71,1259,1346,170,676,2879,669,738,1877,49,33,0.0,1.0,0.0,0.0,0.0,48.0,0.0,2.0,24.0,0.0,3.0,0.0,10.0,12.0,0.0,9.0,1.0,0.0,0.0,0.0
SE_2184,Hudiksvall,29176,14600,25.0,100,1667,2134,274,969,4240,1142,1416,2340,96,70,0.0,0.0,0.0,0.0,0.0,43.0,2.0,1.0,22.0,0.0,6.0,0.0,13.0,17.0,0.0,23.0,0.0,0.0,0.0,0.0
SE_2260,Ånge,7420,3311,14.0,27,268,338,47,268,1201,206,131,712,20,30,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SE_2262,Timrå,13821,6646,13.0,53,588,604,126,488,2584,466,406,1185,33,39,0.0,0.0,0.0,0.0,0.0,46.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_2280,Härnösand,18822,10073,20.0,53,998,1129,244,685,3423,724,1131,1420,84,49,0.0,0.0,0.0,0.0,0.0,46.0,0.0,4.0,21.0,1.0,1.0,2.0,22.0,5.0,0.0,4.0,7.0,0.0,0.0,0.0
SE_2281,Sundsvall,75692,40315,82.0,225,5181,4289,1253,3123,13209,2759,3896,5480,236,276,0.0,0.0,0.0,0.0,0.0,185.0,0.0,18.0,9.0,0.0,4.0,7.0,31.0,36.0,0.0,14.0,2.0,0.0,0.0,0.0
SE_2282,Kramfors,14137,6921,15.0,74,455,946,87,399,2634,682,424,1052,51,27,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,3.0,0.0,1.0,7.0,7.0,2.0,0.0,13.0,3.0,0.0,0.0,0.0
SE_2283,Sollefteå,14705,7004,22.0,61,491,919,73,486,2444,759,374,1220,39,31,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,5.0,0.0,0.0,4.0,13.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0
SE_2284,Örnsköldsvik,42948,23105,58.0,193,2205,3147,382,2159,9201,1153,1596,2582,105,144,0.0,0.0,0.0,0.0,0.0,98.0,0.0,4.0,9.0,0.0,4.0,0.0,34.0,18.0,0.0,9.0,4.0,0.0,0.0,0.0
SE_2303,Ragunda,4081,1835,5.0,27,131,256,26,106,638,133,84,383,12,8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
SE_2305,Bräcke,4908,2136,5.0,21,200,344,36,95,730,138,134,405,11,10,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2309,Krokom,10780,5738,17.0,38,592,1196,97,402,1510,433,543,821,23,22,0.0,0.0,0.0,0.0,0.0,27.0,0.0,2.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_2313,Strömsund,8965,4138,14.0,43,301,517,34,284,1482,317,173,908,17,28,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2321,Åre,8475,4871,9.0,34,620,1011,111,287,1044,303,814,520,48,25,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,2.0,0.0,0.0,9.0,7.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0
SE_2326,Berg,5442,2541,10.0,26,292,466,29,149,703,168,194,462,18,5,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
SE_2361,Härjedalen,8032,3703,2.0,46,388,516,111,294,1087,255,220,652,22,11,0.0,0.0,0.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,0.0,72.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0
SE_2380,Östersund,48813,26253,68.0,204,3194,4265,627,1554,7376,1971,3282,3183,196,159,0.0,0.0,0.0,0.0,0.0,92.0,0.0,4.0,3.0,0.0,0.0,2.0,22.0,15.0,0.0,35.0,1.0,0.0,0.0,0.0
SE_2401,Nordmaling,5492,2643,5.0,21,225,482,72,208,813,196,120,444,14,19,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2403,Bjurholm,1864,856,3.0,2,121,129,21,102,253,38,33,138,2,1,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2404,Vindeln,4076,1920,5.0,21,183,307,35,243,555,141,107,281,13,11,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2409,Robertsfors,5208,2757,9.0,30,218,575,38,186,942,230,199,272,22,11,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0
SE_2417,Norsjö,3103,1376,1.0,19,86,129,26,156,588,134,38,172,3,4,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0
SE_2418,Malå,2341,958,0.0,14,48,83,37,53,397,135,33,144,1,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2421,Storuman,4643,2129,6.0,17,197,281,51,209,616,198,117,396,15,11,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2422,Sorsele,1950,864,1.0,16,66,115,8,67,280,100,57,137,2,5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2425,Dorotea,2052,863,5.0,13,27,113,28,52,338,84,36,136,4,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_2460,Vännäs,6546,3405,6.0,18,276,518,59,300,1050,370,315,429,19,28,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2462,Vilhelmina,5234,2418,7.0,39,137,319,36,219,847,239,113,378,34,19,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2463,Åsele,2153,972,3.0,13,53,184,18,76,340,62,37,170,7,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2480,Umeå,96959,58406,107.0,452,6378,6888,1932,3152,18158,7226,8365,4052,624,575,0.0,0.0,0.0,0.0,0.0,265.0,0.0,22.0,20.0,0.0,16.0,7.0,16.0,67.0,0.0,80.0,3.0,0.0,0.0,1.0
SE_2481,Lycksele,9262,4106,10.0,54,372,376,95,579,1457,339,182,561,21,22,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,3.0,0.0,0.0,0.0,11.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
SE_2482,Skellefteå,56211,30012,67.0,291,2666,3144,644,1839,12633,2578,2452,3095,224,170,0.0,0.0,0.0,0.0,0.0,91.0,0.0,4.0,5.0,0.0,3.0,27.0,10.0,20.0,0.0,46.0,3.0,0.0,0.0,0.0
SE_2505,Arvidsjaur,4914,2280,6.0,22,188,206,39,165,903,231,80,393,13,13,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_2506,Arjeplog,2207,1125,0.0,17,97,81,19,77,362,135,71,244,5,5,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
SE_2510,Jokkmokk,3912,1823,4.0,27,130,99,27,80,626,191,316,284,17,10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0
SE_2513,Överkalix,2682,1164,6.0,12,72,111,16,64,509,103,39,204,4,3,0.0,0.0,0.0,0.0,0.0,13.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2514,Kalix,12740,6108,10.0,44,615,437,103,308,2651,389,385,1084,24,24,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,1.0,0.0,0.0,0.0,10.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
SE_2518,Övertorneå,3321,1358,2.0,11,92,193,20,119,449,142,63,249,8,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE_2521,Pajala,4732,1952,3.0,13,122,87,25,212,613,375,84,372,10,8,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0
SE_2523,Gällivare,14002,5462,7.0,27,436,222,66,306,2134,604,421,1150,28,24,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0
SE_2560,Älvsbyn,6258,2938,7.0,26,193,345,54,222,1207,291,104,430,24,19,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
SE_2580,Luleå,60651,33880,78.0,211,4458,3316,910,2173,11321,3039,3444,4036,240,377,0.0,1.0,0.0,0.0,0.0,160.0,2.0,11.0,6.0,0.0,4.0,20.0,11.0,34.0,0.0,28.0,0.0,0.0,0.0,0.0
SE_2581,Piteå,33215,18398,44.0,140,1617,1670,311,1063,8191,1787,1269,1930,114,116,0.0,0.0,0.0,0.0,0.0,50.0,0.0,5.0,7.0,0.0,5.0,10.0,11.0,5.0,0.0,48.0,5.0,0.0,0.0,0.0
