gisco_id,name,registered,turnout,invalid,blank,S,C,KD,L,MP (1981),M,SD,V,FL,AfS,PNy,MED,KrVP,PP,KA,Liv,MoD,Swexit,SKP,MGMK,Yggdrasil,AK,Volt,OKP,DD,KAP,CHP,Enhet,BIP,KLP,FAB,Valsamverkanspartiet,KDP,Ö,EAP,Pax,Socialisterna,Enade,Företaget,Lpo,Kn,Globala partiet,AMO,Sympartiet,EP,FF,Kärlek,Origo,UT,FDP,NFFVN,IP,GV,WT,Bjornpartiet,KM,EVAA,FV,FRP,SI,Nix to the Six,SF,SL [Socialliberalerna],NSRP,MP [Majspartiet],FN,NyD,MS,SL [Sociallibertarianerna],DESAM,H,Naturistpartiet,SK,TRP,Fredspartiet,PFR,FW,Ändringspartiet Revolution,Vinningspartiet,SP,KSP,RD,UD,Löddebygden,FEL,Monisterna,TSS,HD,GD,SvP,Frihetsrörelsen,MDP,UP,KMA,HSKDV,SIS,NYREF,NTK,Rastliberalerna,SNOF
SE_0381,Enköping,36104,17667,34,165,4206,1410,1018,609,1834,3691,3015,1286,103,67,1,61,17,71,5,11,28,12,14,0,0,0,1,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_0484,Eskilstuna,79732,35130,80,366,10745,2007,1532,1126,3734,5752,5634,3381,228,160,7,114,34,106,9,31,39,11,22,0,0,1,1,0,4,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1285,Eslöv,25417,12382,31,119,3033,804,581,461,1289,2084,2504,1191,65,62,2,35,3,64,1,6,23,4,12,0,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1445,Essunga,4353,2263,1,31,530,188,117,52,174,497,472,149,12,14,0,5,2,6,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1982,Fagersta,9680,3822,8,24,1278,131,159,91,288,521,741,492,35,18,0,7,0,13,1,3,4,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1382,Falkenberg,36300,19117,52,181,5162,1985,1130,556,2046,3605,2705,1396,65,87,1,16,4,52,6,8,36,18,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1499,Falköping,25021,12718,29,134,3275,1165,1008,327,1277,1946,2165,1053,101,66,0,28,30,50,4,8,34,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SE_2080,Falun,46536,25810,28,226,6931,2421,1319,810,4220,4074,2861,2430,111,81,4,73,15,75,0,24,54,23,17,0,0,0,2,0,2,0,0,1,2,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_1782,Filipstad,7703,2863,1,39,1021,94,128,63,165,332,625,315,19,28,0,3,5,12,0,2,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SE_0562,Finspång,16623,8051,4,85,2636,475,440,199,768,1157,1401,731,38,39,1,12,5,20,1,4,14,8,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
