gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1275,Perstorp,5169,4108,1,54,1141,228,205,162,1445,190,175,448,6,14,37,2
SE_1291,Simrishamn,15738,12943,6,167,4620,948,785,592,3381,432,873,967,93,50,16,13
SE_1265,Sjöbo,13949,11365,4,172,3914,964,543,433,2626,328,463,1772,23,51,64,8
SE_1264,Skurup,11046,9217,3,127,3195,665,575,256,2391,249,385,1227,36,38,66,4
SE_1230,Staffanstorp,16125,14228,7,133,5994,717,1135,532,3149,300,724,1220,34,71,203,9
SE_1214,Svalöv,9679,8015,6,100,2167,924,454,272,2284,274,380,1039,11,42,30,32
SE_1263,Svedala,14429,12598,3,148,4919,501,903,399,3010,276,572,1657,33,61,104,12
SE_1270,Tomelilla,10076,8093,2,140,2469,781,358,228,2254,239,390,1065,30,27,105,5
SE_1287,Trelleborg,31899,26524,21,301,8922,1037,1521,957,8025,661,1030,3604,57,120,256,12
SE_1233,Vellinge,25084,22773,8,151,13365,965,1957,1391,2123,195,726,1575,32,52,225,8
SE_1286,Ystad,22958,19169,9,263,7160,1086,1226,662,5358,490,1039,1594,63,87,118,14
SE_1277,Åstorp,10311,8204,11,105,2345,355,384,306,3113,222,313,964,9,41,22,14
SE_1292,Ängelholm,31033,25974,7,376,10421,1658,1670,1494,5783,685,1533,1955,61,111,203,17
SE_1257,Örkelljunga,7237,5825,4,87,1687,377,336,661,1471,170,236,710,4,39,37,6
SE_1256,Östra Göinge,10531,8801,5,151,2142,534,519,359,3150,299,370,1188,32,38,2,12
SE_0127,Botkyrka,52962,41737,18,341,12401,1147,2560,2110,14761,2943,2849,2048,142,316,2,99
SE_0162,Danderyd,22842,20675,4,68,10740,2297,2075,2744,1195,250,798,347,53,93,1,10
SE_0125,Ekerö,17924,16146,9,109,7553,1169,1498,1136,2120,507,1321,540,68,104,0,12
SE_0136,Haninge,53493,44413,15,477,16161,1703,3009,1970,12313,2210,3206,2524,128,425,5,267
SE_0126,Huddinge,64775,54193,20,474,20769,2362,4127,2794,13320,2870,4090,2569,256,436,3,103
SE_0123,Järfälla,47173,40082,14,333,14479,1664,3357,2370,10217,2096,3094,1915,105,349,36,53
SE_0186,Lidingö,32295,28709,5,145,13922,2879,3064,2869,2637,554,1619,759,98,118,13,27
SE_0182,Nacka,62861,55333,16,387,24153,4040,4950,3799,8797,2207,4765,1510,296,309,48,56
SE_0188,Norrtälje,44081,36662,8,502,13053,2886,2384,1771,9566,1612,2601,1824,123,268,2,62
SE_0140,Nykvarn,6510,5711,2,61,2353,287,392,284,1348,143,347,410,15,34,0,35
