gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),JL,SD,ÖVR
SE_1486,Strömstad,8031,2277,4,56,346,262,255,101,509,271,156,296,4,17
SE_2313,Strömsund,10481,3824,1,68,181,422,63,79,1005,725,132,705,3,440
SE_0183,Sundbyberg,26178,9475,11,202,2057,169,1139,395,2176,1241,676,1256,99,54
SE_2281,Sundsvall,73167,25340,78,572,2867,1329,2050,1077,6485,3723,1625,4000,314,1220
SE_1766,Sunne,10492,3627,5,96,510,815,199,185,790,319,203,377,79,49
SE_1907,Surahammar,7457,2420,2,93,213,100,136,84,957,375,117,318,14,11
SE_1214,Svalöv,9447,3147,3,139,590,541,204,95,821,168,151,256,159,20
SE_1263,Svedala,13503,4291,6,147,887,227,358,167,1318,237,171,529,232,12
SE_1465,Svenljunga,7903,2608,10,80,410,440,149,130,581,208,101,430,8,61
SE_1785,Säffle,12600,3870,4,126,594,566,274,202,795,323,204,604,62,116
SE_2082,Säter,8412,2938,4,71,262,347,120,179,710,414,133,662,7,29
SE_0684,Sävsjö,8264,2951,7,89,376,419,100,585,508,236,107,442,35,47
SE_2182,Söderhamn,21171,6793,16,159,497,542,281,215,1702,1055,324,1401,50,551
SE_0582,Söderköping,10647,4021,6,107,735,736,193,159,837,285,227,712,10,14
SE_0181,Södertälje,55712,19858,16,434,3085,781,1548,2224,4861,2062,1558,2784,139,366
SE_1083,Sölvesborg,12921,3451,12,129,745,236,207,174,1017,391,122,236,171,11
SE_1435,Tanum,9390,2897,6,83,467,455,273,106,519,316,165,489,4,14
SE_1472,Tibro,8085,2727,9,69,301,282,212,319,789,264,104,363,13,2
SE_1498,Tidaholm,9568,3392,10,131,369,295,174,235,1087,422,141,492,18,18
SE_0360,Tierp,15469,5072,6,163,418,685,268,206,1649,515,271,833,49,9
SE_2262,Timrå,13662,4307,17,107,261,255,181,155,1402,802,229,676,50,172
SE_0763,Tingsryd,10150,3082,1,80,501,592,96,180,658,302,130,482,54,6
SE_1419,Tjörn,11459,4485,9,79,712,196,638,451,942,395,229,738,86,10
SE_1270,Tomelilla,9765,2824,2,108,538,424,166,99,685,245,123,324,100,10
SE_1737,Torsby,10402,3013,5,89,354,330,101,119,850,562,161,384,38,20
SE_0834,Torsås,5676,1839,6,47,235,444,80,153,399,120,81,252,12,10
SE_1452,Tranemo,8953,3525,6,94,452,618,208,172,1013,247,135,543,21,16
SE_0687,Tranås,13771,4605,10,120,682,332,273,576,1058,494,206,820,15,19
SE_1287,Trelleborg,29753,8909,13,287,1824,570,598,292,2947,561,367,1093,348,9
SE_1488,Trollhättan,39458,14260,23,386,1704,658,1191,691,4685,1897,796,1747,188,294
SE_0488,Trosa,7746,2933,7,69,688,170,237,167,688,243,157,478,6,23
SE_0138,Tyresö,27962,11462,7,277,2730,226,1274,518,2640,1141,661,1780,90,118
SE_0160,Täby,44432,21569,23,303,8737,441,3553,1213,2453,916,739,2972,122,97
SE_1473,Töreboda,7181,2313,5,54,333,386,120,134,495,253,109,394,22,8
SE_1485,Uddevalla,37882,13153,21,420,1682,689,1177,811,3383,1819,694,2128,230,99
SE_1491,Ulricehamn,17163,6642,22,185,939,986,552,528,1261,612,324,1181,28,24
SE_2480,Umeå,83166,36149,70,634,2610,1756,2813,1455,6505,15058,1825,3111,60,252
SE_0139,Upplands-Bro,14887,5351,13,162,1050,135,502,411,1231,536,328,913,43,27
SE_0114,Upplands-Väsby,26746,9446,10,211,2069,218,988,536,2253,897,567,1502,60,135
SE_0380,Uppsala,138003,59786,58,1459,10236,2908,8072,4092,11618,7034,5193,8446,429,241
SE_0760,Uppvidinge,7262,2362,1,70,296,406,107,98,585,305,91,354,45,4
SE_0584,Vadstena,5961,2266,1,87,522,218,110,136,521,191,118,327,32,3
SE_0665,Vaggeryd,9445,3390,3,96,368,335,194,633,748,365,137,451,27,33
SE_0563,Valdemarsvik,6466,2189,1,45,282,730,63,64,500,155,75,264,4,6
SE_0115,Vallentuna,18635,7480,12,190,1981,390,806,358,1287,594,436,1323,53,50
SE_2021,Vansbro,5627,1639,1,50,135,192,50,205,460,220,40,276,2,8
SE_1470,Vara,12326,4474,12,126,968,745,239,294,957,389,169,531,10,34
SE_1383,Varberg,41532,16700,17,504,2543,2036,1360,727,4214,1918,859,2250,151,121
SE_0187,Vaxholm,7011,3117,4,67,930,70,374,127,429,254,192,655,2,13
SE_1233,Vellinge,23782,9801,7,233,4552,308,1091,324,1427,230,213,1203,197,16
SE_0685,Vetlanda,20265,7058,25,234,907,1030,308,943,1389,670,274,1082,32,164
SE_2462,Vilhelmina,5873,2220,3,38,87,132,75,156,408,1007,48,254,11,1
SE_0884,Vimmerby,11961,3890,3,132,467,869,133,260,883,421,199,479,11,33
SE_2404,Vindeln,4604,1679,8,14,135,211,96,128,282,627,39,130,2,7
SE_0428,Vingåker,6953,2363,8,101,333,236,108,96,748,209,196,292,9,27
SE_1442,Vårgårda,7874,3152,5,96,306,463,253,519,481,289,287,437,9,7
SE_1487,Vänersborg,28278,10858,31,335,1322,893,850,661,2635,1799,553,1395,71,313
SE_2460,Vännäs,6367,2561,5,27,135,297,106,146,512,1131,77,114,2,9
SE_0120,Värmdö,23125,10204,8,466,2597,312,945,383,1876,901,633,1987,63,33
SE_0683,Värnamo,24188,9308,31,219,1352,910,556,1417,2153,769,284,1442,115,60
SE_0883,Västervik,28873,9736,19,400,1407,1225,528,434,2736,981,494,1451,46,15
SE_1980,Västerås,98197,37320,38,1194,6743,1365,3964,2219,9809,3559,2335,5606,196,292
