party_id,name_native,name_english,abbreviation,coalition_members,other_names,individual_candidate,region,founded_year,dissolved_year,european_party,ep_group,colors,wikipedia_page,wikidata_id,party_facts_id,ideology
Toader,Mihai Toader,Mihai Toader,Toader,[],,Y,RO,2016.0,,[],[],[],https://en.wikipedia.org/wiki/2024_Romanian_parliamentary_election,Q104033187,,unknown
Trăscăian,Petru-Vasile Trăscăian,Petru-Vasile Trăscăian,Trăscăian,[],,Y,RO,,,[],[],[],,,,unknown
Tudoran,Gregoriana Tudoran,Gregoriana Tudoran,Tudoran,[],,Y,RO,,,[],[],[],,,,unknown
UAR,Uniunea Armeanilor din România,Union of Armenians in Romania,UAR,[],,,RO,1990.0,,[],[],[],https://ro.wikipedia.org/wiki/Uniunea_Armenilor_din_Rom%C3%A2nia,Q18548897,,"left or center-left, including non-radical greens"
UBBR,Uniunea Bulgară din Banat România / Съюз на българите в Банат Румъния ,Union of Bulgarians from Banat - Romania,UBBR,[],,,RO,,,[],[],[],https://ro.wikipedia.org/wiki/Uniunea_Bulgară_din_Banat_-_România,,,other
UCR,Uniunea Croaților din România,Union of Croats of Romania,UCR,[],,,RO,1991.0,,[],[],[],https://hr.wikipedia.org/wiki/Zajedni%C5%A1tvo_Hrvata_u_Rumunjskoj,Q2349920,,"left or center-left, including non-radical greens"
UCRR,Uniunea Culturală a Rutenilor din România,Cultural Union of Ruthenians in Romania,UCRR,[],,,RO,2000.0,,[],[],"[""#006400""]",https://rue.wikipedia.org/wiki/%D0%9A%D1%83%D0%BB%D1%82%D1%83%D1%80%D0%BD%D0%B5_%D0%BE%D0%B1%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE_%D0%A0%D1%83%D1%81%D0%B8%D0%BD%D1%96%D0%B2_%D0%A0%D1%83%D0%BC%D1%83%D0%BD%D1%96%D1%97,Q19902171,,other
UDMR/RMDSZ,Uniunea Democrată Maghiară din România,Democratic Alliance of Hungarians in Romania,UDMR/RMDSZ,[],,,RO,1989.0,,"[{""date_start"": ""1996"", ""date_end"": null, ""organization"": ""European People's Party (EPP)"", ""status"": ""member""}]","[{""year_start"": ""2004"", ""year_end"": null, ""party_id"": ""EPP Group""}]","[""#FF0000"", ""#FFFFFF"", ""#008000""]",https://ro.wikipedia.org/wiki/Uniunea_Democrat%C4%83_Maghiar%C4%83_din_Rom%C3%A2nia,Q266582,1105.0,"center, center-right or moderate right"
FDGR/DFDR,Demokratisches Forum der Deutschen in Rumänien / Forumul Democrat al Germanilor din România,Democratic Forum of Germans in Romania,FDGR/DFDR,[],,,RO,1989.0,,[],"[{""year_start"": ""2004"", ""year_end"": ""2009"", ""party_id"": ""EPP Group""}]",[],https://ro.wikipedia.org/wiki/Forumul_Democrat_al_Germanilor_din_Rom%C3%A2nia,Q698997,,"center, center-right or moderate right"
UPR,"Związek Polaków w Rumunii ""Dom Polski"" / Uniunea Polonezilor din România",Union of Poles of Romania,UPR,[],,,RO,1990.0,,[],[],[],https://ro.wikipedia.org/wiki/Uniunea_Polonezilor_din_Rom%C3%A2nia,Q2781233,,other
EMNP,Erdélyi Magyar Néppárt / Partidul Popular Maghiar din Transilvania,Hungarian People's Party of Transylvania,EMNP,[],,,RO,2011.0,2022.0,"[{""date_start"": null, ""date_end"": null, ""organization"": ""European Free Alliance (EFA)"", ""status"": ""observer""}]",[],[],https://hu.wikipedia.org/wiki/Erd%C3%A9lyi_Magyar_N%C3%A9pp%C3%A1rt,Q988250,,"center, center-right or moderate right"
Udrea,Elena-Gabriela Udrea,Elena-Gabriela Udrea,Udrea,[],,Y,RO,,,[],[],[],,,,unknown
UDSCR,Uniunea Democratică a Slovacilor și Cehilor din România / Demokratický svaz Slováků a Čechů v Rumunsku,Democratic Union of Slovaks and Czechs of Romania,UDSCR,[],,,RO,1990.0,,"[{""date_start"": null, ""date_end"": null, ""organization"": ""European Christian Political Party (ECPM)"", ""status"": ""member""}]","[{""year_start"": ""2004"", ""year_end"": ""2009"", ""party_id"": ""ECR Group""}]","[""blue""]",https://ro.wikipedia.org/wiki/Uniunea_Democratic%C4%83_a_Slovacilor_%C8%99i_Cehilor_din_Rom%C3%A2nia,Q19760553,,"center, center-right or moderate right"
UDTR,Uniunea Democrată Turcă din România / Romanya Demokrat Türk Birliği,Democratic Alliance of Turks in Romania,UDTR,[],,,RO,1990.0,,[],"[{""year_start"": null, ""year_end"": null, ""party_id"": ""GUE/NGL""}]","[""#009933""]",https://ro.wikipedia.org/wiki/Uniunea_Democrat%C4%83_Turc%C4%83_din_Rom%C3%A2nia,Q18548898,,"left or center-left, including non-radical greens"
UDTTMR,Uniunea Democrată a Tătarilor Turco-Musulmani din România / Romanya Müslüman Tatar Türklerĭ Demokrat Bĭrlĭgĭ,Democratic Union of Turkic-Muslim Tatars of Romania,UDTTMR,[],,,RO,1989.0,,[],"[{""year_start"": null, ""year_end"": null, ""party_id"": ""EPP Group""}]","[""#0033A0"", ""#FFD700""]",https://ro.wikipedia.org/wiki/Uniunea_Democrat%C4%83_a_T%C4%83tarilor_Turco-Musulmani_din_Rom%C3%A2nia,Q19894740,,other
UER,Uniunea Elenă din România / Ένωση Ελλήνων της Ρουμανίας,Hellenic Union of Romania,UER,[],,,RO,1989.0,,[],[],"[""#005EB8""]",https://ro.wikipedia.org/wiki/Uniunea_Elen%C4%83_din_Rom%C3%A2nia,Q20036960,,other
Ungureanu,Georgina-Corina Ungureanu,Georgina-Corina Ungureanu,Ungureanu,[],,Y,RO,,,[],[],[],,,,unknown
UNPR,Uniunea Națională pentru Progresul României,National Union for the Progress of Romania,UNPR,[],,,RO,2010.0,2010.0,[],"[{""year_start"": ""2010"", ""year_end"": ""2016"", ""party_id"": ""S&D""}]","[""#ED262B""]",https://ro.wikipedia.org/wiki/Uniunea_Na%C8%9Bional%C4%83_pentru_Progresul_Rom%C3%A2niei,Q962976,1541.0,"left or center-left, including non-radical greens"
USL,Uniunea Social Liberală,Social Liberal Union,USL,"[""PSD"", ""PNL"", ""PC"", ""UNPR""]",,,RO,2011.0,2014.0,[],[],"[""#e41f15"", ""#fcd403"", ""#0971CE""]",https://ro.wikipedia.org/wiki/Uniunea_Social-Liberal%C4%83,Q797760,5941.0,"left or center-left, including non-radical greens"
USR (1989),Uniunea Sârbilor din România / Савез Срба у Румунији,Union of Serbs in Romania,USR,[],,,RO,1989.0,,[],[],"[""#006600""]",https://ro.wikipedia.org/wiki/Uniunea_S%C3%A2rbilor_din_Rom%C3%A2nia,Q692152,,other
USR (2016),Uniunea Salvați România,Save Romania Union,USR,[],,,RO,2016.0,,"[{""date_start"": null, ""date_end"": null, ""organization"": ""Alliance of Liberals and Democrats for Europe Party (ALDE)"", ""status"": ""member""}]","[{""year_start"": ""2019"", ""year_end"": ""2022"", ""party_id"": ""Renew""}, {""year_start"": ""2023"", ""year_end"": ""2023"", ""party_id"": ""Greens/EFA""}, {""year_start"": ""2024"", ""year_end"": null, ""party_id"": ""Renew""}]","[""#00AAE7"", ""#FF0021""]",https://ro.wikipedia.org/wiki/Uniunea_Salva%C8%9Bi_Rom%C3%A2nia,Q27108508,5969.0,"center, center-right or moderate right"
USR-PMP-FD,USR-PMP-FD,USR-PMP-FD,USR-PMP-FD,"[""USR (2016)"", ""PMP"", ""FD""]",,,RO,2023.0,2024.0,[],[],"[""#082458""]",https://ro.wikipedia.org/wiki/Alian%C8%9Ba_Dreapta_Unit%C4%83,Q124096751,,radical right
USR+,USR PLUS,USR PLUS,USR+,"[""USR (2016)"", ""PLUS""]",,,RO,,,[],[],"[""#00aae7"", ""#FF6C00""]",,,,"center, center-right or moderate right"
UUR,Uniunea Ucrainenilor din România,Union of Ukrainians in Romania,UUR,[],,,RO,,,[],[],[],https://uk.wikipedia.org/wiki/%D0%A1%D0%BE%D1%8E%D0%B7_%D1%83%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D1%86%D1%96%D0%B2_%D0%A0%D1%83%D0%BC%D1%83%D0%BD%D1%96%D1%97,Q4516806,,other
Vecerdea,Marius-Daniel Vecerdea,Marius-Daniel Vecerdea,Vecerdea,[],,Y,RO,,,[],[],[],,,,unknown
Vlașin,Vasile Vlașin,Vasile Vlașin,Vlașin,[],,Y,RO,,,[],[],[],,,,unknown
Voinea,Gheorghe-Sorinel Voinea,Gheorghe-Sorinel Voinea,Voinea,[],,Y,RO,,,[],[],[],,,,unknown
Vreme,Daniela-Simona Vreme,Daniela-Simona Vreme,Vreme,[],,Y,RO,,,[],[],[],,,,unknown
Zaharcu,Neviser Zaharcu,Neviser Zaharcu,Zaharcu,[],,Y,RO,,,[],[],[],,,,unknown
Zainea,Cornel Zainea,Cornel Zainea,Zainea,[],,Y,RO,,,[],[],"[""#00aae7"", ""#FF0021""]",,,,unknown
Zamfir,Veronica Zamfir,Veronica Zamfir,Zamfir,[],,Y,RO,,,[],[],[],,,,unknown
Zamfir-Ignat,Ştefan-Costin Zamfir-Ignat,Ştefan-Costin Zamfir-Ignat,Zamfir-Ignat,[],,Y,RO,,,[],[],[],,,,unknown
Zmaranda,Florin Zmaranda,Florin Zmaranda,Zmaranda,[],,Y,RO,,,[],[],[],,,,unknown
AfS,Alternativ för Sverige,Alternative for Sweden,AfS,[],,,SE,2018.0,,[],"[{""year_start"": ""2019"", ""year_end"": null, ""party_id"": ""ECR Group""}, {""year_start"": null, ""year_end"": null, ""party_id"": ""PfE""}]","[""#002F6C"", ""#FFCE00""]",https://sv.wikipedia.org/wiki/Alternativ_f%C3%B6r_Sverige,Q50383811,,radical right
AK,Anarkisterna,Anarchists,AK,[],,,SE,,,[],[],"[""#000000""]",,,,radical left
AMO,Amoristerna,The Lovers,AMO,[],,,SE,,,[],[],"[""#FFC0CB""]",,,,other
Ändringspartiet Revolution,Ändringspartiet Revolution,Party of Change Revolution,Ändringspartiet Revolution,[],,,SE,,,[],[],[],,,,unknown
BIP,Basinkomstpartiet,Basic Income Party,BIP,[],,,SE,,,[],[],[],,,,other
Bjornpartiet,Bjornpartiet,The Bear Party,Bjornpartiet,[],,,SE,,,[],[],[],,,,unknown
BRP,BRP,BRP,BRP,[],,,SE,,,[],[],"[""#FFFF00""]",,,,unknown
