gisco_id,name,registered,turnout,invalid,blank,1 - Komitet Wyborczy Solidarna Polska Zbigniewa Ziobro,2 - Komitet Wyborczy Wyborców Ruch Narodowy,3 - Koalicyjny Komitet Wyborczy Sojusz Lewicy Demokratycznej-Unia Pracy,4 - Komitet Wyborczy Prawo i Sprawiedliwość,5 - Koalicyjny Komitet Wyborczy Europa Plus Twój Ruch,6 - Komitet Wyborczy Polska Razem Jarosława Gowina,7 - Komitet Wyborczy Nowa Prawica – Janusza Korwin-Mikke,8 - Komitet Wyborczy Platforma Obywatelska RP,9 - Komitet Wyborczy Polskie Stronnictwo Ludowe,10 - Komitet Wyborczy Demokracja Bezpośrednia,11 - Komitet Wyborczy Samoobrona,12 - Komitet Wyborczy Partia Zieloni
PL_114272503,Iłża,12761,2027,75,0,33,56,162,811,31,47,130,225,457,0,0,0
PL_114272504,Jastrzębia,5329,954,29,0,28,25,44,459,27,29,73,94,146,0,0,0
PL_114272505,Jedlińsk,10742,1775,65,0,55,27,75,921,24,80,133,228,167,0,0,0
PL_114272506,Jedlnia-Letnisko,9884,2185,71,0,62,42,87,1097,79,95,153,388,111,0,0,0
PL_114272507,Kowala,8992,1838,60,0,62,35,57,933,33,47,162,290,159,0,0,0
PL_114272508,Pionki,8203,1270,61,0,31,28,109,630,47,25,77,153,109,0,0,0
PL_114272509,Przytyk,5654,1217,59,0,34,8,35,652,13,34,88,93,201,0,0,0
PL_114272510,Skaryszew,10933,2164,59,0,48,25,51,1278,26,72,149,224,232,0,0,0
PL_114272511,Wierzbica,7982,1356,46,0,45,27,59,696,21,35,95,151,181,0,0,0
PL_114272512,Wolanów,6618,1349,66,0,46,13,51,644,15,168,71,102,173,0,0,0
PL_114272513,Zakrzew,9475,2168,55,0,69,32,79,1190,35,76,144,293,195,0,0,0
PL_114262601,Domanice,2109,396,15,0,14,4,15,208,5,9,36,14,76,0,0,0
PL_114262602,Korczew,2401,388,19,0,11,2,9,133,9,3,18,99,85,0,0,0
PL_114262603,Kotuń,6838,1182,35,0,35,18,73,520,18,16,110,135,222,0,0,0
PL_114262604,Mokobody,4092,814,17,0,22,10,26,410,15,14,54,39,207,0,0,0
PL_114262605,Mordy,4985,985,38,0,17,14,30,474,20,23,63,75,231,0,0,0
PL_114262606,Paprotnia,2183,601,14,0,8,5,13,282,6,8,26,15,224,0,0,0
PL_114262607,Przesmyki,2869,640,21,0,18,4,9,231,7,9,31,20,290,0,0,0
PL_114262608,Siedlce,13473,2651,61,0,79,42,143,1144,68,78,285,358,393,0,0,0
PL_114262609,Skórzec,5964,1146,39,0,34,21,43,481,15,25,89,61,338,0,0,0
PL_114262610,Suchożebry,3794,663,36,0,16,7,20,253,6,13,49,62,201,0,0,0
PL_114262611,Wiśniew,4550,1064,14,0,38,18,38,568,5,13,87,68,215,0,0,0
PL_114262612,Wodynie,3719,706,23,0,18,17,15,342,7,11,37,50,186,0,0,0
PL_114262613,Zbuczyn,7919,1691,46,0,66,24,39,979,13,29,144,79,272,0,0,0
PL_114252701,Sierpc,15115,2924,119,0,70,40,366,964,92,66,235,680,292,0,0,0
PL_114252702,Gozdowo,4797,718,45,0,25,9,72,256,10,20,29,76,176,0,0,0
PL_114252703,Mochowo,4878,699,47,0,20,5,36,223,18,27,32,58,233,0,0,0
PL_114252704,Rościszewo,3423,537,31,0,14,3,75,202,9,5,32,24,142,0,0,0
PL_114252705,Sierpc,5524,738,36,0,15,7,87,293,13,24,50,77,136,0,0,0
