gisco_id,name,registered,turnout,invalid,blank,Smer-SD,KDŽP,ĽSNS,KOREKTÚRA,SNS,SR,OĽaNO,STAN,SP,STS,HĽ,MKDA-MKDSZ,DOPRAVA,KDH,SZ,MH,PD,SRK,SKS,SNJ,SMK-MKP,DOMA DOBRE,KSS-VZDOR,EDS,SaS,SĽS,NAJ,KÚ,PS-Spolu,DS,NK
SK_502987,Zeliezovce,5781,1084,30,0,119,2,78,4,19,21,50,1,3,0,3,7,0,46,7,89,6,0,0,1,366,10,3,0,74,2,0,6,123,4,10
SK_502995,Zemberovce,1036,231,5,0,59,2,34,0,7,8,6,0,0,0,0,0,0,26,3,0,0,0,0,0,0,11,3,0,13,1,1,12,35,0,5
SK_503002,Zemliare,136,47,0,0,5,0,3,0,0,1,0,0,0,1,0,0,0,1,0,5,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0
SK_500020,Aleksince,1437,216,6,0,59,5,38,2,2,6,7,0,0,0,0,0,0,11,0,5,0,0,0,0,1,1,2,1,28,1,0,10,28,2,1
SK_500046,Bab,932,149,4,0,41,3,16,0,4,3,10,0,0,0,4,0,0,10,4,0,2,0,0,0,0,1,0,2,4,0,0,8,33,0,0
SK_581623,Babindol,571,101,2,0,17,1,19,1,1,4,6,0,0,0,0,0,0,24,0,2,0,0,0,0,10,0,0,4,2,0,0,3,5,0,0
SK_582697,Bádice,312,79,2,0,20,1,4,3,6,4,4,2,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,10,0,0,2,11,3,0
SK_500071,Branc,1858,376,8,0,52,6,44,2,3,12,13,0,1,0,1,2,1,5,4,53,3,0,0,1,38,0,0,1,56,0,0,11,55,2,2
SK_545589,Cabaj-Capor,3378,651,20,0,118,16,129,8,30,26,21,0,2,0,1,0,1,48,7,0,3,0,0,0,2,2,2,0,50,2,2,49,87,3,22
SK_582387,Cab,645,107,2,0,15,3,23,0,8,4,2,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,6,0,1,5,18,0,0
SK_500101,Cakajovce,953,173,4,0,32,2,33,0,23,11,9,1,0,0,0,0,0,11,2,0,1,0,0,0,0,0,0,1,9,0,0,5,26,0,3
SK_555886,Cechynce,1015,212,3,0,27,1,25,0,3,2,6,1,0,0,0,1,1,6,2,15,0,0,0,2,68,1,1,0,14,0,3,7,21,0,2
SK_500135,Celadice,846,158,8,0,66,1,24,1,6,6,4,0,0,0,1,0,0,7,1,1,0,0,0,0,0,1,1,2,4,1,0,1,21,0,1
SK_500160,Cifare,487,83,0,0,17,0,15,1,2,2,4,0,0,0,0,1,0,3,0,3,0,0,0,0,13,0,0,1,10,0,0,0,11,0,0
