gisco_id,name,registered,turnout,invalid,blank,"NOVA, Konzervatívni demokrati Slovenska, Občianska konzervatívna strana",Kresťanskodemokratické hnutie,SMER - sociálna demokracia,Slovenská ľudová strana,Národ a Spravodlivosť - naša strana,Magnificat Slovakia,DEMOKRATICKÁ OBČIANSKA STRANA,7 STATOČNÝCH REGIONÁLNA STRANA SLOVENSKA,Maďarská kresťanskodemokratická aliancia - Magyar Kereszténydemokrata Szövetség,Strana TIP,Ľudová strana Naše Slovensko,EURÓPSKA DEMOKRATICKÁ STRANA,NOVÝ PARLAMENT,MOST - HÍD,Kresťanská SLOVENSKÁ NÁRODNÁ STRANA,Strana demokratického Slovenska,Strana zelených,VZDOR - strana práce,OBYČAJNÍ ĽUDIA a nezávislé osobnosti,PRÁVO A SPRAVODLIVOSŤ,Sloboda a Solidarita,Strana moderného Slovenska,Komunistická strana Slovenska,ÚSVIT,Strana občianskej ľavice,Slovenská národná strana,Slovenská demokratická a kresťanská únia - Demokratická strana,"PRIAMA DEMOKRACIA, Kresťanská ľudová strana",Strana maďarskej komunity - Magyar Közösség Pártja
SK_521418,Herlany,223,39,2,0,2,8,16,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0
SK_521426,Hodkovce,226,40,2,0,3,4,14,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,4,3,0,0
SK_518107,Hosťovce (okres Košice - okolie),166,70,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,3,0,49
SK_521442,Hrasovik,280,50,1,0,2,4,11,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0,9,1,6,0,0,0,0,1,6,0,0
SK_521469,Hylov,410,48,1,0,3,7,10,0,0,3,0,0,0,7,0,0,0,0,2,0,2,0,1,3,4,0,0,0,0,0,5,0,0
SK_599310,Chorvaty,94,38,1,0,1,0,2,0,0,0,0,0,1,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
SK_521477,Chrastne,353,46,3,0,8,4,11,0,3,0,0,0,0,2,1,1,0,1,0,0,0,0,1,1,4,0,1,0,0,3,2,0,0
SK_521485,Janik,492,55,1,0,3,1,2,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,2,0,2,0,0,0,0,0,5,0,26
SK_521493,Jasov,2125,327,14,0,156,1,17,1,8,0,0,0,0,5,4,8,0,12,0,3,0,3,7,1,5,29,1,1,0,2,7,1,41
SK_521507,Kalsa,573,72,3,0,6,11,24,0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,10,1,2,0,1,0,0,1,5,1,0
SK_521523,Kecerovce,1860,122,3,0,60,3,27,0,5,0,0,2,0,2,2,3,0,0,3,1,0,0,7,0,2,0,1,0,0,0,1,0,0
SK_521540,Kecerovsky Lipovec,105,35,3,0,2,1,17,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,0,0
SK_559687,Kechnec,857,139,4,0,4,10,59,1,1,0,0,1,0,6,1,0,0,15,0,0,0,0,4,0,8,0,3,0,0,6,7,0,9
SK_521558,Koksov - Baksa,935,69,2,0,2,16,19,0,5,7,0,0,0,1,1,0,1,0,1,0,1,0,2,5,3,1,1,0,0,0,1,0,0
SK_521566,Komarovce,325,90,7,0,1,0,0,0,0,0,0,0,0,26,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,0,48
SK_582514,Kostoľany nad Hornádom,994,117,5,0,1,13,36,0,2,9,1,3,0,7,1,0,1,0,0,4,0,0,9,2,1,0,2,4,0,2,13,1,0
