gisco_id,name,registered,turnout,invalid,blank,PATRIOT,MySlovensko,Demokrati,MSZ,SOSK,SOS,S.sk,SNS,Republika,SĽS,SRDCE-SNJ,ĽSNS,ZR,KSS,KÚ,Smer-SD,KDH,SaS,PS,Slovensko-ZĽ,Hlas-SD,Volt,SDKÚ-DS
SK_501549,Dobrohost,447,171,2,0,1,0,7,42,0,0,0,0,13,0,0,0,2,0,1,32,3,6,51,6,5,0,0
SK_501557,Dolny Bar,817,197,5,0,0,1,10,82,0,0,0,1,15,0,0,0,1,0,0,35,0,6,37,1,3,0,0
SK_501611,Dolny Stal,1643,437,6,0,2,0,6,304,0,0,1,0,22,0,1,0,0,0,0,51,1,6,25,5,7,0,0
SK_501433,Dunajska Streda,19089,5151,126,0,11,2,138,2030,2,1,2,23,297,0,1,8,21,3,6,712,62,100,1373,82,145,5,1
SK_555541,Dunajsky Klatov,675,170,5,0,0,0,5,92,0,0,0,1,5,0,0,0,1,0,0,23,0,2,30,0,6,0,0
SK_501573,Gabcikovo,4324,1151,21,0,6,0,11,709,0,0,0,4,64,1,0,1,2,0,5,126,2,13,155,7,23,0,1
SK_501581,Holice,1737,614,7,0,2,0,9,386,1,0,0,2,23,0,0,0,8,0,0,58,4,11,96,3,3,0,1
SK_501590,Horna Poton,1826,469,8,0,0,0,12,193,0,0,0,5,30,0,0,4,2,0,0,82,3,14,105,2,9,0,0
SK_555568,Horne Myto,780,169,6,0,1,0,0,115,0,0,0,2,9,0,0,0,1,0,0,14,0,0,14,0,5,2,0
SK_501603,Horny Bar,1105,387,7,0,3,0,11,171,0,0,0,4,32,0,0,1,0,1,0,58,2,9,79,1,6,1,1
SK_501620,Hubice,533,163,3,0,0,0,11,54,0,0,0,0,14,0,0,0,0,0,0,23,2,7,36,6,7,0,0
SK_501638,Hviezdoslavov,2585,1075,20,0,5,0,69,7,1,0,0,16,95,0,0,3,6,0,10,155,32,113,503,6,34,0,0
SK_501654,Jahodna,1450,340,7,0,1,1,1,184,0,0,0,2,22,0,1,0,1,0,1,26,2,11,65,7,8,0,0
SK_501662,Janiky,760,300,2,0,0,1,8,135,0,0,0,4,22,0,0,0,1,0,0,39,3,8,67,3,7,0,0
SK_501671,Jurova,411,155,1,0,1,0,4,84,0,0,0,2,2,0,0,0,0,0,0,18,0,0,22,5,16,0,0
SK_501689,Klucovec,292,126,3,0,1,0,0,91,0,0,3,0,5,0,0,0,0,0,0,7,2,0,5,1,8,0,0
SK_501697,Kostolne Kracany,1221,350,2,0,0,0,10,200,0,0,0,0,20,0,0,0,1,0,1,43,0,4,47,9,13,0,0
SK_501701,Kralovicove Kracany,935,241,3,0,0,1,2,129,0,0,0,2,14,0,0,1,4,0,0,37,1,1,34,8,4,0,0
SK_501719,Kutniky,1204,365,6,0,4,0,12,152,0,0,1,1,42,0,0,0,1,0,0,56,2,10,62,10,6,0,0
SK_501727,Kvetoslavov,1558,690,10,0,1,0,48,18,1,0,2,4,70,0,1,2,5,0,1,88,33,52,320,10,23,1,0
SK_580597,Kyselica,217,97,2,0,0,0,4,31,0,0,0,2,4,0,0,0,1,1,0,14,1,3,31,3,0,0,0
SK_501735,Lehnice,2648,700,23,0,1,0,20,132,0,0,0,5,66,0,1,2,11,2,2,170,15,22,181,12,33,2,0
SK_501743,Luc na Ostrove,631,176,3,0,0,0,3,108,0,0,0,1,8,0,0,0,2,0,0,17,1,2,27,0,3,0,1
SK_555606,Macov,404,145,1,0,2,0,4,19,0,0,0,2,19,0,0,0,0,0,0,27,8,6,43,1,12,1,0
SK_555649,Mad,491,183,2,0,0,1,3,130,0,0,0,0,4,0,0,0,1,0,0,24,0,0,12,0,6,0,0
SK_555665,Male Dvorniky,978,339,0,0,0,0,3,190,0,0,0,0,6,0,0,0,0,0,2,46,1,2,74,3,11,0,1
SK_501760,Medvedov,474,148,2,0,0,0,9,97,0,0,0,0,11,0,0,0,0,0,0,13,2,1,9,1,3,0,0
SK_501778,Mierovo,371,131,2,0,0,0,0,70,0,0,0,0,5,0,0,0,0,0,0,13,1,4,32,3,1,0,0
SK_501786,Michal na Ostrove,920,249,3,0,0,0,10,86,0,0,0,6,25,0,0,0,2,0,0,53,1,3,51,4,4,0,1
SK_501930,Narad,546,229,4,0,0,0,4,149,0,0,0,0,10,0,0,0,0,0,0,24,1,1,29,1,6,0,0
SK_501808,Novy Zivot,1856,432,10,0,2,0,21,177,0,0,0,0,27,0,0,0,1,0,0,58,4,13,96,14,8,1,0
SK_501816,Ohrady,1142,297,4,0,0,0,2,182,0,0,0,2,16,0,0,3,1,0,0,35,4,4,34,4,6,0,0
SK_501824,Okoc,3122,1038,7,0,1,0,12,861,1,1,1,0,27,0,0,0,0,2,0,54,0,2,58,2,8,0,1
SK_501832,Oldza,494,182,7,0,0,0,13,27,0,0,1,2,16,0,0,1,0,0,2,25,6,6,68,2,6,0,0
SK_501859,Orechova Poton,1390,369,3,0,1,1,13,186,0,0,0,2,10,0,0,0,1,0,0,41,0,5,90,8,8,0,0
SK_501867,Padan,736,182,0,0,0,0,3,128,0,0,0,1,8,0,0,0,1,0,0,25,0,0,16,0,0,0,0
SK_501883,Patas,649,194,3,0,0,1,1,138,0,0,0,0,12,0,0,0,0,0,0,22,2,1,12,0,2,0,0
SK_582522,Potônske Lúky,261,117,1,0,0,0,2,64,0,0,0,0,11,0,0,0,0,0,0,18,0,3,14,0,4,0,0
SK_555720,Povoda,789,182,2,0,2,0,2,79,0,0,2,0,7,0,0,0,0,0,0,38,3,1,38,3,5,0,0
SK_501891,Rohovce,881,265,6,0,1,0,10,135,0,0,0,5,21,0,1,0,0,0,0,23,3,4,50,4,2,0,0
SK_501875,Sap,435,166,7,0,0,0,2,122,0,0,0,1,6,0,0,0,1,0,0,8,1,2,13,0,3,0,0
SK_501905,Samorin,10911,3804,87,0,5,0,110,887,0,1,1,34,247,0,4,4,20,2,16,521,77,171,1417,59,138,3,0
SK_501913,Stvrtok na Ostrove,1417,336,8,0,1,0,19,99,0,0,0,1,16,0,0,0,1,0,2,54,7,17,103,2,6,0,0
SK_501921,Topolniky,2594,654,5,0,2,0,9,437,0,0,0,5,27,0,1,0,0,0,0,71,0,4,69,7,15,2,0
SK_555576,Trhova Hradska,1819,406,7,0,2,0,8,263,0,1,0,0,11,0,0,0,1,2,1,56,1,2,41,1,8,0,1
