gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,V,H,FrP,Dem,K,KSP,KP,MDG,Piratpartiet,PP,DLF,SP,NKP,FM,Folkelisten,StA
NO_1124,Sola,16339,13150,10,44,2358,308,37,449,1218,581,4844,2837,8,69,8,6,230,47,44,6,0,2,0,0,0
NO_1127,Randaberg,7065,5775,4,26,1233,127,17,249,754,271,1869,1014,3,50,6,3,96,15,10,2,0,0,0,0,0
NO_1129,Forsand,844,676,0,1,122,16,1,77,154,19,144,101,3,25,2,0,7,1,2,0,0,0,0,0,0
NO_1130,Strand,8306,6433,0,20,1294,170,15,287,1177,206,1657,1287,5,121,13,1,130,10,15,5,0,0,0,0,0
NO_1133,Hjelmeland,1828,1452,0,5,242,48,2,401,260,32,232,176,1,3,2,2,32,5,2,2,0,0,0,0,0
NO_1134,Suldal,2773,2171,1,7,472,123,11,552,294,102,292,228,0,28,4,3,39,3,5,0,0,0,0,0,0
NO_1135,Sauda,3565,2786,4,16,1084,101,14,201,181,104,611,366,4,8,6,0,46,10,13,0,0,1,0,0,0
NO_1141,Finnøy,2054,1708,0,5,219,45,1,407,445,71,265,171,1,25,3,1,35,5,3,1,0,0,0,0,0
NO_1142,Rennesøy,3060,2538,0,13,452,69,8,292,283,82,822,452,0,10,3,2,31,2,4,0,0,0,0,0,0
NO_1144,Kvitsøy,392,342,0,0,74,8,2,16,78,14,52,81,0,10,0,0,5,1,0,0,0,1,0,0,0
NO_1145,Bokn,614,490,0,3,85,11,2,125,47,10,111,76,0,8,0,3,5,1,0,0,0,0,0,0,0
NO_1146,Tysvær,7273,5923,11,24,1322,92,14,524,662,213,1626,1133,3,96,6,11,95,9,47,4,0,7,0,0,0
NO_1149,Karmøy,29354,22460,19,73,4695,418,55,495,3148,646,6124,5772,8,377,31,15,259,67,164,18,0,3,0,0,0
NO_1151,Utsira,157,145,0,2,58,4,1,20,9,4,31,9,0,0,1,3,0,0,1,0,0,0,0,0,0
NO_1160,Vindafjord,5919,4589,0,9,911,113,10,945,571,118,1062,691,4,52,15,2,45,10,18,3,0,1,0,0,0
NO_1201,Bergen,193348,157504,231,732,39872,10008,1855,3129,8842,10680,52371,20509,113,827,0,108,6285,662,371,0,0,72,105,0,0
NO_1211,Etne,2857,2259,2,10,467,68,4,354,285,90,513,384,1,24,0,5,32,6,4,0,0,0,0,0,0
NO_1216,Sveio,3729,2966,0,11,636,68,15,250,322,126,729,627,4,61,0,12,75,4,15,0,0,0,0,0,0
NO_1219,Bømlo,8069,6497,2,18,1279,109,17,253,1501,217,1517,1227,4,200,0,20,80,19,13,0,0,1,2,0,0
NO_1221,Stord,12817,10179,22,64,3119,440,78,419,973,452,2372,1735,34,169,0,4,165,33,27,0,0,5,4,0,0
NO_1222,Fitjar,2133,1766,2,5,282,33,7,141,353,36,526,288,1,49,0,6,22,5,4,0,0,0,1,0,0
NO_1223,Tysnes,2062,1632,1,6,327,40,4,184,170,69,457,293,1,17,0,1,45,5,4,0,0,2,0,0,0
