gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,ND,DNI,EP,FOR,GP,VIPartiet,INP,K,PP,Sentrum,RUS,NKP,Pasientfokus
NO_3425,Engerdal,1002,836,1,6,258,30,49,243,6,11,6,66,122,6,1,0,3,4,1,3,0,10,4,0,0,0
NO_3426,Tolga,1099,928,0,8,264,79,49,325,14,39,13,31,69,3,0,0,6,2,1,6,3,8,0,0,0,0
NO_3427,Tynset,4147,3378,4,16,1103,158,134,977,42,139,64,205,403,27,4,0,0,15,4,26,7,31,3,0,0,0
NO_3428,Alvdal,1824,1470,6,16,475,39,44,474,32,43,23,68,190,14,0,0,1,7,1,10,0,9,2,0,0,0
NO_3429,Folldal,1220,1040,4,4,339,38,68,368,11,25,5,46,86,6,3,0,5,5,3,7,1,12,0,0,0,0
NO_3430,Os,1491,1223,3,9,417,76,71,404,30,20,11,32,108,9,3,0,1,11,0,5,0,4,0,0,0,0
NO_3431,Dovre,1961,1516,3,18,507,45,59,402,19,41,15,66,262,19,1,0,4,6,2,9,5,13,2,0,0,0
NO_3432,Lesja,1508,1215,3,14,282,46,54,468,18,11,10,39,217,16,2,0,0,4,0,4,5,6,2,0,0,0
NO_3433,Skjåk,1742,1405,7,21,109,69,95,741,12,13,10,29,215,18,2,0,3,15,2,8,4,8,3,0,0,0
NO_3434,Lom,1747,1434,3,17,120,97,74,827,18,12,19,25,171,6,0,0,2,2,1,7,3,7,6,0,0,0
NO_3435,Vågå,2772,2148,2,29,549,151,77,738,18,23,13,86,365,14,1,0,2,12,2,15,6,14,2,0,0,0
NO_3436,Nord-Fron,4315,3413,0,30,1144,82,130,696,46,32,30,205,857,38,9,0,9,15,4,23,4,25,4,0,0,0
NO_3437,Sel,4320,3308,7,40,1280,148,145,608,33,50,43,169,624,29,4,0,10,18,0,18,13,27,2,0,0,0
NO_3438,Sør-Fron,2314,1839,5,21,612,35,51,497,21,21,16,102,368,21,5,0,2,10,2,12,3,11,3,0,0,0
NO_3439,Ringebu,3230,2478,0,36,870,59,108,640,29,51,17,131,429,22,0,0,2,12,0,9,3,16,8,0,0,0
NO_3440,Øyer,3714,2972,0,28,1100,170,121,544,75,56,48,259,448,16,5,0,2,21,2,13,14,20,2,0,0,0
NO_3441,Gausdal,4824,3762,1,53,1319,157,165,782,63,87,68,172,713,17,3,0,4,30,6,24,2,38,5,0,0,0
NO_3442,Østre Toten,11362,8944,27,112,3039,267,331,1161,213,213,227,798,2031,77,17,0,17,61,13,64,22,119,23,0,0,0
NO_3443,Vestre Toten,10594,8182,16,121,2795,260,375,757,181,178,164,777,2018,66,20,0,21,57,23,89,31,87,25,0,0,0
NO_3446,Gran,10592,8537,16,71,2705,244,331,728,183,165,155,1049,2440,70,6,0,26,79,16,44,28,99,11,0,0,0
NO_3447,Søndre Land,4280,3263,9,31,974,167,199,572,48,61,50,186,749,50,7,0,6,30,5,34,9,39,6,0,0,0
NO_3448,Nordre Land,5110,3960,15,50,687,209,188,1280,75,39,50,138,974,49,8,0,11,36,10,38,10,36,7,0,0,0
NO_3449,Sør-Aurdal,2243,1776,1,12,575,39,49,358,70,35,19,113,416,19,1,0,6,11,1,17,6,12,4,0,0,0
NO_3450,Etnedal,995,796,7,11,197,20,37,221,34,16,3,46,158,13,2,0,3,6,1,2,2,6,0,0,0,0
NO_3451,Nord-Aurdal,4869,3770,6,23,1071,141,108,583,91,156,65,352,991,51,5,0,12,29,5,21,12,21,4,0,0,0
NO_3452,Vestre Slidre,1663,1323,0,9,292,41,45,338,29,36,23,99,340,19,2,0,6,10,1,3,7,10,4,0,0,0
NO_3453,Øystre Slidre,2458,1904,4,16,485,108,44,433,33,70,38,150,418,29,2,0,2,22,2,19,4,9,0,0,0,0
NO_3454,Vang,1128,918,1,4,215,33,38,248,11,59,7,52,198,11,1,0,1,11,3,6,4,7,4,0,0,0
NO_3901,Horten,21153,16924,20,152,5077,840,1047,343,518,875,577,2386,4270,133,22,0,59,129,29,117,38,121,19,0,0,0
NO_3903,Holmestrand,19600,15859,33,127,4250,535,830,778,632,581,434,2095,4747,168,43,0,33,121,22,114,62,109,18,0,0,0
NO_3905,Tønsberg,44579,36520,27,307,9833,1559,1677,1226,1585,1685,1378,6236,9198,274,79,0,99,253,72,200,190,266,69,0,0,0
NO_3907,Sandefjord,48585,38135,7,315,9328,1391,1701,1163,1737,1399,1409,6766,10993,298,69,0,113,241,55,271,232,289,43,0,0,0
NO_3909,Larvik,36845,29162,48,208,8331,1141,1287,1179,1214,932,797,4224,8353,223,43,0,79,194,45,173,168,280,35,0,0,0
NO_3911,Færder,20869,17342,31,126,4770,723,889,293,553,1016,696,3261,4170,132,31,0,57,133,36,94,64,116,25,0,0,0
