gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_1103,Stavanger,90232,71138,69,396,18989,4109,1354,2171,3355,2639,3674,22058,10813,51,32,143,151,63,188,278,138,29,0,0,0,42,0,0
NO_1106,Haugesund,25918,19914,26,117,5256,908,252,665,849,540,779,6077,3763,28,20,49,69,21,53,272,42,5,0,0,0,6,0,0
NO_1111,Sokndal,2443,1986,2,13,366,40,17,172,284,20,26,451,520,2,4,7,30,3,1,5,7,2,0,0,0,1,0,0
NO_1112,Lund,2335,1834,0,5,338,26,12,262,244,32,34,361,468,6,2,1,21,0,1,5,4,1,0,0,0,6,0,0
NO_1114,Bjerkreim,1914,1577,1,6,150,26,11,456,298,10,30,307,258,2,1,3,8,0,0,0,3,1,0,0,0,0,0,0
NO_1119,Hå,12159,9866,20,42,1321,222,52,1504,1651,124,126,2279,2228,9,12,13,143,10,30,27,7,2,0,0,0,2,0,0
NO_1120,Klepp,12759,10294,1,56,1653,252,70,1118,1060,163,240,2840,2550,10,8,22,79,28,32,36,15,2,0,0,0,3,0,0
NO_1121,Time,12884,10592,20,62,2033,388,57,1187,1205,288,267,2901,1908,6,8,18,87,5,33,25,26,4,0,0,0,2,0,0
NO_1122,Gjesdal,7762,6228,11,35,1349,168,38,689,835,111,137,1383,1338,5,11,19,26,3,13,9,11,0,0,0,0,2,0,0
NO_1124,Sola,17124,13984,20,77,2635,382,99,785,907,315,472,4870,3123,8,18,24,30,28,36,48,22,4,0,0,0,4,0,0
NO_1127,Randaberg,7477,6161,8,44,1257,160,42,400,710,149,198,1913,1132,3,5,13,31,5,6,18,16,1,0,0,0,6,0,0
NO_1129,Forsand,823,708,0,2,100,10,4,124,120,11,13,161,141,0,2,2,14,0,2,0,0,0,0,0,0,0,0,0
NO_1130,Strand,8710,6789,10,29,1277,160,46,533,1001,128,168,1826,1438,2,9,13,81,3,18,11,6,1,0,0,0,0,0,0
NO_1133,Hjelmeland,1791,1465,3,4,223,43,5,470,181,30,31,254,199,1,1,2,7,2,0,3,0,0,0,0,0,2,0,0
NO_1134,Suldal,2703,2215,0,11,411,111,18,730,220,52,68,308,252,2,0,3,12,1,2,2,1,0,0,0,0,0,0,0
