gisco_id,name,registered,turnout,invalid,blank,Ap,SV,Rødt,Sp,KrF,MDG,V,H,FrP,Alliansen,Dem,VIPartiet,K,KP,Lib,PP,Piratpartiet,NKP,SP,F!,NP [Norgespartiet],Verdi,NL,NT
NO_2015,Hasvik,680,477,1,7,194,25,1,95,7,10,4,73,48,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
NO_2017,Kvalsund,793,555,3,6,178,36,9,74,20,10,12,87,107,0,2,1,1,2,0,0,1,0,0,0,0,0,0,0
NO_2018,Måsøy,882,571,1,7,241,18,8,99,4,7,8,93,73,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0
NO_2019,Nordkapp,2350,1629,9,11,638,183,14,187,11,19,21,262,231,5,11,4,2,3,2,0,5,0,0,0,0,0,0,0
NO_2020,Porsanger - Porsáŋgu - Porsanki,3046,2249,0,18,737,156,28,313,36,36,19,473,356,9,2,11,11,8,12,0,6,0,0,0,0,0,0,0
NO_2021,Kárásjohka Karasjok,2072,1475,1,16,439,122,17,513,57,25,36,123,81,4,9,5,3,0,4,0,4,0,0,0,0,0,0,0
NO_2022,Lebesby,943,693,1,5,243,54,10,121,25,17,12,81,94,5,2,3,4,11,0,0,0,0,0,0,0,0,0,0
NO_2023,Gamvik,707,515,2,6,216,59,6,88,4,6,7,39,67,0,0,1,1,4,1,0,2,0,0,0,0,0,0,0
NO_2024,Berlevåg,714,465,0,4,199,27,11,45,2,8,2,80,75,2,0,3,0,2,0,0,1,0,0,0,0,0,0,0
NO_2025,Deatnu Tana,2211,1698,4,15,496,201,21,370,21,28,29,221,251,3,1,4,8,3,5,0,2,0,0,0,0,0,0,0
NO_2027,Unjárga Nesseby,704,554,1,2,188,119,13,91,6,5,7,61,47,0,1,0,6,3,1,0,1,0,0,0,0,0,0,0
NO_2028,Båtsfjord,1391,936,3,11,352,37,10,93,2,13,11,222,155,2,0,4,0,7,2,0,1,0,0,0,0,0,0,0
NO_2030,Sør-Varanger,7283,5472,26,53,2028,575,96,643,73,128,79,872,751,16,12,23,16,14,5,0,9,0,0,0,0,0,0,0
