gisco_id,registered,turnout,invalid,blank,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
PT_050227,1013,634,7,13,134,223,163,24,13,12,17,9,6,3,1,0,3,3,3,0,0,0,0,0
PT_050228,1255,807,12,6,160,327,191,35,19,12,10,13,10,1,1,0,2,5,3,0,0,0,0,0
PT_050229,642,443,16,6,92,175,87,16,7,6,11,9,7,0,0,0,5,2,4,0,0,0,0,0
PT_050211,797,510,13,3,118,180,114,15,11,8,16,7,14,0,0,0,0,1,10,0,0,0,0,0
PT_050212,445,290,3,5,83,118,51,5,3,3,2,5,4,1,0,0,1,6,0,0,0,0,0,0
PT_050214,344,212,4,0,20,105,45,7,0,0,1,1,24,1,0,0,0,1,3,0,0,0,0,0
PT_050216,280,173,3,3,33,83,33,2,7,4,1,0,0,0,0,0,1,2,1,0,0,0,0,0
PT_050230,641,420,4,2,112,134,114,12,10,6,10,6,3,2,0,0,1,3,1,0,0,0,0,0
PT_050231,838,542,14,14,117,166,139,18,25,6,21,8,8,2,0,0,1,2,1,0,0,0,0,0
PT_050220,618,411,6,8,90,176,85,19,4,7,6,2,4,0,0,0,3,1,0,0,0,0,0,0
PT_050221,585,322,3,3,117,103,60,5,4,10,2,6,3,0,0,0,0,2,4,0,0,0,0,0
PT_050222,966,583,8,5,205,180,114,20,7,20,8,3,7,0,0,0,0,4,2,0,0,0,0,0
PT_050223,933,574,10,5,214,191,109,8,5,10,10,4,4,0,0,0,1,1,2,0,0,0,0,0
PT_050225,494,312,3,3,93,83,77,11,10,6,8,10,4,1,0,0,3,0,0,0,0,0,0,0
PT_050302,449,292,3,1,43,150,59,6,4,3,1,4,14,0,0,0,1,0,3,0,0,0,0,0
PT_050332,835,469,8,6,106,186,80,47,8,6,7,5,4,0,0,0,5,0,1,0,0,0,0,0
PT_050305,2737,2009,23,38,484,778,297,100,73,21,55,29,89,1,1,0,5,3,12,0,0,0,0,0
PT_050333,3125,1985,24,22,265,1085,229,125,35,20,46,19,90,3,0,0,7,2,13,0,0,0,0,0
PT_050334,730,346,8,6,79,162,39,6,4,13,6,0,17,1,0,0,2,1,2,0,0,0,0,0
PT_050308,699,452,11,8,87,211,60,25,10,5,7,3,17,2,0,0,1,3,2,0,0,0,0,0
PT_050335,16404,11243,110,161,3033,4619,1300,670,360,71,309,153,346,11,10,0,20,24,46,0,0,0,0,0
PT_050309,917,615,13,4,175,222,114,22,17,4,12,8,15,0,3,0,3,1,2,0,0,0,0,0
PT_050310,606,407,4,10,70,205,69,20,7,8,6,2,2,0,0,0,3,0,1,0,0,0,0,0
PT_050311,1365,873,10,17,188,340,163,61,20,9,14,13,21,1,1,0,11,2,2,0,0,0,0,0
PT_050312,629,437,5,5,98,200,56,19,11,5,12,11,6,1,1,0,2,2,3,0,0,0,0,0
PT_050314,1329,796,7,10,188,268,185,32,19,6,21,14,32,2,1,0,3,6,2,0,0,0,0,0
PT_050315,864,505,6,5,140,191,108,21,6,7,6,5,3,0,1,0,1,4,1,0,0,0,0,0
PT_050336,1215,808,8,17,203,359,106,21,19,8,21,12,21,2,0,0,3,4,4,0,0,0,0,0
PT_050318,499,313,9,8,65,178,23,7,1,2,4,4,4,0,1,0,1,2,4,0,0,0,0,0
PT_050322,297,194,2,3,59,80,20,6,4,6,2,1,4,0,0,0,1,2,4,0,0,0,0,0
