gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP.PPM,B.E.,PCP-PEV,MPT,NC,PAN,PNR,PCTP/MRPP,PDR,PTP-MAS,PURP,L/TDA,PPD/PSD.CDS-PP,PPV/CDC,JPP,PPM,CDS-PP,PTP
PT_430206,Lajes,3218,1083,9,50,433,402,45,73,23,2,6,10,3,9,8,5,3,2,0,0,0,0,0,0
PT_430211,Porto Martins,990,461,4,32,172,141,45,45,6,1,2,5,0,3,2,1,0,2,0,0,0,0,0,0
PT_430207,Praia Da Vitória (Santa Cruz),6283,2131,38,79,970,618,127,166,44,7,6,13,5,21,6,6,10,15,0,0,0,0,0,0
PT_430208,Quatro Ribeiras,394,190,2,3,92,68,8,10,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0
PT_430209,São Brás,991,410,6,26,173,147,18,19,8,1,1,1,1,2,4,1,2,0,0,0,0,0,0,0
PT_430210,Vila Nova,1561,678,9,22,319,259,20,31,8,1,1,2,2,3,0,1,0,0,0,0,0,0,0,0
PT_410101,Almagreira,545,215,6,15,87,68,7,23,4,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0
PT_410102,Santa Bárbara,531,176,0,7,67,68,3,17,6,1,1,0,0,1,2,1,0,2,0,0,0,0,0,0
PT_410103,Santo Espírito,732,213,6,9,96,62,2,18,6,0,0,1,1,3,5,1,3,0,0,0,0,0,0,0
PT_410104,São Pedro,694,280,4,16,105,97,7,28,11,1,1,2,0,1,2,1,1,3,0,0,0,0,0,0
PT_410105,Vila Do Porto,2950,1218,19,40,571,361,28,110,48,0,3,2,1,7,15,3,6,4,0,0,0,0,0,0
PT_420601,Água de Alto,1642,565,10,18,255,195,6,49,11,2,6,1,0,7,3,1,1,0,0,0,0,0,0,0
PT_420602,Ponta Garça,3167,1211,26,32,455,519,15,83,21,8,9,8,0,15,9,5,4,2,0,0,0,0,0,0
PT_420603,Ribeira Das Taínhas,656,341,13,11,158,109,6,24,4,2,5,4,1,2,1,0,1,0,0,0,0,0,0,0
PT_420606,Ribeira Seca,973,341,5,9,140,130,7,35,7,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0
PT_420604,Vila Franca Do Campo (São Miguel),2676,886,14,15,428,295,11,65,14,3,24,7,0,3,2,1,3,1,0,0,0,0,0,0
PT_420605,Vila Franca Do Campo (São Pedro),1407,513,5,12,201,205,13,30,16,3,8,10,0,1,2,3,1,3,0,0,0,0,0,0
PT_010103,Aguada De Cima,3703,1814,22,48,459,0,0,122,41,7,4,13,7,19,23,6,2,10,1020,5,3,3,0,0
PT_010121,Águeda e Borralha,12373,6852,85,208,2132,0,0,596,298,17,13,67,20,58,76,12,16,26,3204,9,4,11,0,0
PT_010122,Barrô e Aguada de Baixo,3077,1600,26,60,398,0,0,111,31,5,3,7,6,9,12,7,2,1,914,1,2,5,0,0
PT_010123,"Belazaima do Chão, Castanheira do Vouga e Agadão",1465,901,9,38,216,0,0,42,15,2,1,4,1,3,8,4,1,2,550,1,2,2,0,0
PT_010109,Fermentelos,2854,1720,15,47,190,0,0,87,35,5,4,7,5,4,13,7,3,4,1286,2,0,6,0,0
PT_010112,Macinhata Do Vouga,3081,1592,19,40,459,0,0,146,81,7,1,13,9,18,11,6,1,0,772,1,1,7,0,0
PT_010127,Préstimo e Macieira de Alcoba,854,448,9,11,105,0,0,26,20,0,1,4,2,3,3,0,1,1,258,0,4,0,0,0
