gisco_id,name,registered,turnout,invalid,blank,PS,PPD/PSD,CDS-PP,B.E.,CH,A,L,PCP-PEV,PPM,IL,MAS,PAN,PCTP/MRPP,MPT,PDR,PNR,PTP,R.I.R.,NC,PURP,JPP
PT_420317,Rosto Do Cão (Livramento),4076,1479,32,66,482,475,53,153,11,31,26,33,9,13,1,66,13,10,2,2,1,0,0,0,0
PT_420318,Rosto Do Cão (São Roque),4514,1327,40,63,533,333,33,147,18,16,12,27,5,19,4,48,11,6,3,6,3,0,0,0,0
PT_420319,Santa Bárbara,765,310,10,13,165,56,7,22,2,1,0,3,1,0,1,14,7,3,1,3,1,0,0,0,0
PT_420325,Santa Clara,2855,1059,19,38,424,299,31,106,11,12,21,27,7,13,1,32,5,3,2,7,1,0,0,0,0
PT_420320,Santo António,1663,567,19,13,269,142,31,33,4,3,5,7,3,2,2,16,5,4,1,5,3,0,0,0,0
PT_420321,São Vicente Ferreira,2243,834,15,45,273,259,36,90,7,13,13,19,7,8,2,31,4,5,2,4,1,0,0,0,0
PT_420322,Sete Cidades,673,238,6,9,158,38,4,7,2,1,1,3,0,1,0,5,1,2,0,0,0,0,0,0,0
PT_420401,Água Retorta,420,190,7,10,109,39,6,1,5,1,0,1,0,0,1,4,0,4,0,2,0,0,0,0,0
PT_420402,Faial Da Terra,409,124,0,15,63,32,4,2,0,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0
PT_420403,Furnas,1524,502,18,32,204,90,21,54,6,2,11,10,0,5,0,33,5,3,1,4,3,0,0,0,0
PT_420404,Nossa Senhora Dos Remédios,1171,375,8,39,141,132,18,19,2,1,0,3,1,0,0,5,3,3,0,0,0,0,0,0,0
PT_420405,Povoação,2063,789,18,56,374,189,38,54,4,3,3,9,3,6,0,23,6,2,0,1,0,0,0,0,0
PT_420406,Ribeira Quente,841,255,7,18,110,55,9,31,0,0,1,2,3,1,0,12,2,1,0,1,2,0,0,0,0
PT_420501,Calheta,761,254,6,14,100,67,13,22,5,3,5,1,0,4,0,10,1,3,0,0,0,0,0,0,0
PT_420502,Fenais Da Ajuda,937,303,3,14,100,118,25,10,1,3,2,10,0,0,1,8,2,3,0,2,1,0,0,0,0
PT_420503,Lomba Da Maia,1056,363,4,20,154,117,19,18,3,4,1,6,1,1,0,8,1,4,1,1,0,0,0,0,0
PT_420504,Lomba De São Pedro,327,141,7,2,68,52,1,5,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0
PT_420505,Maia,1748,658,11,33,349,141,26,42,2,3,7,12,2,2,2,12,9,4,0,1,0,0,0,0,0
PT_420506,Pico Da Pedra,2632,1034,20,42,391,256,31,140,18,19,13,27,8,12,1,39,2,9,1,4,1,0,0,0,0
PT_420507,Porto Formoso,1130,383,9,16,216,70,17,19,4,1,1,7,2,3,0,11,5,1,0,0,1,0,0,0,0
PT_420508,Rabo De Peixe,7369,1571,47,40,395,722,35,213,12,13,8,15,12,7,0,25,7,5,3,7,5,0,0,0,0
PT_420509,Ribeira Grande (Conceição),2283,926,21,43,360,245,21,117,12,7,13,22,7,8,0,35,5,4,0,2,4,0,0,0,0
PT_420510,Ribeira Grande (Matriz),3448,1032,31,39,382,349,21,95,7,3,4,18,5,6,4,40,11,6,2,5,4,0,0,0,0
PT_420511,Ribeira Seca,2640,875,20,22,271,371,25,65,10,4,11,18,2,6,1,27,10,4,1,3,4,0,0,0,0
PT_420512,Ribeirinha,2241,663,8,17,215,293,27,56,5,1,4,5,3,2,0,15,5,1,0,1,5,0,0,0,0
PT_420513,Santa Bárbara,1138,406,16,17,182,89,20,39,1,3,5,8,2,6,1,9,3,0,1,4,0,0,0,0,0
PT_420514,São Brás,595,251,5,12,80,105,10,18,1,1,3,7,1,1,1,3,3,0,0,0,0,0,0,0,0
PT_440101,Guadalupe,1012,417,7,26,153,196,5,14,6,1,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0
PT_440102,Luz,647,274,5,20,153,74,4,4,1,0,3,2,0,1,1,3,1,0,1,1,0,0,0,0,0
PT_440104,Santa Cruz Da Graciosa,1641,741,5,43,403,191,24,32,8,0,3,9,2,9,3,8,0,0,0,1,0,0,0,0,0
PT_440103,São Mateus,718,423,6,20,246,119,7,10,2,1,1,3,0,0,0,0,2,2,0,2,2,0,0,0,0
PT_480201,Caveira,66,35,0,5,13,0,4,1,1,1,3,4,0,0,0,2,1,0,0,0,0,0,0,0,0
PT_480202,Cedros,112,43,1,2,16,5,4,1,1,0,0,10,0,1,0,0,2,0,0,0,0,0,0,0,0
PT_480203,Ponta Delgada,290,121,1,13,43,36,7,6,4,0,0,8,0,0,0,1,1,1,0,0,0,0,0,0,0
PT_480204,Santa Cruz Das Flores,1397,584,17,30,267,117,19,34,12,5,1,51,3,3,2,15,6,1,0,1,0,0,0,0,0
PT_460301,Prainha,550,198,1,8,101,57,8,9,1,1,1,3,0,0,3,3,0,2,0,0,0,0,0,0,0
PT_460302,Santa Luzia,425,154,0,14,53,57,6,10,1,1,2,2,0,0,1,5,1,0,1,0,0,0,0,0,0
PT_460303,Santo Amaro,286,148,2,6,73,50,2,8,0,0,1,1,0,0,0,1,1,3,0,0,0,0,0,0,0
PT_460304,Santo António,722,265,3,25,135,57,9,10,4,0,1,8,1,1,0,9,1,0,0,1,0,0,0,0,0
PT_460305,São Roque Do Pico,1259,493,7,29,164,176,25,40,7,5,5,8,3,1,0,13,5,1,0,3,1,0,0,0,0
PT_450201,Manadas (Santa Bárbara),353,159,4,4,49,49,29,6,0,0,0,13,0,1,0,3,1,0,0,0,0,0,0,0,0
PT_450202,Norte Grande (Neves),552,249,2,8,84,58,52,7,0,2,0,31,0,0,0,2,1,1,0,1,0,0,0,0,0
PT_450203,Rosais,691,253,3,9,96,31,73,7,0,3,0,23,0,0,0,2,5,0,0,1,0,0,0,0,0
PT_450204,Santo Amaro,774,325,2,6,102,59,65,11,0,8,1,57,0,1,0,3,9,0,1,0,0,0,0,0,0
PT_450205,Urzelina (São Mateus),841,372,7,17,104,88,52,9,6,0,3,66,0,0,0,11,8,0,1,0,0,0,0,0,0
PT_450206,Velas (São Jorge),1772,759,17,18,295,176,88,35,2,11,5,83,2,0,1,15,6,1,0,3,1,0,0,0,0
PT_430201,Agualva,1294,516,2,18,241,199,14,24,4,2,2,3,0,4,0,2,0,0,1,0,0,0,0,0,0
PT_430202,Biscoitos,1471,487,3,30,194,184,11,23,4,5,4,11,1,1,1,7,3,3,1,1,0,0,0,0,0
PT_430203,Cabo Da Praia,675,294,5,11,110,102,25,25,3,1,0,4,2,0,0,4,2,0,0,0,0,0,0,0,0
PT_430204,Fonte Do Bastardo,1082,384,4,16,163,119,31,27,2,2,1,4,1,3,0,5,1,2,0,2,1,0,0,0,0
PT_430205,Fontinhas,1454,576,5,31,247,198,39,29,2,0,0,0,2,3,0,12,3,2,0,3,0,0,0,0,0
PT_430206,Lajes,3206,965,20,66,385,302,42,69,12,6,3,14,1,8,1,22,4,1,0,8,1,0,0,0,0
PT_430211,Porto Martins,1055,466,4,23,142,141,60,52,9,3,3,9,0,3,0,12,2,0,1,2,0,0,0,0,0
PT_430207,Praia Da Vitória (Santa Cruz),6202,1801,20,76,776,477,112,151,25,17,15,41,8,12,1,38,15,8,2,4,3,0,0,0,0
PT_430208,Quatro Ribeiras,362,167,0,11,87,48,6,5,1,0,0,2,0,1,0,2,1,3,0,0,0,0,0,0,0
PT_430209,São Brás,989,346,4,30,179,83,12,14,3,2,1,8,1,1,0,4,2,2,0,0,0,0,0,0,0
PT_430210,Vila Nova,1518,584,10,20,306,178,24,20,6,1,0,2,3,1,0,5,2,0,3,2,1,0,0,0,0
PT_410101,Almagreira,576,184,0,9,88,49,3,18,1,3,2,2,0,2,0,3,0,3,0,1,0,0,0,0,0
PT_410102,Santa Bárbara,494,135,1,14,60,34,5,6,0,0,4,5,2,0,0,3,0,1,0,0,0,0,0,0,0
PT_410103,Santo Espírito,757,187,2,12,95,52,3,14,1,0,1,4,1,0,0,1,0,0,0,0,1,0,0,0,0
PT_410104,São Pedro,706,243,4,12,107,48,5,46,1,0,3,3,1,2,1,6,1,1,0,2,0,0,0,0,0
PT_410105,Vila Do Porto,2969,1056,13,57,487,267,20,100,7,14,8,30,1,7,1,32,6,1,3,1,1,0,0,0,0
PT_420601,Água de Alto,1660,495,9,18,243,113,28,34,3,4,2,7,4,0,1,18,2,4,1,1,3,0,0,0,0
PT_420602,Ponta Garça,3134,969,17,44,407,297,66,47,5,5,2,19,4,5,1,30,12,3,1,3,1,0,0,0,0
PT_420603,Ribeira Das Taínhas,650,248,8,14,128,44,13,13,2,0,4,3,3,0,0,12,2,2,0,0,0,0,0,0,0
PT_420606,Ribeira Seca,1000,282,3,7,115,99,13,20,5,3,3,3,2,1,0,3,1,2,0,2,0,0,0,0,0
PT_420604,Vila Franca Do Campo (São Miguel),2680,687,24,21,289,200,18,52,11,3,6,12,5,5,1,27,5,3,0,5,0,0,0,0,0
