gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_120102,Chancelaria,548,388,5,0,107,152,33,73,1,7,7,3,0,0,0,0
PT_120104,Cunheira,410,275,5,3,41,163,16,36,0,3,4,3,1,0,0,0
PT_120103,Seda,396,275,3,1,48,102,8,104,0,2,6,1,0,0,0,0
PT_120201,Assunção,1633,1029,6,10,342,452,53,127,2,11,16,6,4,0,0,0
PT_120202,Esperança,938,557,5,4,221,269,29,13,4,6,5,1,0,0,0,0
PT_120203,Mosteiros,435,280,5,0,59,165,15,28,0,5,2,0,1,0,0,0
PT_120301,Alcôrrego,396,299,5,2,26,41,12,206,1,3,3,0,0,0,0,0
PT_120302,Aldeia Velha,327,251,1,0,43,65,6,127,1,1,4,1,2,0,0,0
PT_120303,Avis,1499,1015,1,13,242,326,34,354,2,22,15,4,2,0,0,0
PT_120304,Benavila,856,583,3,8,117,180,12,246,2,8,5,1,1,0,0,0
PT_120305,Ervedal,584,399,4,4,102,93,19,162,1,5,8,1,0,0,0,0
PT_120306,Figueira E Barros,306,229,1,0,54,52,12,104,1,1,4,0,0,0,0,0
PT_120307,Maranhão,85,33,1,0,3,6,0,20,0,1,1,1,0,0,0,0
PT_120308,Valongo,292,238,2,3,63,82,6,74,1,3,3,0,1,0,0,0
PT_120401,Nossa Senhora Da Expectação,3105,1888,9,18,424,954,92,331,1,33,21,3,2,0,0,0
PT_120402,Nossa Senhora Da Graça Dos Degolados,547,346,1,1,47,192,20,77,0,0,6,2,0,0,0,0
PT_120403,São João Baptista,3394,1978,16,27,346,1043,71,425,1,20,24,2,3,0,0,0
PT_120501,Nossa Senhora Da  Graça De Póvoa E Meadas,631,407,8,3,99,204,16,66,0,1,10,0,0,0,0,0
PT_120502,Santa Maria Da Devesa,1590,1009,6,9,401,450,60,45,0,25,7,2,4,0,0,0
PT_120503,Santiago Maior,379,223,2,2,107,83,11,13,0,3,0,0,2,0,0,0
PT_120504,São João Baptista,704,431,3,7,164,187,34,15,2,15,4,0,0,0,0,0
PT_120601,Aldeia Da Mata,467,318,4,0,127,121,6,50,0,4,3,1,2,0,0,0
PT_120602,Crato E Mártires,1578,1027,12,7,322,430,51,162,3,17,18,3,2,0,0,0
PT_120603,Flor Da Rosa,284,169,0,3,53,62,15,29,1,3,1,1,1,0,0,0
PT_120604,Gáfete,958,668,15,3,151,372,37,73,0,5,8,4,0,0,0,0
PT_120605,Monte Da Pedra,334,207,7,0,44,109,10,32,0,2,3,0,0,0,0,0
PT_120606,Vale Do Peso,285,183,1,3,58,85,6,28,1,0,1,0,0,0,0,0
PT_120701,"Ajuda, Salvador E Santo Ildefonso",1261,677,4,7,173,371,56,44,3,9,6,3,1,0,0,0
PT_120702,Alcáçova,2127,1097,18,4,269,626,97,39,1,22,10,8,3,0,0,0
PT_120703,Assunção,5802,3316,15,32,1266,1414,379,83,5,82,21,13,6,0,0,0
PT_120704,Barbacena,739,395,7,3,90,187,31,60,2,2,10,2,1,0,0,0
PT_120705,Caia E São Pedro,3791,1925,21,17,387,1207,143,83,7,37,14,8,1,0,0,0
PT_120706,Santa Eulália,1218,695,3,6,155,371,57,77,1,8,7,4,6,0,0,0
PT_120707,São Brás E São Lourenço,1391,743,10,5,177,436,54,37,1,11,6,3,3,0,0,0
PT_120708,São Vicente E Ventosa,695,406,4,4,73,249,29,34,1,2,7,2,1,0,0,0
PT_120709,Terrugem,1148,777,13,12,177,383,53,95,3,18,16,7,0,0,0,0
PT_120710,Vila Boim,1247,710,13,0,163,408,58,50,1,7,9,1,0,0,0,0
PT_120711,Vila Fernando,335,220,0,0,70,127,12,3,0,4,2,2,0,0,0,0
PT_120801,Cabeço De Vide,1073,654,1,5,210,289,51,77,2,10,7,1,1,0,0,0
PT_120802,Fronteira,2088,1465,20,8,608,574,108,99,4,17,20,3,4,0,0,0
PT_120803,São Saturnino,314,263,0,4,61,134,8,54,0,1,1,0,0,0,0,0
PT_120901,Atalaia,200,130,1,4,21,66,11,24,1,1,1,0,0,0,0,0
PT_120902,Belver,963,627,11,4,124,384,18,57,3,11,12,3,0,0,0,0
PT_120903,Comenda,983,656,10,5,163,343,27,87,1,8,10,1,1,0,0,0
PT_120904,Gavião,1486,945,10,5,308,480,65,42,2,13,16,2,2,0,0,0
PT_120905,Margem,986,576,4,2,135,362,26,36,0,2,7,1,1,0,0,0
PT_121001,Beirã,557,356,6,6,107,195,24,7,1,3,4,2,1,0,0,0
PT_121002,Santa Maria De Marvão,560,343,3,3,174,125,29,3,0,5,1,0,0,0,0,0
PT_121003,Santo António Das Areias,1203,759,4,10,236,400,61,19,0,13,11,4,1,0,0,0
PT_121004,São Salvador Da Aramenha,1339,800,7,7,352,333,65,18,5,7,2,2,2,0,0,0
