gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,SZDSZ,MCF ROMA Ö.,MUNKÁSPÁRT,MSZP,JOBBIK,LMP-HP,MDF
HU_2520,Nagytevel,438,177,0,0,129,0,0,3,23,13,1,8
HU_1919,Nagyvázsony,1461,427,1,0,252,7,2,1,50,75,14,25
HU_0565,Nemesgörzsöny,567,223,3,0,153,3,0,0,22,38,0,4
HU_0278,Nemesgulács,833,205,1,0,141,2,0,3,30,16,2,10
HU_0555,Nemeshany,329,133,0,0,100,2,0,1,13,11,5,1
HU_2175,Nemesszalók,777,221,2,0,164,2,0,1,20,26,3,3
HU_0219,Nemesvámos,2108,867,2,0,580,15,1,6,99,96,21,47
HU_2842,Nemesvita,310,113,0,0,88,3,0,0,8,7,3,4
HU_1040,Németbánya,79,46,0,0,18,0,0,1,10,10,5,2
HU_1475,Noszlop,870,186,3,0,102,2,2,1,25,40,1,10
HU_2652,Nóráp,174,103,0,0,74,0,0,0,6,15,2,6
HU_2900,Nyárád,742,251,0,0,187,1,0,0,30,19,7,7
HU_2400,Nyirád,1529,445,8,0,270,3,0,6,59,65,5,29
HU_2651,Olaszfalu,912,336,6,0,255,2,0,1,27,25,6,14
HU_1659,Oroszi,118,37,0,0,30,0,0,1,0,3,1,2
HU_2391,Óbudavár,37,26,1,0,18,0,0,0,1,0,4,2
HU_2811,Öcs,186,55,2,0,26,1,1,2,8,10,1,4
HU_1009,Örvényes,155,87,1,0,55,0,0,0,8,16,6,1
HU_2545,Öskü,1890,520,6,0,310,8,0,7,77,84,7,21
HU_2406,Õsi,1737,472,10,0,267,4,0,11,54,100,7,19
HU_1701,Paloznak,414,219,1,0,138,5,2,1,30,26,6,10
HU_0734,Papkeszi,1266,331,17,0,182,2,0,2,58,46,8,16
HU_3194,Pápa,25910,9871,56,0,6087,92,8,57,1666,1340,154,411
HU_1986,Pápadereske,212,58,0,0,43,0,1,0,10,3,0,1
HU_1185,Pápakovácsi,497,168,0,0,127,2,0,2,9,22,2,4
HU_2160,Pápasalamon,286,62,0,0,42,0,0,0,13,6,0,1
HU_3125,Pápateszér,949,283,1,0,223,2,0,1,26,23,0,7
HU_2245,Pécsely,473,191,2,0,129,3,1,2,15,26,5,8
HU_1554,Pénzesgyõr,282,109,0,0,87,1,0,0,7,6,1,7
HU_3425,Pétfürdõ,3962,1155,15,0,618,21,0,10,245,173,19,54
HU_2351,Porva,361,163,7,0,128,0,0,1,6,16,0,5
HU_1142,Pula,184,83,1,0,46,2,0,0,12,14,1,7
HU_2897,Pusztamiske,309,60,1,0,43,1,1,0,1,11,0,2
HU_0394,Raposka,198,97,1,0,67,1,0,0,11,13,2,2
HU_0562,Révfülöp,1103,550,6,0,348,11,0,1,99,49,5,31
HU_2584,Rigács,150,46,0,0,28,0,0,0,4,11,0,3
HU_3079,Salföld,62,38,0,0,22,3,0,0,4,7,1,1
HU_1377,Sáska,230,78,0,0,41,1,0,1,25,8,0,2
HU_0515,Somlójenõ,239,56,0,0,28,1,0,3,8,13,2,1
HU_2577,Somlószõlõs,556,127,4,0,90,1,1,0,10,17,0,4
HU_2656,Somlóvásárhely,930,226,3,0,159,3,1,0,13,37,1,9
HU_1424,Somlóvecse,90,41,1,0,30,3,0,0,3,3,0,1
HU_0360,Sóly,360,156,3,0,90,3,0,5,17,19,6,13
HU_2559,Sümeg,5322,1846,10,0,1137,19,3,14,224,342,18,79
HU_0538,Sümegprága,520,177,1,0,117,0,0,1,7,44,3,4
HU_1648,Szápár,420,143,5,0,85,1,0,0,21,23,1,7
HU_0356,Szentantalfa,306,110,2,0,73,3,1,0,10,18,1,2
HU_0709,Szentbékkálla,187,113,1,0,71,5,0,2,9,14,2,9
HU_0792,Szentgál,2207,624,5,0,423,13,0,4,70,81,9,19
HU_1006,Szentimrefalva,180,57,2,0,47,0,0,0,2,4,0,2
HU_1154,Szentjakabfa,90,60,0,0,43,1,0,0,2,7,0,7
HU_1626,Szentkirályszabadja,1650,503,4,0,301,10,3,4,69,59,10,43
HU_2489,Szigliget,892,393,2,0,268,13,0,1,51,40,7,11
HU_1669,Szõc,360,115,4,0,64,3,1,10,16,9,1,7
HU_1703,Tagyon,83,48,0,0,35,1,0,1,4,3,0,4
HU_1312,Takácsi,766,237,0,0,150,2,0,0,32,36,3,14
HU_1732,Taliándörögd,566,130,1,0,95,1,0,3,8,16,2,4
HU_2943,Tapolca,13887,4661,20,0,2697,47,8,28,785,812,49,215
HU_2057,Tés,752,253,2,0,168,2,0,0,40,36,1,4
HU_3046,Tihany,1205,572,6,0,387,11,1,1,70,58,12,26
HU_0271,Tótvázsony,1011,347,1,0,187,3,0,0,30,81,16,29
HU_0463,Tüskevár,469,137,1,0,77,1,0,3,2,46,4,3
