gisco_id,name,registered,turnout,invalid,blank,ΠA.ΣO.K,K.K.E.,ΣYN,ΛΑ.Ο.Σ.,Γυν.Ευρ.,Οικ.Πρασ.,Εν.Κεντρ.,Βεργής,Ελλ.Μετ.,ΜΕΡ.Α.,Δ.Π.Ε.,Αντ.Συμμ.,Πατ.Συμ.,M-Λ KKE,ΔΗΣΟΚ,ΑΣΚΕ,Οραμα,Ευρ.Συμπ,ΟΑΚΚΕ,Ουρ.Τόξο,Οικ.Εναλ.,Χριστ.,N.Δ.
EL_120102,Άνω Βροντούς,598,400,1,0,180,14,11,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
EL_120703,Αχλαδοχωρίου,2289,1170,21,0,304,52,19,84,7,3,7,7,1,2,21,4,0,1,2,2,0,2,1,3,0,0,0
EL_120105,Ορεινής,1194,908,47,0,0,58,17,25,6,4,6,1,1,2,4,7,0,3,4,9,1,0,1,5,0,0,271
EL_120706,Προμαχώνος,573,260,1,0,89,12,3,9,0,1,1,0,0,0,2,1,0,2,0,1,0,0,0,0,0,0,0
EL_260302,Αιθήκων,4912,3205,51,0,803,239,78,66,18,7,6,13,8,10,6,5,8,6,2,2,5,6,2,9,0,0,0
EL_260203,Βασιλικής,3290,2014,46,0,0,203,44,57,8,3,8,7,4,1,6,3,3,12,5,6,2,5,3,3,1,0,725
EL_260303,Γόμφων,6405,4408,106,0,1261,560,129,115,14,13,10,14,13,8,9,6,6,31,7,4,7,3,16,1,0,0,0
EL_260102,Εστιαιώτιδας,3684,2629,36,0,780,379,62,66,11,9,5,9,3,7,2,2,2,14,5,5,2,1,0,2,0,0,0
EL_260201,Καλαμπάκας,13205,8474,205,0,3138,762,200,178,33,49,29,45,24,16,19,29,6,26,13,17,9,3,7,6,0,0,0
EL_260103,Καλλιδένδρου,2841,2065,61,0,722,242,64,51,14,11,9,11,2,4,3,4,3,8,2,2,4,1,2,1,0,0,0
EL_260204,Καστανιάς,2660,1700,27,0,0,116,39,20,8,9,3,5,6,3,4,2,7,1,8,6,1,2,1,3,0,0,683
EL_260205,Κλεινοβού,3632,2369,43,0,934,84,48,58,13,8,9,2,6,1,8,6,6,4,2,9,4,6,0,4,0,0,0
EL_260104,Κόζιακα,3598,2364,29,0,666,359,39,53,11,6,14,8,5,1,6,3,1,8,6,7,3,2,9,2,0,0,0
