gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0619,Ål,3426,2653,0,0,852,136,14,504,190,135,333,461,0,1,12,2,9,0,0,0,0,0,0,0,4,0,0,0
NO_0620,Hol,3244,2489,0,0,766,99,10,273,97,93,539,597,0,7,2,2,4,0,0,0,0,0,0,0,0,0,0,0
NO_0621,Sigdal,2754,2049,0,0,536,55,6,607,29,45,272,489,0,4,2,0,4,0,0,0,0,0,0,0,0,0,0,0
NO_0622,Krødsherad,1652,1184,0,0,486,30,2,160,10,28,166,296,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0
NO_0623,Modum,9978,7264,0,0,2986,227,26,825,228,142,980,1793,0,7,9,7,21,0,0,0,5,0,0,0,8,0,0,0
NO_0624,Øvre Eiker,12230,9047,0,0,3143,377,41,853,289,128,1670,2456,0,5,20,12,24,0,0,0,14,0,0,0,15,0,0,0
NO_0625,Nedre Eiker,16257,12024,0,0,4908,493,46,273,426,249,2092,3457,0,5,14,7,23,0,0,0,12,0,0,0,19,0,0,0
NO_0626,Lier,16386,12968,0,0,4442,599,61,637,349,437,3190,3167,0,4,7,7,45,0,0,0,6,0,0,0,17,0,0,0
NO_0627,Røyken,13172,10565,0,0,3659,520,76,226,299,427,2360,2927,0,2,8,9,36,0,0,0,5,0,0,0,11,0,0,0
NO_0628,Hurum,6590,5032,0,0,1968,242,32,181,161,179,977,1244,0,1,6,5,29,0,0,0,2,0,0,0,5,0,0,0
NO_0631,Flesberg,1937,1494,0,0,413,55,7,273,39,31,235,433,0,0,2,1,4,0,0,0,0,0,0,0,1,0,0,0
NO_0632,Rollag,1080,819,0,0,276,19,4,239,41,21,72,141,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0
NO_0633,Nore og Uvdal,1900,1424,0,0,458,40,11,422,56,6,135,290,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
NO_0701,Horten,19001,14478,0,0,5683,1199,161,253,492,387,2597,3512,0,9,27,16,54,59,0,0,0,0,0,0,0,29,0,0
NO_0702,Holmestrand,7598,5749,0,0,2313,348,40,219,234,139,965,1428,0,2,12,7,17,19,0,0,0,0,0,0,0,6,0,0
NO_0704,Tønsberg,29267,22571,0,0,7360,1822,140,497,1150,835,4525,5968,0,33,51,9,88,65,0,0,0,0,0,0,0,28,0,0
NO_0706,Sandefjord,31864,23830,0,0,7181,1342,127,340,1006,692,5729,6995,0,15,56,23,113,187,0,0,0,0,0,0,0,24,0,0
NO_0709,Larvik,31919,24345,0,0,8695,1380,135,689,1379,640,4221,6940,0,9,59,20,71,68,0,0,0,0,0,0,0,39,0,0
