gisco_id,name,registered,turnout,invalid,blank,FKGP,Centrum,MP,MSZP,SZDSZ,MIÉP,FIDESZ-MDF,RK,ÚB,MAVEP,MRP,SZDP
HU_3129,Bocska,282,168,4,0,1,2,5,56,6,5,89,0,0,0,0,0
HU_1078,Boncodfölde,179,135,0,0,4,3,0,47,6,2,73,0,0,0,0,0
HU_1005,Borsfa,642,432,6,0,4,10,8,109,22,13,260,0,0,0,0,0
HU_1992,Bókaháza,268,157,2,0,5,1,2,28,17,1,101,0,0,0,0,0
HU_2287,Böde,246,159,2,0,0,6,12,61,3,5,70,0,0,0,0,0
HU_0416,Bödeháza,71,64,1,0,1,3,1,7,1,1,49,0,0,0,0,0
HU_2113,Börzönce,57,42,1,0,0,0,0,14,2,1,24,0,0,0,0,0
HU_2061,Búcsúszentlászló,583,456,2,0,4,19,1,115,12,17,286,0,0,0,0,0
HU_0798,Bucsuta,208,149,3,0,0,2,2,22,3,5,112,0,0,0,0,0
HU_0613,Csapi,130,89,1,0,0,0,2,35,5,1,45,0,0,0,0,0
HU_2343,Csatár,427,312,2,0,1,11,4,104,10,7,173,0,0,0,0,0
HU_0713,Cserszegtomaj,1565,1113,8,0,16,37,14,358,37,54,589,0,0,0,0,0
HU_1064,Csertalakos,43,29,1,0,0,0,0,14,1,2,11,0,0,0,0,0
HU_0258,Csesztreg,754,568,5,0,21,5,7,172,27,22,309,0,0,0,0,0
HU_3114,Csonkahegyhát,252,173,4,0,1,6,1,49,6,9,97,0,0,0,0,0
HU_2749,Csöde,86,75,0,0,1,2,3,13,3,2,51,0,0,0,0,0
HU_2936,Csömödér,561,351,5,0,3,14,3,120,9,14,183,0,0,0,0,0
HU_3397,Csörnyeföld,373,241,3,0,9,3,10,55,9,7,145,0,0,0,0,0
HU_2877,Dióskál,409,249,4,0,2,0,7,104,8,10,114,0,0,0,0,0
HU_2588,Dobri,188,131,0,0,2,2,2,22,5,6,92,0,0,0,0,0
HU_3270,Dobronhegy,128,102,2,0,1,2,4,21,4,1,67,0,0,0,0,0
HU_0778,Döbröce,69,58,0,0,0,1,0,6,2,1,48,0,0,0,0,0
HU_1600,Dötk,24,21,0,0,0,0,1,10,0,0,10,0,0,0,0,0
HU_2426,Egeraracsa,306,173,5,0,4,2,2,46,6,3,105,0,0,0,0,0
HU_3342,Egervár,848,578,1,0,3,13,11,178,8,15,349,0,0,0,0,0
HU_0617,Eszteregnye,596,403,0,0,1,6,12,101,5,14,264,0,0,0,0,0
HU_1576,Esztergályhorváti,378,230,4,0,8,0,8,70,7,7,126,0,0,0,0,0
HU_1164,Felsõpáhok,453,306,8,0,11,4,2,61,7,16,197,0,0,0,0,0
HU_2147,Felsõrajk,635,393,10,0,4,4,0,120,7,16,232,0,0,0,0,0
HU_3089,Felsõszenterzsébet,18,13,0,0,0,0,0,5,0,0,8,0,0,0,0,0
HU_1918,Fityeház,570,326,5,0,2,3,7,134,15,6,154,0,0,0,0,0
HU_1653,Füzvölgy,126,107,2,0,0,2,0,31,1,2,69,0,0,0,0,0
HU_1299,Galambok,927,576,6,0,10,11,22,183,15,34,295,0,0,0,0,0
HU_1294,Garabonc,597,333,4,0,6,8,1,125,8,8,173,0,0,0,0,0
HU_1751,Gáborjánháza,76,64,3,0,2,1,1,26,3,0,28,0,0,0,0,0
HU_0806,Gellénháza,1366,1054,10,0,12,49,24,391,44,31,493,0,0,0,0,0
HU_1208,Gelse,967,568,4,0,12,37,7,183,29,22,274,0,0,0,0,0
HU_0908,Gelsesziget,217,151,2,0,0,5,1,37,7,0,99,0,0,0,0,0
HU_2003,Gétye,112,53,2,0,4,1,0,8,4,3,31,0,0,0,0,0
HU_1761,Gombosszeg,34,30,0,0,0,1,0,5,2,2,20,0,0,0,0,0
HU_1356,Gosztola,18,14,0,0,0,2,0,5,0,0,7,0,0,0,0,0
HU_2977,Gõsfa,289,221,4,0,3,7,5,57,5,3,137,0,0,0,0,0
HU_0209,Gutorfölde,1010,709,8,0,10,28,21,221,15,38,368,0,0,0,0,0
HU_2330,Gyenesdiás,2318,1747,13,0,8,67,28,498,95,91,947,0,0,0,0,0
HU_1253,Gyûrûs,69,45,0,0,0,2,2,6,4,0,31,0,0,0,0,0
HU_1093,Hagyárosbörönd,244,167,0,0,1,6,1,29,4,1,125,0,0,0,0,0
HU_1026,Hahót,1007,624,8,0,12,8,5,173,20,31,367,0,0,0,0,0
HU_1989,Hernyék,96,67,3,0,4,0,3,29,3,0,25,0,0,0,0,0
HU_0381,Hévíz,4378,3515,27,0,55,122,44,1132,176,210,1749,0,0,0,0,0
HU_2487,Homokkomárom,177,118,1,0,1,0,1,17,1,6,91,0,0,0,0,0
HU_1120,Hosszúvölgy,151,111,0,0,1,0,5,33,3,4,65,0,0,0,0,0
HU_2832,Hottó,275,206,0,0,2,15,2,67,3,5,112,0,0,0,0,0
HU_0318,Iborfia,16,16,0,0,1,0,0,3,0,1,11,0,0,0,0,0
HU_1392,Iklódbördõce,290,200,7,0,0,9,1,41,3,4,135,0,0,0,0,0
HU_2296,Kacorlak,202,141,4,0,2,2,0,25,2,6,100,0,0,0,0,0
HU_0553,Kallósd,103,90,2,0,4,1,1,25,5,1,51,0,0,0,0,0
HU_1804,Karmacs,639,387,8,0,15,8,5,108,10,17,216,0,0,0,0,0
HU_2150,Kálócfa,171,150,0,0,0,4,1,14,0,1,130,0,0,0,0,0
HU_0447,Kányavár,151,117,1,0,2,2,4,24,2,5,77,0,0,0,0,0
HU_3206,Kávás,200,131,4,0,2,2,2,34,4,3,80,0,0,0,0,0
HU_3290,Kehidakustány,792,518,8,0,6,19,12,198,22,19,234,0,0,0,0,0
HU_2535,Kemendollár,461,306,6,0,3,9,9,106,5,5,163,0,0,0,0,0
HU_0607,Keménfa,88,59,1,0,0,2,1,20,1,0,34,0,0,0,0,0
HU_3152,Kerecseny,209,100,2,0,1,2,4,33,6,5,47,0,0,0,0,0
HU_2948,Kerkabarabás,249,183,4,0,8,6,5,45,10,4,101,0,0,0,0,0
HU_1511,Kerkafalva,113,89,0,0,13,6,0,11,3,9,47,0,0,0,0,0
HU_2208,Kerkakutas,140,116,6,0,9,2,8,19,1,0,71,0,0,0,0,0
HU_0957,Kerkaszentkirály,232,175,3,0,1,6,1,40,4,4,116,0,0,0,0,0
HU_3264,Kerkateskánd,150,119,0,0,0,1,1,34,0,2,81,0,0,0,0,0
HU_1842,Keszthely,17366,12795,107,0,81,425,163,4996,656,655,5712,0,0,0,0,0
HU_3226,Kilimán,226,132,3,0,0,2,2,58,4,2,61,0,0,0,0,0
HU_2137,Kisbucsa,370,268,8,0,4,14,3,73,6,7,153,0,0,0,0,0
HU_1624,Kiscsehi,183,137,0,0,0,3,2,15,3,4,110,0,0,0,0,0
HU_0981,Kisgörbõ,163,107,1,0,3,0,1,22,9,1,70,0,0,0,0,0
HU_2031,Kiskutas,167,127,2,0,1,6,2,27,4,5,80,0,0,0,0,0
HU_1608,Kispáli,207,148,1,0,1,0,3,23,0,9,111,0,0,0,0,0
HU_3272,Kisrécse,150,104,2,0,3,1,3,22,7,6,60,0,0,0,0,0
HU_1305,Kissziget,164,127,1,0,1,2,3,30,4,6,80,0,0,0,0,0
HU_2094,Kistolmács,148,96,0,0,1,0,2,32,6,1,54,0,0,0,0,0
HU_1636,Kisvásárhely,53,49,1,0,0,0,1,2,3,4,38,0,0,0,0,0
