gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,MSZP,LMP,Jobbik,Ind.,FIDESZ-KDNP-VP
HU_0524,Nemesbikk,774,263,0,0,127,76,0,60,0,0
HU_1288,Nyékládháza,4172,1885,2,0,995,473,0,415,0,0
HU_0421,Nyomár,271,150,4,0,49,19,0,0,78,0
HU_3177,Olaszliszka,1257,516,2,0,291,87,0,136,0,0
HU_3406,Ormosbánya,1370,479,13,0,162,163,0,0,141,0
HU_0286,Oszlár,316,120,1,0,60,28,0,31,0,0
HU_2262,Ónod,1879,715,2,0,387,86,0,240,0,0
HU_1449,Ózd,29341,12038,62,0,5714,2235,0,4027,0,0
HU_2674,Parasznya,1007,402,0,0,200,109,0,93,0,0
HU_3341,Perkupa,696,331,5,0,102,62,0,0,162,0
HU_2127,Prügy,1840,848,1,0,495,109,0,243,0,0
HU_2741,Putnok,5229,2963,16,0,1711,379,0,857,0,0
HU_2119,Radostyán,499,211,1,0,102,60,0,48,0,0
