gisco_id,name,registered,turnout,invalid,blank,SZDSZ,FIDESZ-KDNP,MDF,MSZP,MSZP-SZDSZ,SZDSZ-MSZP,Ind.,MDF-FIDESZ-KDNP,Somogyért,Jobbik
HU_2938,Örményes,961,557,9,0,0,207,13,328,0,0,0,0,0,0
HU_1524,Pusztamonostor,1399,741,5,0,0,318,0,418,0,0,0,0,0,0
HU_1420,Rákóczifalva,4598,2632,10,0,0,983,0,1639,0,0,0,0,0,0
HU_1242,Rákócziújfalu,1544,750,5,0,0,265,0,480,0,0,0,0,0,0
HU_0587,Szajol,3234,1887,8,0,0,712,0,1167,0,0,0,0,0,0
HU_0577,Szászberek,790,547,4,0,0,255,0,288,0,0,0,0,0,0
HU_2785,Szolnok,60829,39844,165,0,0,16143,0,23536,0,0,0,0,0,0
HU_1077,Tiszabõ,1137,753,13,0,0,361,3,376,0,0,0,0,0,0
HU_3030,Tiszagyenda,891,451,4,0,0,173,8,266,0,0,0,0,0,0
HU_2934,Tiszajenõ,1331,777,3,0,0,500,0,274,0,0,0,0,0,0
HU_0337,Tiszapüspöki,1625,806,7,0,0,245,21,533,0,0,0,0,0,0
HU_2018,Tiszaroff,1532,782,0,0,0,318,15,449,0,0,0,0,0,0
HU_1769,Tiszasüly,1384,886,8,0,0,433,0,445,0,0,0,0,0,0
HU_0962,Tiszatenyõ,1436,774,8,0,0,307,76,383,0,0,0,0,0,0
HU_3186,Tiszavárkony,1335,830,5,0,0,362,0,463,0,0,0,0,0,0
HU_0749,Tószeg,3792,2182,6,0,0,1041,0,1135,0,0,0,0,0,0
HU_2731,Törökszentmiklós,17997,10259,52,0,0,4531,319,5357,0,0,0,0,0,0
HU_1529,Újszász,5268,3243,19,0,0,1502,0,1722,0,0,0,0,0,0
HU_2115,Vezseny,562,358,1,0,0,174,0,183,0,0,0,0,0,0
HU_1483,Zagyvarékas,2996,1713,7,0,0,735,0,971,0,0,0,0,0,0
HU_3234,Almásfüzitõ,1837,1252,4,0,0,522,0,726,0,0,0,0,0,0
HU_3422,Annavölgy,767,460,0,0,0,121,0,339,0,0,0,0,0,0
HU_0442,Ács,5679,3211,19,0,0,1629,0,1563,0,0,0,0,0,0
HU_2921,Baj,2078,1420,3,0,0,711,0,706,0,0,0,0,0,0
HU_1674,Bajna,1654,1053,3,0,0,608,0,442,0,0,0,0,0,0
HU_2935,Bajót,1220,758,4,0,0,414,0,340,0,0,0,0,0,0
HU_1892,Csolnok,2798,1702,2,0,0,684,0,1016,0,0,0,0,0,0
HU_2291,Dág,759,547,1,0,0,366,0,180,0,0,0,0,0,0
HU_1049,Dorog,10116,6416,20,0,0,1734,0,4662,0,0,0,0,0,0
HU_0659,Dömös,924,585,3,0,0,317,0,265,0,0,0,0,0,0
HU_3383,Dunaalmás,1225,803,3,0,0,378,0,422,0,0,0,0,0,0
HU_2410,Dunaszentmiklós,344,258,2,0,0,187,0,69,0,0,0,0,0,0
HU_2963,Epöl,525,379,1,0,0,259,0,119,0,0,0,0,0,0
HU_2513,Esztergom,23630,16048,83,0,0,8947,0,7018,0,0,0,0,0,0
HU_0652,Gyermely,1084,706,1,0,0,468,0,237,0,0,0,0,0,0
HU_1189,Héreg,826,526,2,0,0,269,0,255,0,0,0,0,0,0
HU_2957,Kesztölc,2074,1307,9,0,0,532,0,766,0,0,0,0,0,0
HU_0251,Kocs,2188,1384,2,0,0,861,0,521,0,0,0,0,0,0
HU_0544,Komárom,15742,10782,50,0,0,4955,0,5777,0,0,0,0,0,0
HU_3055,Környe,3661,2280,10,0,0,996,0,1274,0,0,0,0,0,0
HU_1525,Lábatlan,4329,2669,12,0,0,1000,0,1657,0,0,0,0,0,0
HU_2548,Leányvár,1388,964,6,0,0,420,0,538,0,0,0,0,0,0
HU_2263,Máriahalom,511,318,5,0,0,190,0,123,0,0,0,0,0,0
HU_2693,Mocsa,1848,1166,9,0,0,774,0,383,0,0,0,0,0,0
HU_2825,Mogyorósbánya,684,464,2,0,0,189,0,273,0,0,0,0,0,0
HU_2707,Nagysáp,1200,719,8,0,0,401,0,310,0,0,0,0,0,0
HU_2016,Naszály,1890,1097,3,0,0,374,0,720,0,0,0,0,0,0
HU_3382,Neszmély,1144,741,14,0,0,414,0,313,0,0,0,0,0,0
HU_1535,Nyergesújfalu,6174,4111,23,0,0,1652,0,2436,0,0,0,0,0,0
HU_2187,Piliscsév,1902,1177,9,0,0,601,0,567,0,0,0,0,0,0
HU_1466,Pilismarót,1583,1011,3,0,0,521,0,487,0,0,0,0,0,0
HU_2690,Sárisáp,2332,1406,9,0,0,475,0,922,0,0,0,0,0,0
HU_0868,Süttõ,1697,1117,3,0,0,394,0,720,0,0,0,0,0,0
HU_3349,Szárliget,1754,1122,6,0,0,422,0,694,0,0,0,0,0,0
HU_2142,Szomor,866,594,5,0,0,311,0,278,0,0,0,0,0,0
HU_2261,Szomód,1666,1102,5,0,0,595,0,502,0,0,0,0,0,0
HU_3022,Tardos,1295,823,6,0,0,300,0,517,0,0,0,0,0,0
HU_1893,Tarján,2170,1414,3,0,0,818,0,593,0,0,0,0,0,0
HU_2012,Tata,19424,13321,47,0,0,6013,0,7261,0,0,0,0,0,0
HU_0875,Tát,4471,2970,13,0,0,1258,0,1699,0,0,0,0,0,0
HU_1415,Tokod,3494,2144,12,0,0,839,0,1293,0,0,0,0,0,0
HU_3402,Tokodaltáró,2368,1414,8,0,0,482,0,924,0,0,0,0,0,0
HU_2763,Úny,539,351,2,0,0,176,0,173,0,0,0,0,0,0
HU_1725,Várgesztes,481,325,2,0,0,153,0,170,0,0,0,0,0,0
HU_1528,Vértessomló,1110,770,7,0,0,377,0,386,0,0,0,0,0,0
HU_3126,Vértesszõlõs,2337,1471,5,0,0,604,0,862,0,0,0,0,0,0
HU_2962,Vértestolna,434,281,2,0,0,159,0,120,0,0,0,0,0,0
HU_1642,Alsópetény,545,364,1,0,0,149,0,214,0,0,0,0,0,0
HU_0762,Alsótold,226,149,4,0,0,81,0,64,0,0,0,0,0,0
HU_1365,Balassagyarmat,14090,9356,50,0,0,4168,0,5138,0,0,0,0,0,0
HU_2434,Bánk,615,428,0,0,0,230,0,198,0,0,0,0,0,0
HU_2004,Bárna,916,570,2,0,0,204,0,364,0,0,0,0,0,0
HU_3353,Bátonyterenye,11311,6507,24,0,0,0,0,4514,0,0,0,1969,0,0
HU_1201,Becske,515,313,1,0,0,179,0,133,0,0,0,0,0,0
HU_0238,Bercel,1601,941,2,0,0,542,0,397,0,0,0,0,0,0
HU_0903,Berkenye,514,388,3,0,0,278,0,107,0,0,0,0,0,0
HU_3291,Bér,355,212,4,0,0,0,0,70,0,0,0,138,0,0
HU_0384,Bokor,117,100,0,0,0,54,0,46,0,0,0,0,0,0
HU_0989,Borsosberény,783,419,5,0,0,199,0,215,0,0,0,0,0,0
HU_1423,Buják,1798,917,4,0,0,0,0,437,0,0,0,476,0,0
HU_0366,Cered,1042,566,1,0,0,228,0,337,0,0,0,0,0,0
HU_2193,Cserháthaláp,315,210,2,0,0,101,0,107,0,0,0,0,0,0
HU_2259,Cserhátsurány,691,492,6,0,0,364,0,122,0,0,0,0,0,0
HU_3231,Cserhátszentiván,143,101,1,0,0,70,0,30,0,0,0,0,0,0
HU_2014,Csesztve,274,189,0,0,0,120,0,69,0,0,0,0,0,0
HU_3027,Csécse,801,432,4,0,0,0,0,294,0,0,0,134,0,0
HU_0505,Csitár,386,258,1,0,0,158,0,99,0,0,0,0,0,0
HU_0732,Debercsény,82,51,0,0,0,34,0,17,0,0,0,0,0,0
HU_1251,Dejtár,1154,736,3,0,0,409,0,324,0,0,0,0,0,0
HU_0674,Diósjenõ,2329,1385,4,0,0,858,0,523,0,0,0,0,0,0
HU_2443,Dorogháza,1000,666,1,0,0,0,0,412,0,0,0,253,0,0
HU_0815,Drégelypalánk,1237,816,5,0,0,553,0,258,0,0,0,0,0,0
HU_0425,Ecseg,954,529,6,0,0,0,0,323,0,0,0,200,0,0
HU_1765,Egyházasdengeleg,423,215,1,0,0,0,0,118,0,0,0,96,0,0
HU_0598,Egyházasgerge,626,410,3,0,0,200,0,207,0,0,0,0,0,0
HU_2549,Endrefalva,917,569,2,0,0,309,0,258,0,0,0,0,0,0
HU_2265,Erdõkürt,479,314,0,0,0,0,0,130,0,0,0,184,0,0
HU_2179,Erdõtarcsa,483,253,2,0,0,0,0,157,0,0,0,94,0,0
HU_1537,Etes,1171,707,6,0,0,275,0,426,0,0,0,0,0,0
HU_2158,Érsekvadkert,3048,1894,2,0,0,1307,0,585,0,0,0,0,0,0
HU_2432,Felsõpetény,545,353,2,0,0,226,0,125,0,0,0,0,0,0
HU_3331,Felsõtold,144,110,1,0,0,50,0,59,0,0,0,0,0,0
HU_2566,Galgaguta,612,378,5,0,0,233,0,140,0,0,0,0,0,0
HU_1849,Garáb,61,52,1,0,0,32,0,19,0,0,0,0,0,0
HU_0532,Herencsény,571,384,4,0,0,253,0,127,0,0,0,0,0,0
HU_0399,Héhalom,854,439,1,0,0,0,0,220,0,0,0,218,0,0
HU_3324,Hollókõ,336,264,2,0,0,162,0,100,0,0,0,0,0,0
HU_1320,Hont,451,268,0,0,0,171,0,97,0,0,0,0,0,0
HU_1371,Horpács,159,123,2,0,0,46,0,75,0,0,0,0,0,0
HU_1687,Hugyag,691,416,1,0,0,256,0,159,0,0,0,0,0,0
HU_2683,Iliny,168,121,0,0,0,107,0,14,0,0,0,0,0,0
HU_0332,Ipolytarnóc,391,260,1,0,0,180,0,79,0,0,0,0,0,0
HU_2931,Ipolyvece,700,460,3,0,0,324,0,133,0,0,0,0,0,0
HU_0871,Jobbágyi,1697,976,3,0,0,0,0,621,0,0,0,352,0,0
