gisco_id,name,registered,turnout,invalid,blank,MSZP,Jobbik,LMP,MDF,FIDESZ-KDNP,CM,ÖP,MSZDP,MP,MIÉP
HU_1519,Szólád,500,327,0,0,65,35,17,0,210,0,0,0,0,0
HU_0581,Szõkedencs,244,137,2,0,7,9,3,0,116,0,0,0,0,0
HU_1110,Szõlõsgyörök,963,576,4,0,67,84,33,0,388,0,0,0,0,0
HU_1098,Szulok,517,349,3,0,44,20,8,0,274,0,0,0,0,0
HU_0859,Tab,3792,2287,16,0,503,319,190,0,1259,0,0,0,0,0
HU_2461,Tapsony,602,306,3,0,42,61,10,0,190,0,0,0,0,0
HU_1673,Tarany,944,476,8,0,76,97,13,0,282,0,0,0,0,0
HU_0493,Taszár,1629,1038,21,0,300,191,116,0,410,0,0,0,0,0
HU_1369,Táska,329,207,5,0,25,28,2,0,147,0,0,0,0,0
HU_2396,Teleki,161,84,4,0,11,4,4,0,61,0,0,0,0,0
HU_3241,Tengõd,384,155,4,0,23,21,2,0,105,0,0,0,0,0
HU_1784,Tikos,101,60,1,0,8,8,1,0,42,0,0,0,0,0
HU_1015,Torvaj,237,153,3,0,10,21,6,0,113,0,0,0,0,0
HU_1640,Tótújfalu,194,110,3,0,14,12,1,0,80,0,0,0,0,0
HU_2009,Törökkoppány,387,234,2,0,42,27,9,0,154,0,0,0,0,0
HU_0720,Újvárfalva,231,134,2,0,22,11,7,0,92,0,0,0,0,0
HU_0927,Varászló,125,81,0,0,9,12,0,0,60,0,0,0,0,0
HU_2678,Várda,429,302,5,0,54,24,20,0,199,0,0,0,0,0
HU_0818,Vése,634,310,4,0,77,39,5,0,185,0,0,0,0,0
HU_1901,Visnye,169,97,4,0,7,22,1,0,63,0,0,0,0,0
HU_0687,Visz,178,98,1,0,13,19,7,0,58,0,0,0,0,0
HU_2978,Vízvár,498,277,0,0,57,48,12,0,160,0,0,0,0,0
HU_0964,Vörs,339,250,3,0,42,15,15,0,175,0,0,0,0,0
HU_1146,Zala,223,114,2,0,19,13,4,0,76,0,0,0,0,0
HU_0600,Zamárdi,2164,1465,11,0,250,149,110,0,945,0,0,0,0,0
