gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,EGYÜTT-PM,Jobbik,MSZP,LMP,DK,SMS,AH
HU_27270,Csömend,238,74,0,0,50,1,11,11,1,0,0,0
HU_21315,Csurgó,4308,1046,2,0,627,40,149,129,23,64,4,8
HU_10603,Csurgónagymarton,128,48,0,0,39,0,6,0,0,2,0,1
HU_31352,Darány,725,140,0,0,77,6,23,23,1,7,2,1
HU_13611,Drávagárdony,118,38,0,0,17,4,8,0,4,5,0,0
HU_15884,Drávatamási,202,55,0,0,33,1,13,3,0,4,0,1
HU_10861,Ecseny,180,45,0,0,28,1,13,2,0,1,0,0
HU_03489,Edde,159,47,0,0,38,0,1,7,1,0,0,0
HU_13985,Felsőmocsolád,344,73,2,0,51,2,7,6,0,5,0,0
HU_31644,Fiad,124,28,0,0,13,0,7,4,0,2,1,1
HU_22026,Fonó,254,58,2,0,29,2,13,8,2,2,0,0
HU_14632,Fonyód,4505,1470,1,0,772,104,187,147,84,151,9,15
HU_22707,Főnyed,69,24,0,0,18,0,3,2,0,1,0,0
HU_28264,Gadács,81,26,0,0,19,0,5,2,0,0,0,0
HU_26222,Gadány,274,41,1,0,21,2,12,1,0,1,0,3
HU_06451,Gamás,598,133,0,0,97,5,13,5,2,8,1,2
HU_06585,Gálosfa,207,50,1,0,35,0,7,6,1,0,0,0
HU_09177,Gige,263,46,0,0,25,1,10,6,0,4,0,0
HU_30571,Gölle,763,183,0,0,99,9,28,26,2,19,0,0
HU_14599,Görgeteg,900,143,0,0,87,4,34,12,2,3,1,0
HU_30960,Gyékényes,850,210,1,0,127,3,42,25,1,11,0,0
HU_23904,Gyugy,218,49,0,0,34,0,8,2,3,2,0,0
HU_25830,Hajmás,186,37,0,0,27,1,5,2,0,1,0,1
HU_18634,Hács,306,71,1,0,41,2,11,6,2,7,1,0
HU_08837,Háromfa,592,120,0,0,55,2,41,11,5,6,0,0
HU_16726,Hedrehely,343,63,2,0,25,1,23,8,0,3,0,1
HU_09946,Hencse,287,46,0,0,28,0,9,8,1,0,0,0
HU_24846,Heresznye,221,73,0,0,43,3,13,8,0,6,0,0
HU_09928,Hetes,949,196,0,0,120,7,30,15,7,13,1,3
HU_06211,Hollád,202,51,1,0,27,0,12,1,2,6,2,0
HU_19150,Homokszentgyörgy,902,125,0,0,61,7,17,17,9,14,0,0
HU_30775,Hosszúvíz,37,17,0,0,8,0,3,3,2,1,0,0
HU_11192,Igal,1063,314,1,0,182,10,38,41,6,35,1,0
HU_19619,Iharos,377,78,0,0,48,1,10,11,1,7,0,0
HU_27784,Iharosberény,1017,179,0,0,119,8,30,15,2,4,0,1
HU_26301,Inke,968,102,0,0,69,1,21,9,0,2,0,0
HU_21333,Istvándi,386,86,1,0,58,0,13,6,0,6,1,1
HU_15927,Jákó,521,109,0,0,60,0,26,19,0,4,0,0
HU_17279,Juta,1018,289,1,0,148,24,47,19,20,25,0,5
HU_26453,Kadarkút,2068,322,2,0,178,12,62,37,6,21,1,3
HU_33394,Kapoly,554,100,0,0,57,2,21,7,6,7,0,0
HU_09098,Kaposfő,1395,263,1,0,144,12,50,20,4,29,2,1
HU_28811,Kaposgyarmat,93,45,0,0,24,2,7,3,1,8,0,0
HU_25867,Kaposhomok,374,85,3,0,33,2,24,10,5,7,1,0
HU_12663,Kaposkeresztúr,253,40,0,0,33,0,6,1,0,0,0,0
HU_18227,Kaposmérő,2023,485,1,0,282,23,74,45,20,35,2,3
HU_06424,Kaposszerdahely,837,198,1,0,110,7,34,18,16,11,1,0
HU_15732,Kaposújlak,593,127,0,0,73,7,23,9,4,11,0,0
HU_20473,Kaposvár,53312,15985,65,0,7863,1246,2231,1759,715,1971,46,89
HU_05263,Karád,1256,304,1,0,194,6,51,23,8,18,2,1
HU_08411,Kastélyosdombó,184,43,1,0,32,2,2,5,0,1,0,0
HU_34193,Kaszó,97,37,0,0,16,2,5,4,1,8,0,1
HU_26888,Kazsok,240,42,1,0,24,1,3,7,5,1,0,0
HU_06105,Kálmáncsa,479,64,1,0,51,0,8,2,0,2,0,0
HU_05272,Kánya,368,69,0,0,46,0,11,3,4,5,0,0
HU_05351,Kára,46,29,0,0,18,0,3,4,1,3,0,0
HU_17446,Kelevíz,254,60,0,0,25,2,19,6,3,3,1,1
HU_14386,Kercseliget,327,83,0,0,52,0,23,5,2,1,0,0
HU_04598,Kereki,468,101,0,0,49,2,32,11,0,7,0,0
HU_11174,Kéthely,1759,421,2,0,266,14,74,18,13,30,1,3
HU_19053,Kisasszond,150,25,0,0,18,0,3,2,1,1,0,0
HU_24387,Kisbajom,314,50,0,0,25,5,8,9,0,2,0,1
HU_24493,Kisbárapáti,346,63,1,0,44,1,4,8,0,5,0,0
HU_30827,Kisberény,133,29,0,0,17,0,6,4,0,2,0,0
HU_04826,Kisgyalán,176,49,0,0,19,4,13,3,1,9,0,0
HU_13781,Kiskorpád,723,107,0,0,66,2,24,7,1,6,0,1
HU_09858,Komlósd,154,47,0,0,33,0,9,5,0,0,0,0
HU_18148,Kötcse,418,126,0,0,60,8,11,15,5,27,0,0
HU_13745,Kőkút,434,59,0,0,43,1,6,3,2,3,0,1
HU_15510,Kőröshegy,1191,354,0,0,231,21,29,26,15,30,2,0
HU_28857,Kutas,1184,228,1,0,125,5,58,22,2,15,0,0
HU_16258,Lad,502,91,1,0,60,0,20,10,0,0,0,0
HU_11040,Lakócsa,446,51,0,0,25,1,10,9,2,4,0,0
HU_28291,Lábod,1623,304,2,0,151,8,93,31,6,13,0,0
HU_14863,Látrány,1134,279,1,0,154,6,73,27,4,12,1,1
HU_26675,Lengyeltóti,2487,521,1,0,278,12,105,55,10,56,1,3
HU_32355,Libickozma,28,17,0,0,10,1,4,2,0,0,0,0
HU_10010,Lulla,170,72,0,0,52,1,2,9,1,5,1,1
HU_10427,Magyaratád,715,169,1,0,93,6,30,22,4,12,0,1
HU_25371,Magyaregres,505,119,0,0,69,2,15,15,7,10,0,1
HU_18500,Marcali,9811,2347,12,0,1180,145,349,322,69,251,4,15
HU_23630,Mernye,1201,307,0,0,158,12,48,46,10,32,1,0
