gisco_id,name,registered,turnout,invalid,blank,FIDESZ-KDNP,LMP,Jobbik,MSZP-PM,MM,DK,MKKP,EGYÜTT,MIÉP,CP,SEM,MP,REP,SZEM,KN2018,MCP,ERDJDP,NP,MEP,KÖSSZ,ÖP,IP,TAM
HU_17729,Szarvaskend,191,163,3,0,141,2,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_02440,Szatta,56,49,0,0,27,2,11,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_33172,Szeleste,509,367,4,0,264,11,56,19,3,6,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HU_27997,Szemenye,265,168,1,0,117,6,29,6,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_31583,Szentgotthárd,6478,4695,50,0,2717,275,847,398,86,158,47,22,2,4,2,4,2,3,5,0,0,3,2,0,2,0,6
HU_21254,Szentpéterfa,816,665,12,0,470,20,58,29,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
HU_27793,Szergény,252,177,1,0,130,0,21,14,0,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HU_03009,Szombathely,62906,47679,481,0,23122,4051,6256,7752,1662,2572,882,277,48,86,72,64,7,36,26,11,5,12,12,13,13,7,23
HU_19521,Szőce,267,190,0,0,144,14,16,8,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_16212,Tanakajd,596,454,8,0,268,24,71,31,15,21,4,3,0,0,1,0,0,1,1,0,1,3,0,0,0,0,1
HU_32045,Táplánszentkereszt,2008,1486,21,0,871,109,183,137,46,59,22,6,1,9,3,3,3,6,0,3,0,0,0,0,1,1,1
HU_29568,Telekes,408,284,1,0,191,9,55,16,1,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_09229,Tokorcs,276,209,5,0,119,15,45,17,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_12335,Tompaládony,252,195,1,0,152,3,23,8,2,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HU_34087,Tormásliget,266,205,3,0,157,4,22,11,0,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
HU_29878,Torony,1532,1038,9,0,639,75,138,95,25,24,17,6,2,1,3,0,0,0,1,0,0,0,0,0,1,0,2
HU_05166,Tömörd,245,192,1,0,129,9,24,17,1,1,6,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0
HU_21537,Uraiújfalu,697,455,2,0,247,27,78,53,8,25,2,1,1,5,1,0,0,2,0,0,0,0,0,0,1,2,0
HU_02884,Vasalja,270,200,5,0,143,9,24,14,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_20394,Vasasszonyfa,311,248,2,0,179,16,27,13,2,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
HU_15334,Vasegerszeg,304,233,0,0,164,8,40,12,2,1,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
HU_20349,Vashosszúfalu,296,247,6,0,139,6,50,33,1,7,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
HU_30702,Vaskeresztes,263,219,12,0,109,5,16,12,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HU_25982,Vassurány,657,500,5,0,319,30,57,48,11,13,9,0,0,1,1,2,0,0,1,0,0,0,0,0,0,1,2
HU_11633,Vasszentmihály,287,223,2,0,144,7,44,11,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HU_29373,Vasszécseny,1066,797,6,0,410,49,150,75,22,48,12,10,0,2,1,2,1,4,3,0,0,1,0,1,0,0,0
HU_12104,Vasszilvágy,335,254,4,0,173,17,28,17,3,4,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
