gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΓΙΑ ΤΗΝ ΕΥΡΩΠΗ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,Ε.ΔΗ - Κ.Π.Ε. - ΕΥΡΩΠΑΙΚΗ ΚΥΠΡΟΣ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΝΕΟΙ ΟΡΙΖΟΝΤΕΣ,ΚΥΡΙΑΚΟΥ ΚΩΣΤΑΣ,ΑΓΑΠΙΟΥ Σ. ΑΝΤΩΝΗΣ,ΜΑΛΙΑΝ ΑΡΤΟ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΧΑΣΣΑΝ ΜΕΧΜΕΤ,ΕΥΑΓΟΡΟΥ ΚΑΙΤΗ,ΙΩΑΝΝΟΥ ΑΝΔΡΕΑΣ
CY_1421,Μυλικούρι,64,50,1,0,11,8,18,5,7,0,0,0,0,0,0,0,0,0,0,0
CY_1422,Moutoullas,345,265,19,4,59,46,62,55,16,0,3,0,0,0,0,1,0,0,0,0
CY_1423,Oikos,204,195,11,2,27,31,24,85,8,2,0,0,4,1,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,313,229,8,4,50,45,71,33,10,2,3,0,2,1,0,0,0,0,0,0
CY_1425,Gerakies,214,158,9,3,24,20,11,73,11,3,3,0,1,0,0,0,0,0,0,0
CY_1426,Tsakistra,99,87,0,0,13,35,14,12,12,0,0,0,1,0,0,0,0,0,0,0
CY_1427,Kampos,445,334,7,1,76,40,80,105,14,3,7,0,1,0,0,0,0,0,0,0
CY_1457,Κάτω Πύργος,1072,864,19,13,164,203,134,270,31,13,6,1,10,0,0,0,0,0,0,0
CY_1460,Πηγένια,150,122,4,2,15,31,13,50,5,0,1,0,1,0,0,0,0,0,0,0
CY_1461,Παχύαμμος,103,97,1,4,23,15,26,26,1,0,1,0,0,0,0,0,0,0,0,0
CY_3100,Agia Napa,1920,1283,42,57,117,330,453,96,114,17,19,6,23,4,0,1,0,4,0,0
CY_3101,Paralimni,6630,4949,136,150,609,2596,639,164,476,19,82,15,48,3,0,0,0,12,0,0
CY_3102,Δερύνεια,3376,2691,106,130,112,674,1340,101,112,11,64,2,17,7,0,0,0,15,0,0
CY_3103,Σωτήρα Αμμοχώστου,2759,2219,150,149,448,823,240,133,190,14,33,9,19,8,0,0,0,3,0,0
CY_3104,Liopetri,2727,2099,131,124,104,959,480,84,165,7,16,3,13,7,0,0,0,6,0,0
CY_3105,Φρέναρος,2544,1915,56,75,101,515,875,135,103,9,29,3,8,5,0,0,0,1,0,0
CY_3110,Αυγόρου,2809,2108,92,62,266,703,593,77,212,14,21,46,17,3,1,0,0,0,0,1
CY_3111,Αχνα,1528,1202,24,39,93,554,274,70,95,23,5,4,20,0,0,0,0,0,1,0
CY_3114,Αχερίτου,1613,1172,30,58,132,383,368,97,56,13,10,4,12,2,0,0,0,7,0,0
CY_4001,Larnaka,32783,23616,609,596,3329,6714,7243,1536,2497,182,362,113,349,14,2,22,2,37,4,5
CY_4010,Aradippou,6564,4632,97,73,330,1553,1620,494,320,27,37,18,52,1,2,0,1,5,2,0
CY_4011,Λιβάδια Λάρνακας,3273,2457,61,64,157,601,1171,146,172,9,25,18,26,1,0,0,0,4,1,1
CY_4012,Dromolaxia,3834,2862,84,78,330,738,1240,133,173,10,37,15,20,2,1,1,0,0,0,0
CY_4013,Meneou,859,668,12,36,68,171,249,48,52,10,5,5,7,3,0,0,0,2,0,0
CY_4100,Kellia,260,203,5,7,36,47,59,8,26,0,1,1,13,0,0,0,0,0,0,0
CY_4101,Troulloi,714,568,14,18,96,288,49,47,46,1,3,3,1,2,0,0,0,0,0,0
CY_4102,Bορόκληνη(Ορόκληνη),1615,1230,29,29,100,468,405,69,77,8,21,9,11,2,0,0,0,1,1,0
CY_4103,Αβδελλερό,66,55,2,4,15,18,11,1,4,0,0,0,0,0,0,0,0,0,0,0
