gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,CSU,GRÜNE,PDS,FDP,REP,Die Tierschutzpartei,GRAUE,NPD,DIE FRAUEN,ödp,PBC,CM,BP,BüSo,ZENTRUM,FAMILIE,Deutschland,Unabhängige Kandidaten,AUFBRUCH,DKP,DP,PSG
DE916,Goslar,120251,44924,821,0,19609,13750,0,3959,948,2722,550,494,409,540,119,58,138,38,0,21,24,272,173,88,42,26,93,30
DE917,Helmstedt,77753,30180,507,0,13260,9694,0,2245,537,1579,208,393,262,692,101,31,78,40,0,18,26,201,118,46,34,23,72,15
DE918,Northeim,117172,48111,1110,0,19123,17239,0,3837,788,3081,477,465,396,313,147,52,102,64,0,33,24,338,226,72,53,40,108,23
DE919,Osterode am Harz,67259,24456,516,0,10313,8368,0,1744,402,1383,238,295,255,222,88,29,68,26,0,13,23,190,111,27,29,21,72,23
DE91A,Peine,103100,41107,667,0,16528,14669,0,3636,690,2073,544,446,438,245,134,37,138,47,0,19,33,301,166,74,42,38,115,27
DE91B,Wolfenbüttel,98992,43154,659,0,18553,13249,0,4393,780,2351,575,610,400,380,156,58,115,60,0,24,42,308,180,53,46,33,108,21
DE929,Region Hannover,837141,357873,5614,0,134929,105746,0,56166,7860,24027,3009,3470,4500,2783,1039,572,1167,426,0,281,214,2126,1430,631,318,460,848,257
DE922,Diepholz,166243,61131,753,0,25790,15892,0,7742,974,6041,451,590,650,351,220,90,349,72,0,24,29,442,246,120,72,50,154,29
DE923,Hameln-Pyrmont,123798,47729,753,0,20227,14638,0,4830,807,3016,523,507,509,336,190,58,146,60,0,34,47,330,360,86,57,32,156,27
DE925,Hildesheim,224077,96328,1781,0,41950,30109,0,10372,1641,4695,917,826,817,591,305,146,382,141,0,45,71,560,345,171,76,71,253,63
DE926,Holzminden,62697,30553,1031,0,12214,11103,0,2207,321,1984,213,230,232,293,102,32,112,33,0,8,22,152,117,32,25,16,47,27
DE927,Nienburg (Weser),96827,34025,436,0,15807,9802,0,3220,456,2039,355,279,258,194,113,42,70,43,0,17,25,238,178,253,28,32,121,19
DE928,Schaumburg,127292,50471,815,0,20723,16638,0,5123,695,2897,576,523,456,377,169,76,250,96,0,26,31,361,290,93,54,36,133,33
DE931,Celle,140016,52289,597,0,25058,12133,0,5224,1208,3821,1448,525,495,273,169,84,238,80,0,33,34,305,177,92,47,50,162,36
DE932,Cuxhaven,160317,55403,766,0,26375,14945,0,5676,758,3151,440,566,752,374,193,51,115,54,0,35,45,393,179,97,67,53,280,38
DE933,Harburg,183389,73902,998,0,34357,16105,0,10647,1191,5659,466,711,1005,607,233,154,252,93,0,53,43,523,251,156,72,54,229,43
DE934,Lüchow-Dannenberg,41242,16435,303,0,6720,2944,0,4327,354,771,123,147,185,85,48,22,82,9,0,7,6,87,52,20,27,20,63,33
DE935,Lüneburg,132617,53896,722,0,20488,12730,0,11178,1389,3750,353,583,561,588,181,108,143,50,0,33,47,426,185,113,63,63,101,41
DE936,Osterholz,87211,33872,413,0,12695,9688,0,5431,654,2314,432,445,522,212,140,50,153,29,0,25,15,250,123,58,41,46,108,28
DE937,Rotenburg (Wümme),125079,50379,579,0,25265,11493,0,5652,600,3787,310,395,329,365,172,53,317,58,0,34,30,367,175,74,58,37,193,36
DE938,Soltau-Fallingbostel,108857,41059,530,0,19826,10372,0,4082,627,2378,672,459,375,355,156,62,230,49,0,18,27,331,173,90,47,29,136,35
DE939,Stade,149663,58175,984,0,26582,15416,0,6793,824,3917,331,494,696,577,186,66,141,55,0,34,37,402,242,94,52,39,185,28
DE93A,Uelzen,77360,29777,412,0,13977,7437,0,4272,462,1526,228,263,268,172,90,44,75,36,0,16,24,175,118,42,30,25,67,18
DE93B,Verden,102027,39390,381,0,15631,10904,0,5959,846,2689,321,432,456,496,137,57,255,34,0,13,19,292,154,87,28,17,163,19
DE941,"Delmenhorst, Stadt",57441,17710,344,0,6963,5430,0,1962,428,1123,209,222,334,114,72,42,29,38,0,11,14,132,97,32,26,35,42,11
DE942,"Emden, Stadt",38774,12173,301,0,3226,5288,0,1431,238,947,88,138,100,60,39,21,55,12,0,11,6,64,62,17,12,32,18,7
DE943,"Oldenburg (Oldenburg), Stadt",120562,45236,607,0,14278,11639,0,11314,1676,3327,153,402,372,213,155,74,83,54,0,39,41,278,173,95,40,104,73,46
DE944,"Osnabrück, Stadt",119389,50966,545,0,22233,12212,0,9358,926,3177,206,397,487,231,154,97,114,42,0,26,43,203,142,89,49,92,102,41
DE945,"Wilhelmshaven, Stadt",66316,22380,535,0,8825,6916,0,1979,530,1730,257,303,370,126,112,25,40,26,0,14,19,167,121,50,29,29,151,26
DE946,Ammerland,88126,31573,507,0,13949,8158,0,3849,442,2872,199,272,231,209,114,43,40,35,0,18,24,259,136,70,34,27,65,20
DE947,Aurich,147023,50874,1636,0,17485,20122,0,4789,833,2586,539,657,489,238,219,54,124,71,0,29,42,396,217,75,65,58,102,48
DE948,Cloppenburg,110904,43055,586,0,31149,5200,0,1994,320,2292,167,214,196,113,102,24,50,76,0,11,35,213,118,40,40,12,82,21
DE949,Emsland,227465,101522,1288,0,72378,14088,0,5250,723,4037,432,554,493,269,265,79,102,111,0,31,83,603,246,109,82,83,169,47
DE94A,Friesland,79370,29741,868,0,11712,9110,0,2924,421,2625,256,353,318,184,128,31,76,35,0,13,26,284,130,72,35,37,81,22
DE94B,Grafschaft Bentheim,94831,45758,803,0,26066,11631,0,3274,329,1738,156,283,219,194,122,99,104,56,0,15,26,246,131,56,42,82,62,24
DE94C,Leer,124771,42562,970,0,17525,14675,0,3582,614,2102,368,457,418,274,177,47,402,112,0,21,20,267,228,65,44,50,106,38
DE94D,Oldenburg,94600,37336,470,0,15959,9528,0,4741,603,3683,239,394,432,196,148,72,98,47,0,15,29,308,128,63,58,38,69,18
DE94E,Osnabrück,266235,120354,1520,0,67760,27435,0,10771,1154,6124,549,899,731,641,346,143,298,140,0,51,105,709,368,146,99,102,201,62
DE94F,Vechta,92422,45527,725,0,32448,5325,0,2319,247,2900,221,238,168,100,120,27,29,63,0,16,48,224,83,59,31,16,103,17
DE94G,Wesermarsch,71512,24274,487,0,9329,8064,0,2420,406,1953,199,232,301,184,105,31,26,23,0,12,14,203,101,55,33,20,54,22
DE94H,Wittmund,44529,14672,334,0,6880,4360,0,1126,210,933,81,152,125,83,47,19,19,8,0,9,5,100,72,26,20,16,36,11
DE501,"Bremen, Stadt",399189,152371,2041,0,41300,44810,0,36105,5816,9292,1251,2117,3447,1003,830,205,620,148,0,101,102,750,778,271,205,374,645,160
DE502,"Bremerhaven, Stadt",86274,28737,537,0,8615,9585,0,3709,811,1968,311,551,1011,480,184,17,145,21,0,19,26,226,174,39,45,41,198,24
DEA11,"Düsseldorf, Stadt",408041,170620,1841,0,69520,38891,0,27346,3930,16679,2756,1786,3000,539,633,329,311,157,0,140,170,889,576,331,121,333,243,99
DEA12,"Duisburg, Stadt",354684,125411,3180,0,40846,43572,0,13732,5288,6545,2282,1853,2593,1093,685,159,227,157,0,101,169,1077,758,274,148,211,295,166
DEA13,"Essen, Stadt",443351,169869,3156,0,63382,49764,0,23484,4612,10217,2864,2532,2971,1057,902,273,299,217,0,132,282,1379,807,309,224,577,274,155
DEA14,"Krefeld, Stadt",167339,68151,1119,0,29794,15640,0,9067,1425,6006,779,849,1230,262,268,102,127,109,0,46,99,462,289,115,83,88,126,66
DEA15,"Mönchengladbach, Stadt",195194,64763,953,0,31793,12603,0,7412,1302,6135,540,769,903,497,280,116,115,71,0,35,83,440,289,119,56,50,173,29
DEA16,"Mülheim an der Ruhr, Stadt",130539,52716,1121,0,19070,16384,0,6744,1277,3975,412,712,970,376,225,77,110,61,0,26,96,459,195,115,71,89,105,46
DEA17,"Oberhausen, Stadt",161859,52753,1298,0,17731,18512,0,5714,1885,2669,746,812,1087,569,264,85,82,58,0,20,93,432,260,101,63,73,144,55
DEA18,"Remscheid, Stadt",83581,30254,594,0,12630,7640,0,3176,671,2947,487,423,456,176,142,63,95,45,0,11,43,249,187,47,32,41,78,21
DEA19,"Solingen, Stadt",115176,46047,776,0,19462,10939,0,5543,1123,4688,497,522,661,312,178,118,189,62,0,32,52,338,205,83,41,70,118,38
DEA1A,"Wuppertal, Stadt",256119,100048,1934,0,36958,25044,0,15420,3115,8505,2172,1332,1839,550,384,159,350,138,0,58,145,692,453,213,125,180,202,80
DEA1B,Kleve,221746,94883,1555,0,52842,18722,0,8135,1301,7245,492,907,887,365,328,193,109,92,0,41,118,718,285,173,94,70,142,69
DEA1C,Mettmann,374982,160886,2206,0,71511,38190,0,18752,3203,15145,1787,1774,2514,975,718,242,527,209,0,101,223,1098,634,355,153,199,288,82
DEA1D,Neuss,328533,142791,1760,0,71593,29026,0,14599,2173,13655,1787,1497,1687,585,631,174,168,186,0,78,773,1083,482,311,98,137,227,81
DEA1E,Viersen,224765,95413,1583,0,48194,18485,0,10361,1407,9139,775,1298,1148,390,410,108,190,74,0,41,117,808,332,179,90,55,169,60
DEA1F,Wesel,357708,146796,2639,0,61591,44034,0,15595,3051,9744,1273,1753,2107,903,739,203,240,164,0,104,197,989,665,233,126,113,222,111
DEA21,"Aachen, Stadt",173019,80573,1200,0,32470,16893,0,17766,1922,6356,441,694,824,310,217,202,71,81,0,36,73,331,205,125,50,90,159,57
DEA22,"Bonn, Stadt",210108,104341,1336,0,42057,19784,0,23207,2265,10592,496,968,950,293,324,193,285,114,0,57,130,390,344,153,66,110,170,57
DEA23,"Köln, Stadt",673585,270101,1666,0,92349,64006,0,63241,8191,23102,2222,2426,4820,1737,1124,556,400,311,0,190,279,1027,833,545,212,348,345,171
DEA24,"Leverkusen, Stadt",117295,42937,625,0,18093,11235,0,5423,851,3336,460,535,834,273,214,69,95,58,0,30,54,296,186,69,33,43,94,31
DEA25,Aachen,225569,94513,2576,0,42050,26298,0,8593,1534,6125,1555,1210,1190,684,507,147,98,97,0,62,114,733,356,163,92,86,159,84
DEA26,Düren,197858,81153,1945,0,40037,19806,0,7177,1254,5035,722,1159,1136,477,307,112,198,122,0,50,82,662,330,161,68,92,174,47
DEA27,Erftkreis,335679,140286,2635,0,60205,36737,0,15979,2260,12411,1228,1838,2410,860,591,249,140,149,0,63,142,954,545,281,140,100,283,86
DEA28,Euskirchen,146008,59492,1225,0,31312,10884,0,5738,885,5288,544,780,684,290,271,102,104,129,0,33,65,471,248,179,67,43,112,38
DEA29,Heinsberg,183895,75811,1926,0,41539,14738,0,5714,1070,5734,759,810,853,447,372,95,136,110,0,46,81,603,274,141,82,65,157,59
