gisco_id,name,registered,turnout,invalid,blank,CDU,SPD,GRÜNE,CSU,DIE LINKE,FDP,REP,Die Tierschutzpartei,FAMILIE,ödp,DIE FRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BüSo,50Plus,AUF,DVU,DIE GRAUEN,DIE VIOLETTEN,EDE,FBI,FÜR VOLKSENTSCHEIDE,FW FREIE WÄHLER,Newropeans,PIRATEN,RRP,RENTNER
DE_07339043,Nierstein,5747,2292,80,0,846,507,313,0,69,240,77,31,20,11,10,5,4,3,3,1,3,2,3,4,0,3,2,5,0,1,4,11,0,15,9,10
DE_07339044,Oberdiebach,738,431,19,0,159,119,46,0,10,44,8,3,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,2,1,4,2,3
DE_07339045,Oberheimbach,505,289,17,0,109,84,17,0,10,27,5,1,3,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,4,0,1
DE_07339046,Ober-Hilbersheim,813,457,34,0,158,99,61,0,7,57,6,9,5,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,5,0,4,2,2
DE_07339047,Ober-Olm,3272,1440,42,0,488,368,218,0,30,170,34,11,9,4,3,6,5,1,2,0,1,0,0,3,6,1,0,5,0,1,1,8,0,19,1,3
DE_07339048,Ockenheim,1861,756,31,0,329,154,75,0,16,102,8,4,7,2,1,0,0,1,0,2,1,2,0,1,2,1,0,1,2,1,0,5,1,5,0,2
DE_07339049,Oppenheim,5311,2177,78,0,539,679,370,0,92,190,46,28,16,11,9,6,7,2,1,2,3,2,1,6,3,8,4,4,1,3,3,12,0,37,4,10
DE_07339050,Sankt Johann,613,285,9,0,84,85,36,0,5,37,13,2,4,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2
DE_07339051,Schwabenheim an der Selz,1950,984,52,0,291,238,131,0,24,130,28,14,15,2,2,4,0,1,1,1,1,0,1,4,0,2,3,4,0,0,2,16,0,7,3,7
DE_07339053,Selzen,1224,649,23,0,187,175,68,0,21,64,62,6,8,2,3,3,2,0,0,0,0,0,0,5,0,0,0,2,0,1,5,5,3,2,2,0
DE_07339054,Sörgenloch,902,422,13,0,161,87,61,0,9,59,11,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0
DE_07339056,Sprendlingen,2962,1123,53,0,416,294,119,0,32,113,27,19,8,0,4,3,1,0,1,0,1,0,1,1,1,1,1,1,0,0,2,5,0,8,4,7
DE_07339057,Stadecken-Elsheim,3541,1719,55,0,530,508,239,0,56,167,34,19,15,7,3,4,3,1,0,1,3,0,0,5,0,3,3,7,1,3,1,11,3,31,2,4
DE_07339058,Trechtingshausen,830,423,13,0,122,172,24,0,15,30,6,6,4,0,0,1,2,0,0,0,0,0,0,1,0,0,1,2,0,0,0,5,0,9,2,8
DE_07339059,Uelversheim,848,482,24,0,153,146,69,0,15,34,7,10,3,3,1,1,2,0,2,0,0,0,0,2,0,2,0,1,0,0,0,3,0,2,0,2
DE_07339060,Undenheim,2034,773,33,0,232,206,91,0,23,110,24,16,6,8,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,10,2,1
DE_07339061,Wackernheim,1893,921,30,0,273,215,193,0,34,94,20,9,5,2,1,2,6,2,0,0,0,1,0,0,0,2,3,5,0,0,0,12,0,11,0,1
DE_07339062,Waldalgesheim,3166,1329,51,0,511,301,152,0,28,159,23,19,16,5,5,2,1,2,1,0,0,0,0,6,0,1,6,5,1,0,1,19,1,6,3,4
DE_07339063,Weiler bei Bingen,2117,825,41,0,291,210,111,0,28,76,12,12,2,2,0,3,0,0,0,0,0,0,0,1,2,0,3,1,0,1,1,10,2,9,2,5
DE_07339064,Weinolsheim,553,283,14,0,111,64,15,0,5,41,7,5,8,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,1
DE_07339065,Welgesheim,481,228,10,0,94,60,18,0,4,18,6,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,1,2
DE_07339066,Wintersheim,251,147,12,0,39,36,6,0,4,39,4,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
DE_07339067,Zornheim,2815,1298,55,0,483,328,169,0,19,133,22,18,6,8,2,2,1,0,3,0,1,0,1,2,2,2,5,1,1,0,4,10,1,9,0,10
DE_07339068,Zotzenheim,504,329,23,0,105,97,32,0,8,33,6,11,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3
DE_07339201,Dorn-Dürkheim,728,350,15,0,143,86,26,0,13,34,11,4,2,2,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,1,1,1
DE_07339202,Wolfsheim,600,368,11,0,128,126,23,0,9,40,12,7,3,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1
DE_07339999,Briefwahl für mehrere Gemeinden,0,21516,410,0,8569,5331,2168,0,430,2539,377,328,113,87,40,64,38,31,25,3,10,3,6,91,18,25,18,41,4,10,31,235,8,124,121,218
DE_07340001,Bobenthal,247,115,15,0,49,19,12,0,2,13,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
