gisco_id,name,registered,turnout,invalid,blank,SOC,UMP,PRG,DVG,DVD,FN,COM,VEC,UDF,RPF,PREP,DIV,REG
FR_28060,Briconville,96,68,5,0,41,22,0,0,0,0,0,0,0,0,0,0,0
FR_28061,Brou,2751,1646,85,0,0,946,0,0,0,0,0,615,0,0,0,0,0
FR_28062,Broué,594,316,12,0,91,213,0,0,0,0,0,0,0,0,0,0,0
FR_28063,Brunelles,384,256,10,0,0,128,118,0,0,0,0,0,0,0,0,0,0
FR_28064,Bû,1266,760,32,0,248,480,0,0,0,0,0,0,0,0,0,0,0
FR_28065,Bullainville,80,54,5,0,0,35,0,0,0,0,0,14,0,0,0,0,0
FR_28066,Bullou,151,89,6,0,0,45,0,0,0,0,0,38,0,0,0,0,0
FR_28067,Cernay,69,46,5,0,0,24,17,0,0,0,0,0,0,0,0,0,0
FR_28068,Challet,281,156,6,0,79,71,0,0,0,0,0,0,0,0,0,0,0
FR_28069,Champagne,149,83,5,0,26,52,0,0,0,0,0,0,0,0,0,0,0
FR_28070,Champhol,2166,1404,80,0,665,659,0,0,0,0,0,0,0,0,0,0,0
FR_28071,Champrond-en-Gâtine,318,201,5,0,0,129,67,0,0,0,0,0,0,0,0,0,0
FR_28072,Champrond-en-Perchet,375,237,12,0,0,116,109,0,0,0,0,0,0,0,0,0,0
FR_28073,Champseru,237,146,6,0,0,91,0,0,0,0,0,49,0,0,0,0,0
FR_28074,La Chapelle-dAunainville,183,106,4,0,0,51,0,0,0,0,0,51,0,0,0,0,0
FR_28075,La Chapelle-du-Noyer,829,523,31,0,0,265,0,0,0,0,0,227,0,0,0,0,0
FR_28076,La Chapelle-Forainvilliers,124,74,1,0,5,68,0,0,0,0,0,0,0,0,0,0,0
FR_28077,La Chapelle-Fortin,128,74,3,0,21,50,0,0,0,0,0,0,0,0,0,0,0
FR_28078,Chapelle-Guillaume,157,114,3,0,0,71,40,0,0,0,0,0,0,0,0,0,0
FR_28079,Chapelle-Royale,278,157,3,0,0,91,63,0,0,0,0,0,0,0,0,0,0
FR_28080,Charbonnières,216,147,7,0,0,98,42,0,0,0,0,0,0,0,0,0,0
FR_28081,Charonville,200,108,6,0,0,59,43,0,0,0,0,0,0,0,0,0,0
FR_28082,Charpont,377,251,16,0,67,168,0,0,0,0,0,0,0,0,0,0,0
FR_28083,Charray,110,70,8,0,0,45,0,0,0,0,0,17,0,0,0,0,0
FR_28084,Chartainvilliers,492,294,13,0,111,170,0,0,0,0,0,0,0,0,0,0,0
FR_28085,Chartres,22606,13655,570,0,5892,6660,533,0,0,0,0,0,0,0,0,0,0
FR_28086,Chassant,245,159,5,0,0,88,66,0,0,0,0,0,0,0,0,0,0
FR_28087,Châtaincourt,203,142,5,0,41,96,0,0,0,0,0,0,0,0,0,0,0
FR_28088,Châteaudun,8786,5457,220,0,0,3263,0,0,0,0,0,1974,0,0,0,0,0
FR_28089,Châteauneuf-en-Thymerais,1584,928,37,0,398,493,0,0,0,0,0,0,0,0,0,0,0
FR_28090,Les Châtelets,90,54,4,0,10,40,0,0,0,0,0,0,0,0,0,0,0
FR_28091,Les Châtelliers-Notre-Dame,104,69,7,0,0,39,23,0,0,0,0,0,0,0,0,0,0
FR_28092,Châtenay,159,107,4,0,0,67,0,0,0,0,0,36,0,0,0,0,0
FR_28093,Châtillon-en-Dunois,560,328,20,0,0,170,0,0,0,0,0,138,0,0,0,0,0
