gisco_id,name,registered,turnout,invalid,blank,UG,DIV,EXG,ENS,RN,LR,ECO,DVD,REC,UXD,DSV,EXD,DVG,UDI,REG,DVC,HOR,COM,SOC,VEC,FI,RDG
FR_56145,Néant-sur-Yvel,765,582,5,9,74,0,3,50,199,0,3,0,0,0,8,0,0,0,231,0,0,0,0,0,0,0
FR_56146,Neulliac,1157,836,12,8,117,0,14,308,315,0,0,57,0,0,5,0,0,0,0,0,0,0,0,0,0,0
FR_56147,Nivillac,3948,2760,16,39,430,0,23,473,827,0,23,0,0,0,37,0,0,0,892,0,0,0,0,0,0,0
FR_56148,Nostang,1292,991,16,27,283,0,18,260,302,0,0,64,0,0,0,0,0,0,21,0,0,0,0,0,0,0
FR_56149,Noyal-Muzillac,2175,1554,13,44,373,4,24,557,476,0,0,0,0,0,0,0,37,0,26,0,0,0,0,0,0,0
FR_56151,Noyal-Pontivy,2891,2130,12,50,286,0,10,591,746,0,28,349,0,0,23,0,0,0,35,0,0,0,0,0,0,0
FR_56152,Le Palais,2114,1498,6,22,569,0,20,467,300,0,0,83,0,0,0,0,0,0,31,0,0,0,0,0,0,0
FR_56153,Péaule,2308,1546,7,26,200,0,17,233,508,0,17,0,0,0,24,0,0,0,514,0,0,0,0,0,0,0
FR_56154,Peillac,1480,1130,5,15,176,0,6,109,308,0,9,0,0,0,13,0,0,0,489,0,0,0,0,0,0,0
FR_56155,Pénestin,2345,1828,4,16,278,0,9,460,583,0,19,0,0,0,30,0,0,0,429,0,0,0,0,0,0,0
FR_56156,Persquen,285,191,1,5,54,0,5,44,69,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FR_56157,Plaudren,1604,1156,4,16,200,0,13,341,414,0,23,108,0,0,11,0,0,0,26,0,0,0,0,0,0,0
FR_56158,Plescop,4855,3524,20,65,842,0,24,1043,956,0,56,426,0,0,36,0,0,0,56,0,0,0,0,0,0,0
FR_56159,Pleucadeuc,1567,1159,6,12,172,0,11,191,320,0,6,0,0,0,13,0,0,0,428,0,0,0,0,0,0,0
FR_56160,Pleugriffet,952,650,8,11,74,0,9,127,293,0,12,97,0,0,10,0,0,0,9,0,0,0,0,0,0,0
FR_56161,Ploemel,2667,2049,12,45,518,0,17,612,584,0,0,213,0,0,0,0,0,0,48,0,0,0,0,0,0,0
FR_56162,Ploemeur,16203,11996,0,392,3329,0,158,4843,3274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FR_56163,Ploërdut,961,634,4,7,167,0,4,192,219,0,0,32,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FR_56164,Ploeren,5630,4187,27,68,1053,6,20,1658,1217,0,0,0,0,0,0,0,92,0,46,0,0,0,0,0,0,0
FR_56165,Ploërmel,7233,5378,0,86,569,0,18,942,1452,0,12,0,0,0,43,0,0,0,2256,0,0,0,0,0,0,0
FR_56166,Plouay,4432,3248,30,55,564,0,44,1210,1154,0,0,151,0,0,40,0,0,0,0,0,0,0,0,0,0,0
FR_56167,Plougoumelen,2155,1663,10,28,455,0,13,583,436,0,0,112,0,0,0,0,0,0,26,0,0,0,0,0,0,0
FR_56168,Plouharnel,2114,1568,7,33,303,0,18,562,434,0,0,185,0,0,0,0,0,0,26,0,0,0,0,0,0,0
FR_56169,Plouhinec,5117,3765,33,74,861,0,44,1165,1199,0,0,329,0,0,0,0,0,0,60,0,0,0,0,0,0,0
FR_56170,Plouray,787,553,5,12,116,0,18,159,209,0,0,25,0,0,9,0,0,0,0,0,0,0,0,0,0,0
FR_56171,Pluherlin,1306,971,3,19,173,0,11,126,292,0,3,0,0,0,9,0,0,0,335,0,0,0,0,0,0,0
FR_56172,Plumelec,2183,1583,20,29,282,0,15,381,606,0,29,174,0,0,21,0,0,0,26,0,0,0,0,0,0,0
FR_56173,Pluméliau,3534,2524,27,39,469,0,25,495,1001,0,36,362,0,0,29,0,0,0,41,0,0,0,0,0,0,0
FR_56174,Plumelin,2213,1596,13,42,271,0,8,447,592,0,16,178,0,0,9,0,0,0,20,0,0,0,0,0,0,0
FR_56175,Plumergat,3324,2427,23,54,521,0,24,699,838,0,0,213,0,0,0,0,0,0,55,0,0,0,0,0,0,0
FR_56176,Pluneret,5136,3769,25,50,983,0,39,1239,1038,0,0,327,0,0,0,0,0,0,68,0,0,0,0,0,0,0
FR_56177,Pluvigner,6364,4626,37,103,1071,0,56,1085,1665,0,0,492,0,0,0,0,0,0,117,0,0,0,0,0,0,0
