gisco_id,name,registered,turnout,blank,invalid,A,B,C,D,F,K,M,O,V,Ø,Ind.
DK_807,Dronninglund,11326,9666,53,16,2821,614,1132,62,364,216,11,1200,3020,139,18
DK_809,Farsø,5978,4953,29,15,994,322,501,47,144,169,15,613,2043,58,3
DK_811,Fjerritslev,6254,5174,38,15,1296,346,503,44,192,193,8,632,1815,89,3
DK_813,Frederikshavn,25865,21108,78,41,7135,1117,2614,201,754,477,28,3193,5084,372,14
DK_815,Hadsund,8298,6904,30,18,2280,391,709,54,218,54,17,872,2178,82,1
DK_817,Hals,8523,7352,43,10,2435,465,783,58,330,99,17,903,2055,149,5
DK_819,Hirtshals,10459,8594,32,17,2207,599,1751,72,207,238,14,1195,2137,118,7
DK_821,Hjørring,26520,22166,98,52,6470,1848,3331,260,917,433,35,2304,5983,430,5
DK_823,Hobro,11281,9427,53,17,2742,765,1041,74,321,159,18,1102,2973,160,2
DK_825,Læsø,1699,1379,6,3,346,70,107,11,52,52,2,242,460,28,0
DK_827,Løgstør,7634,6163,36,19,1601,369,353,48,282,100,15,703,2517,117,3
DK_829,Løkken-Vrå,6664,5574,34,23,1433,376,779,48,196,108,18,693,1743,120,3
DK_831,Nibe,6208,5334,34,10,1473,370,478,48,265,78,16,560,1897,104,1
DK_833,Nørager,4004,3346,27,3,816,200,327,26,87,77,4,417,1323,37,2
DK_835,Pandrup,8138,6795,46,8,2299,388,672,59,239,122,10,939,1916,95,2
DK_837,Sejlflod,6882,5905,27,7,2163,376,545,57,205,72,10,767,1581,93,2
DK_839,Sindal,6869,5744,30,11,1404,369,763,142,159,174,7,690,1905,85,5
DK_841,Skagen,9294,7312,32,13,2411,446,843,63,197,68,12,1078,2016,131,2
DK_843,Skørping,7229,6326,31,13,1864,560,547,55,315,102,14,726,1886,210,3
DK_845,Støvring,9460,8153,30,12,2064,574,888,67,276,134,18,884,3079,126,1
DK_847,Sæby,13528,11300,58,17,3111,676,1539,86,298,322,23,1511,3482,172,5
DK_849,Jammerbugt,8363,7347,27,6,2313,484,765,56,213,215,7,806,2361,93,1
DK_851,Aalborg,125258,104834,541,194,34465,10145,11884,1080,5774,1804,267,11544,23823,3264,49
DK_861,Aars,9821,8268,45,13,1855,500,972,73,226,166,11,1061,3244,100,2
