gisco_id,name,registered,turnout,invalid,blank,A-HSP,BM365,Deblokirajmo Hrvatsku,NHR-HSP,DSS,Hrast-HKS-HSP AS-UHD,HBPS,HDS,HDZ,HNS-LD,HSS-GLAS-IDS-HSU-PGS-Demokrati-Laburisti,HSLS,HSR,Kolakušić,MVH,Most,Možemo!-NL-OraH,NS-R,P-UK,Petir,PMH,RF-SRP,SDSS,SSH,SH,SNAGA,SDP,START,SHZ,ZSZ,ZL,ŽZ
HR_05223,Zagvozd,1043,280,6,0,1,2,1,27,0,30,0,10,144,2,0,0,0,8,0,25,1,0,3,5,0,0,0,0,0,0,6,2,0,0,0,7
HR_05436,Zapresic,21868,6666,146,0,6,117,28,319,4,558,7,46,1143,97,273,45,0,703,9,286,153,26,98,400,13,9,26,6,13,69,1412,149,3,20,42,440
HR_05231,Zazablje,621,260,13,0,3,2,0,10,0,18,0,5,121,1,3,2,2,0,0,57,0,6,1,7,0,0,0,0,0,0,4,0,0,0,0,5
HR_05240,Zdenci,1514,487,29,0,3,3,3,6,2,30,1,5,150,6,18,1,1,12,1,28,2,1,2,18,2,0,14,0,0,0,98,0,1,0,4,46
HR_05258,Zemunik Donji,1995,657,30,0,6,6,1,20,1,43,0,5,334,3,2,4,0,29,2,31,2,0,2,13,2,0,43,2,1,2,52,1,0,0,1,19
HR_05266,Zlatar,4971,1096,27,0,2,20,2,21,0,77,2,7,293,8,29,5,2,78,1,13,20,71,8,43,6,0,1,1,3,0,248,10,1,4,2,91
HR_05274,Zlatar-Bistrica,2090,575,13,0,0,7,3,6,1,24,2,5,99,16,26,2,0,47,3,13,9,11,6,21,4,1,0,0,0,0,190,6,1,3,0,56
HR_05282,Zmijavci,1694,599,12,0,3,9,1,95,0,135,0,7,221,3,7,2,0,14,0,46,1,2,4,13,0,1,5,0,1,0,7,1,1,0,1,7
HR_05665,Zrinski Topolovac,637,167,2,0,1,0,0,6,0,2,0,1,68,0,4,37,0,5,0,0,0,0,0,19,0,0,1,0,0,0,2,1,0,0,1,17
HR_00558,Cabar,3380,773,21,0,2,8,4,7,0,27,3,9,136,2,24,0,0,61,1,23,2,0,7,16,2,3,3,0,0,1,236,10,3,2,3,157
