gisco_id,name,registered,turnout,invalid,blank,Jaunā VIENOTĪBA,"""Latvijas Krievu savienība""",Zaļo un Zemnieku savienība,TAUTAS KALPI LATVIJAI,"""SUVERĒNĀ VARA""","""Kristīgi Progresīvā Partija""","""Saskaņa"" sociāldemokrātiskā partija","Politiskā partija ""Stabilitātei!""","Politiskā partija ""Tautas varas spēks""","Partija ""Vienoti Latvijai""","Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",LATVIJA PIRMAJĀ VIETĀ,Konservatīvie,"Politiskā partija ""KATRAM UN KATRAI""","""PROGRESĪVIE""",Attīstībai/Par!,"""Apvienība Latvijai""","""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""","Politiskā partija ""Republika"""
LV_0006000,Rēzekne,21799,14655,43,0,836,1100,1539,100,880,20,1784,3265,381,10,949,1072,272,408,607,358,13,612,274
LV_0022000,Augšdaugavas novads,20267,10570,3,0,667,856,1700,75,526,12,1234,2034,190,13,582,661,138,324,177,493,23,585,164
LV_0024000,Balvu novads,15804,8857,11,0,942,158,2260,130,123,25,426,278,87,23,1032,421,879,258,243,347,34,858,217
LV_0032000,Krāslavas novads,16747,9061,20,0,529,684,1495,107,349,7,975,1688,172,12,300,864,258,244,139,363,19,565,173
LV_0036000,Līvānu novads,8771,5354,10,0,602,165,556,80,156,7,240,412,65,12,551,327,178,365,224,780,8,441,98
LV_0037000,Ludzas novads,17704,9497,14,0,1046,665,1916,63,418,18,1002,1389,252,18,354,751,196,246,201,144,12,424,274
LV_0042000,Preiļu novads,13954,8454,4,0,1529,255,1542,140,233,9,465,575,143,19,961,635,306,207,227,442,8,480,183
LV_0043000,Rēzeknes novads,24299,12161,13,0,907,563,2076,139,380,19,1105,2495,226,23,996,689,438,284,406,420,15,680,155
LV_0005000,Liepāja,45719,28706,36,0,3588,1077,2611,237,768,26,1490,1366,198,32,2232,1123,538,937,1127,827,61,9729,375
LV_0007000,Ventspils,23102,15409,13,0,1789,409,5868,98,342,19,419,804,100,6,1232,680,438,380,641,339,39,1423,171
LV_0027000,Dienvidkurzemes novads,26992,16946,24,0,2471,58,2703,181,144,16,104,79,48,18,1903,565,446,416,532,430,57,6298,243
LV_0033000,Kuldīgas novads,22989,15369,11,0,3902,39,3236,253,97,21,80,58,66,29,1577,704,630,555,685,505,42,2165,514
LV_0046000,Saldus novads,22474,13729,11,0,2605,49,3348,143,119,21,101,68,57,28,1402,745,427,470,631,615,34,2424,215
LV_0051000,Talsu novads,30116,19808,21,0,3798,60,4646,233,264,31,97,77,85,28,2746,908,690,639,1728,654,41,2553,275
LV_0056000,Ventspils novads,8678,5010,6,0,726,14,1818,43,39,8,37,35,22,4,676,182,147,118,168,140,10,737,49
LV_0003000,Jelgava,38660,25462,67,0,4460,2347,4352,180,519,45,930,1219,331,34,2437,1244,751,879,1288,1118,69,2451,481
LV_0020000,Aizkraukles novads,23397,14470,19,0,2762,300,2476,277,227,23,235,313,142,19,1761,717,470,444,590,1461,42,1684,330
LV_0025000,Bauskas novads,31914,20049,30,0,3595,198,4092,244,246,34,279,306,156,31,3126,817,795,613,895,1255,94,2584,447
LV_0028000,Dobeles novads,21800,13192,17,0,2616,130,3169,167,129,24,166,222,93,18,1332,524,853,423,536,585,49,1597,362
LV_0030000,Jelgavas novads,23566,13990,15,0,2637,445,3156,166,229,29,406,458,117,21,1498,596,473,427,582,598,56,1639,274
LV_0031000,Jēkabpils novads,31112,18654,8,0,3134,615,3412,216,303,35,691,1145,236,31,1952,1307,824,524,633,576,44,1971,705
LV_0052000,Tukuma novads,35488,23344,62,0,4973,161,4550,329,205,36,209,234,132,48,3576,671,683,694,1084,933,61,4092,361
