gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΚΙΝΗΜΑ ΕΛΕΥΘΕΡΟΙ ΠΟΛΙΤΕΣ,ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΝΩΜΕΝΟΙ ΔΗΜΟΚΡΑΤΕΣ (Ε.ΔΗ),ΕΥΡΩΠΑΪΚΗ ΔΗΜΟΚΡΑΤΙΑ,ΠΟΛΙΤΙΚΟ ΚΙΝΗΜΑ ΚΥΝΗΓΩΝ,ΛΑΪΚΟ ΣΟΣΙΑΛΙΣΤΙΚΟ ΚΙΝΗΜΑ,ΚΩΣΤΑ ΧΡΙΣΤΑΚΗΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΑΝΔΡΕΑΣ,ΜΙΧΑΗΛ ΑΝΑΣΤΑΣΗΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΟΣ
CY_1233,Κάτω Δευτερά,848,766,32,20,153,248,173,31,66,1,21,9,3,4,3,0,2,0,0,0,0
CY_1240,Agioi Trimithias,1116,1035,40,20,391,155,234,84,59,2,25,5,12,7,1,0,0,0,0,0,0
CY_1241,Παλαιομέτοχο,2729,2493,60,48,1016,465,406,117,251,56,24,25,11,6,6,0,2,0,0,0,0
CY_1242,Deneia,239,223,6,9,94,35,34,4,28,1,8,3,0,0,1,0,0,0,0,0,0
CY_1243,Kokkinotrimithia,2475,2255,67,52,781,651,323,137,141,12,42,23,20,3,2,0,1,0,0,0,0
CY_1244,Μάμμαρη,983,897,30,17,519,93,78,47,41,2,45,13,7,2,0,0,3,0,0,0,0
CY_1300,Παλαιχώρι Μόρφου,672,601,25,10,207,188,41,39,55,5,15,9,3,0,1,0,3,0,0,0,0
CY_1301,Askas,218,198,7,9,73,29,30,9,31,2,4,0,3,0,0,0,1,0,0,0,0
CY_1302,Alona,214,191,9,3,109,8,29,23,4,1,3,1,0,0,0,0,1,0,0,0,0
CY_1303,Φτερικούδι,177,162,7,7,48,31,30,3,29,1,1,1,1,1,2,0,0,0,0,0,0
CY_1304,Πολύστυπος,296,268,12,7,121,28,52,12,28,2,3,0,1,0,1,0,1,0,0,0,0
CY_1305,Lagoudera,136,117,3,1,57,17,23,8,2,0,2,1,2,1,0,0,0,0,0,0,0
CY_1306,Saranti,89,84,1,1,46,6,21,3,1,1,3,0,0,0,1,0,0,0,0,0,0
CY_1307,Λιβάδια Λευκωσίας,63,54,4,1,16,11,14,3,0,0,5,0,0,0,0,0,0,0,0,0,0
CY_1309,Platanistasa,170,158,11,3,62,33,24,12,5,2,3,0,3,0,0,0,0,0,0,0,0
CY_1310,Παλαιχώρι Ορεινής,402,363,20,5,103,96,36,40,45,3,7,2,4,1,1,0,0,0,0,0,0
CY_1320,Ξυλιάτος,122,116,2,0,48,26,9,5,20,4,1,0,0,0,0,0,1,0,0,0,0
CY_1322,Νικητάρι,413,370,11,7,141,74,60,44,17,8,6,2,0,0,0,0,0,0,0,0,0
CY_1323,Βυζακιά,365,341,13,3,125,97,49,8,33,2,7,0,0,2,0,0,2,0,0,0,0
CY_1324,Αγία Μαρίνα Ξυλιάτου,573,530,17,17,167,191,55,17,54,6,2,2,1,1,0,0,0,0,0,0,0
CY_1326,Κάτω Μονή,259,249,10,4,57,57,45,25,33,10,3,1,2,2,0,0,0,0,0,0,0
CY_1327,Orounta,533,474,24,14,128,114,78,27,77,6,2,2,1,0,0,0,1,0,0,0,0
CY_1330,Potami,482,445,8,12,154,107,52,18,60,19,4,7,0,1,1,0,2,0,0,0,0
CY_1360,Akaki,1999,1786,46,25,540,463,456,75,122,8,24,14,7,1,1,0,4,0,0,0,0
CY_1361,Περιστερώνα Λευκωσίας,2140,1864,67,32,555,423,369,70,213,44,49,24,10,4,1,0,3,0,0,0,0
CY_1362,Αστρομερίτης,1889,1741,72,31,419,539,313,65,207,31,27,28,5,2,1,0,1,0,0,0,0
CY_1368,Meniko,735,677,31,20,148,185,128,35,47,13,53,6,6,0,2,0,3,0,0,0,0
CY_1400,Σπήλια,199,194,7,2,81,30,34,5,29,1,1,3,0,0,0,0,1,0,0,0,0
CY_1403,Καννάβια,279,266,3,2,104,29,64,20,37,2,2,3,0,0,0,0,0,0,0,0,0
CY_1404,Kakopetria,1085,992,21,13,361,231,143,70,113,5,9,19,5,1,0,0,1,0,0,0,0
CY_1405,Άγιος Θεόδωρος Σολέας,92,85,1,2,16,13,16,8,29,0,0,0,0,0,0,0,0,0,0,0,0
CY_1406,Galata,698,645,28,6,113,141,283,15,44,0,5,6,1,0,0,0,3,0,0,0,0
CY_1407,Sinaoros,178,176,5,5,20,24,44,1,73,1,0,2,0,1,0,0,0,0,0,0,0
CY_1408,Kaliana,235,217,4,4,32,26,82,6,56,1,1,1,0,0,1,0,3,0,0,0,0
CY_1409,Τεμβριά,605,553,18,5,60,302,92,6,59,2,1,5,1,0,0,0,2,0,0,0,0
CY_1410,Korakou,532,499,8,9,90,166,86,9,120,5,2,2,0,1,0,0,1,0,0,0,0
CY_1411,Ευρύχου,908,808,19,10,187,166,199,33,160,16,6,10,0,1,0,0,1,0,0,0,0
CY_1412,Φλάσου,269,249,16,5,43,70,47,18,41,2,3,4,0,0,0,0,0,0,0,0,0
CY_1415,Ληνού,216,194,7,5,43,67,29,8,25,3,1,1,1,0,0,0,4,0,0,0,0
CY_1416,Κατύδατα,216,200,6,0,33,59,32,17,42,1,3,5,1,1,0,0,0,0,0,0,0
CY_1420,Pedoulas,239,204,7,3,58,14,73,7,33,4,1,2,0,1,0,0,1,0,0,0,0
CY_1421,Μυλικούρι,56,42,1,0,7,13,7,1,4,0,9,0,0,0,0,0,0,0,0,0,0
CY_1422,Moutoullas,355,311,10,6,61,85,86,3,50,2,2,5,1,0,0,0,0,0,0,0,0
CY_1423,Oikos,202,202,3,3,20,24,36,9,100,1,6,0,0,0,0,0,0,0,0,0,0
CY_1424,Καλοπαναγιώτης,312,264,11,2,43,85,61,15,30,0,11,5,1,0,0,0,0,0,0,0,0
CY_1425,Gerakies,207,189,5,1,33,24,44,1,77,0,1,2,1,0,0,0,0,0,0,0,0
CY_1426,Tsakistra,96,94,0,2,43,16,13,5,9,2,2,0,0,2,0,0,0,0,0,0,0
CY_1427,Kampos,429,385,5,2,53,116,65,14,114,3,3,4,3,3,0,0,0,0,0,0,0
CY_1457,Κάτω Πύργος,1090,984,30,9,220,195,175,20,247,12,67,7,0,0,1,0,1,0,0,0,0
