gisco_id,name,registered,turnout,invalid,blank,ΔΗΜΟΚΡΑΤΙΚΟΣ ΣΥΝΑΓΕΡΜΟΣ (ΔΗ.ΣΥ),ΑΚΕΛ-ΑΡΙΣΤΕΡΑ-ΝΕΕΣ ΔΥΝΑΜΕΙΣ,ΔΗΜΟΚΡΑΤΙΚΟ ΚΟΜΜΑ (ΔΗ.ΚΟ),ΕΔΕΚ ΚΙΝΗΜΑ ΣΟΣΙΑΛΔΗΜΟΚΡΑΤΩΝ,ΕΥΡΩΠΑΪΚΟ ΚΟΜΜΑ (ΕΥΡΩ.ΚΟ),ΚΙΝΗΜΑ ΟΙΚΟΛΟΓΩΝ ΠΕΡΙΒΑΛΛΟΝΤΙΣΤΩΝ,ΕΘΝΙΚΟ ΛΑΪΚΟ ΜΕΤΩΠΟ (Ε.ΛΑ.Μ),ΓΡΑΦΕΙΟ ΔΙΚΑΙΩΜΑΤΩΝ ΠΟΛΙΤΗ(ΛΑ.ΣΟ.Κ),ΚΥΠΡΙΑΚΗ ΠΡΟΟΔΕΥΤΙΚΗ ΣΥΝΕΡΓΑΣΙΑ (ΚΥ.ΠΡΟ.Σ),ΖΥΓΟΣ ΚΙΝΗΜΑ ΑΝΕΞΑΡΤΗΤΩΝ ΠΟΛΙΤΩΝ,ΣΤΑΥΡΟΥ ΛΟΥΚΑΣ,ΕΥΣΤΡΑΤΙΟΥ ΑΝΔΡΕΑΣ,ΣΤΑΥΡΟΥ ΠΑΜΠΟΣ,ΚΥΡΙΑΚΟΥ (ΟΥΤΟΠΟΣ) ΚΩΣΤΑΣ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΕΟΦΥΤΟΣ,ΠΙΕΡΙΔΗΣ ΑΝΤΩΝΗΣ
CY_4112,Τερσεφάνου,762,693,8,3,190,400,42,18,24,2,1,5,0,0,0,0,0,0,0,0
CY_4120,Mazotos,535,453,5,2,217,148,42,33,2,3,1,0,0,0,0,0,0,0,0,0
CY_4121,Alaminos,204,179,2,0,100,21,40,11,4,0,1,0,0,0,0,0,0,0,0,0
CY_4122,Αναφωτίδα,515,446,4,1,274,96,41,23,2,1,4,0,0,0,0,0,0,0,0,0
CY_4124,Κιβισίλι,174,155,1,2,107,21,11,7,4,1,0,1,0,0,0,0,0,0,0,0
CY_4125,Alethriko,645,532,9,11,189,212,68,21,6,10,1,5,0,0,0,0,0,0,0,0
CY_4126,Κλαυδιά,440,368,6,4,206,47,72,17,11,0,2,3,0,0,0,0,0,0,0,0
CY_4127,Αγγλισίδες,776,642,12,5,279,132,103,74,25,3,4,5,0,0,0,0,0,0,0,0
CY_4128,Menogeia,41,39,1,0,11,19,5,2,0,0,0,1,0,0,0,0,0,0,0,0
CY_4202,Athienou,3521,3009,36,24,957,820,478,507,88,64,18,12,0,5,0,0,0,0,0,0
CY_4210,Καλό Χωριό Λάρνακας,1200,1008,26,9,368,376,107,82,14,7,6,11,1,1,0,0,0,0,0,0
CY_4211,Agia Anna,128,108,3,4,38,35,3,16,3,3,1,1,1,0,0,0,0,0,0,0
CY_4212,Μοσφιλωτή,882,736,10,5,277,342,61,14,10,6,4,5,1,1,0,0,0,0,0,0
CY_4213,Ψευδάς,982,852,12,12,221,449,26,92,11,10,4,13,0,1,0,0,0,1,0,0
CY_4214,Πυργά (τα) Λάρνακας,454,381,3,5,90,175,28,24,36,6,4,7,2,1,0,0,0,0,0,0
CY_4215,Kornos,1436,1211,27,9,317,576,50,174,21,6,7,21,1,2,0,0,0,0,0,0
