country_code,parliament_name,election_date,round,vote_type,file_path
BG,Народно събрание,2009-07-05,,,elections/BG/2009_07.csv
NO,Storting,2009-09-14,,,elections/NO/2009_09.csv
DE,Bundestag,2009-09-27,,Erststimme,elections/DE/2009_09_Erststimme.csv
DE,Bundestag,2009-09-27,,Zweitstimme,elections/DE/2009_09_Zweitstimme.csv
PT,Assembleia da República,2009-09-27,,,elections/PT/2009_09.csv
EL,Βουλή των Ελλήνων,2009-10-04,,,elections/EL/2009_10.csv
HU,Országgyűlés,2010-04-11,1.0,party,elections/HU/2010_04_1_party.csv
HU,Országgyűlés,2010-04-11,1.0,single_member,elections/HU/2010_04_1_single_member.csv
HU,Országgyűlés,2010-04-25,2.0,single_member,elections/HU/2010_04_2_single_member.csv
CZ,Poslanecká sněmovna,2010-05-29,,,elections/CZ/2010_05.csv
NL,Tweede Kamer,2010-06-09,,,elections/NL/2010_06.csv
BE,Chambre des Représentants,2010-06-13,,,elections/BE/2010_06.csv
SE,Riksdagen,2010-09-19,,,elections/SE/2010_09.csv
IE,Dáil Éireann,2011-02-25,,,elections/IE/2011_02.csv
EE,Riigikogu,2011-03-06,,,elections/EE/2011_03.csv
FI,Eduskunta,2011-04-17,,,elections/FI/2011_04.csv
CY,Βουλή των Αντιπροσώπων,2011-05-22,,,elections/CY/2011_05.csv
PT,Assembleia da República,2011-06-05,,,elections/PT/2011_06.csv
DK,Folketing,2011-09-15,,,elections/DK/2011_09.csv
PL,Sejm,2011-10-09,,,elections/PL/2011_10.csv
CH,Nationalrat,2011-10-23,,,elections/CH/2011_10.csv
ES,Congreso de los Diputados,2011-11-20,,,elections/ES/2011_11.csv
HR,Hrvatski sabor,2011-12-04,,,elections/HR/2011_12.csv
SI,Državni zbor,2011-12-04,,,elections/SI/2011_12.csv
EL,Βουλή των Ελλήνων,2012-05-06,,,elections/EL/2012_05.csv
FR,Assemblée nationale,2012-06-10,1.0,,elections/FR/2012_06_1.csv
EL,Βουλή των Ελλήνων,2012-06-17,,,elections/EL/2012_06.csv
FR,Assemblée nationale,2012-06-17,2.0,,elections/FR/2012_06_2.csv
NL,Tweede Kamer,2012-09-12,,,elections/NL/2012_09.csv
LT,Seimas,2012-10-14,,,elections/LT/2012_10.csv
RO,Camera Deputaților,2012-12-09,,,elections/RO/2012_12.csv
LI,Landtag,2013-02-03,,,elections/LI/2013_02.csv
IT,Camera dei Deputati,2013-02-25,,,elections/IT/2013_02.csv
MT,Parlament ta' Malta,2013-03-09,,,elections/MT/2013_03.csv
HR,European Parliament,2013-04-14,,,elections/HR/EU_2013_04.csv
IS,Alþingi,2013-04-27,,,elections/IS/2013_04.csv
BG,Народно събрание,2013-05-12,,,elections/BG/2013_05.csv
NO,Storting,2013-09-09,,,elections/NO/2013_09.csv
DE,Bundestag,2013-09-22,,Erststimme,elections/DE/2013_09_Erststimme.csv
DE,Bundestag,2013-09-22,,Zweitstimme,elections/DE/2013_09_Zweitstimme.csv
AT,Nationalrat,2013-09-29,,,elections/AT/2013_09.csv
LU,Chambre des Députés,2013-10-20,,,elections/LU/2013_10.csv
CZ,Poslanecká sněmovna,2013-10-26,,,elections/CZ/2013_10.csv
HU,Országgyűlés,2014-04-06,1.0,party,elections/HU/2014_04_1_party.csv
HU,Országgyűlés,2014-04-06,1.0,single_member,elections/HU/2014_04_1_single_member.csv
AT,European Parliament,2014-05-25,,,elections/AT/EU_2014_05.csv
BE,Chambre des Représentants,2014-05-25,,,elections/BE/2014_05.csv
BE,European Parliament,2014-05-25,,,elections/BE/EU_2014_05.csv
BG,European Parliament,2014-05-25,,,elections/BG/EU_2014_05.csv
CY,European Parliament,2014-05-25,,,elections/CY/EU_2014_05.csv
CZ,European Parliament,2014-05-25,,,elections/CZ/EU_2014_05.csv
DE,European Parliament,2014-05-25,,,elections/DE/EU_2014_05.csv
DK,European Parliament,2014-05-25,,,elections/DK/EU_2014_05.csv
EE,European Parliament,2014-05-25,,,elections/EE/EU_2014_05.csv
EL,European Parliament,2014-05-25,,,elections/EL/EU_2014_05.csv
ES,European Parliament,2014-05-25,,,elections/ES/EU_2014_05.csv
FI,European Parliament,2014-05-25,,,elections/FI/EU_2014_05.csv
FR,European Parliament,2014-05-25,,,elections/FR/EU_2014_05.csv
HR,European Parliament,2014-05-25,,,elections/HR/EU_2014_05.csv
HU,European Parliament,2014-05-25,,,elections/HU/EU_2014_05.csv
IE,European Parliament,2014-05-25,,,elections/IE/EU_2014_05.csv
IT,European Parliament,2014-05-25,,,elections/IT/EU_2014_05.csv
LT,European Parliament,2014-05-25,,,elections/LT/EU_2014_05.csv
LU,European Parliament,2014-05-25,,,elections/LU/EU_2014_05.csv
LV,European Parliament,2014-05-25,,,elections/LV/EU_2014_05.csv
MT,European Parliament,2014-05-25,,,elections/MT/EU_2014_05.csv
NL,European Parliament,2014-05-25,,,elections/NL/EU_2014_05.csv
PL,European Parliament,2014-05-25,,,elections/PL/EU_2014_05.csv
PT,European Parliament,2014-05-25,,,elections/PT/EU_2014_05.csv
SE,European Parliament,2014-05-25,,,elections/SE/EU_2014_05.csv
SI,European Parliament,2014-05-25,,,elections/SI/EU_2014_05.csv
SK,European Parliament,2014-05-25,,,elections/SK/EU_2014_05.csv
SI,Državni zbor,2014-07-13,,,elections/SI/2014_07.csv
SE,Riksdagen,2014-09-14,,,elections/SE/2014_09.csv
LV,Saeima,2014-10-04,,,elections/LV/2014_10.csv
BG,Народно събрание,2014-10-05,,,elections/BG/2014_10.csv
EL,Βουλή των Ελλήνων,2015-01-25,,,elections/EL/2015_01.csv
EE,Riigikogu,2015-03-01,,,elections/EE/2015_03.csv
FI,Eduskunta,2015-04-19,,,elections/FI/2015_04.csv
DK,Folketing,2015-06-18,,,elections/DK/2015_06.csv
EL,Βουλή των Ελλήνων,2015-09-20,,,elections/EL/2015_09.csv
PT,Assembleia da República,2015-10-04,,,elections/PT/2015_10.csv
CH,Nationalrat,2015-10-18,,,elections/CH/2015_10.csv
PL,Sejm,2015-10-25,,,elections/PL/2015_10.csv
HR,Hrvatski sabor,2015-11-08,,,elections/HR/2015_11.csv
ES,Congreso de los Diputados,2015-12-20,,,elections/ES/2015_12.csv
IE,Dáil Éireann,2016-02-26,,,elections/IE/2016_02.csv
SK,Národná rada,2016-03-05,,,elections/SK/2016_03.csv
CY,Βουλή των Αντιπροσώπων,2016-05-22,,,elections/CY/2016_05.csv
ES,Congreso de los Diputados,2016-06-26,,,elections/ES/2016_06.csv
HR,Hrvatski sabor,2016-09-11,,,elections/HR/2016_09.csv
LT,Seimas,2016-10-09,,,elections/LT/2016_10.csv
IS,Alþingi,2016-10-29,,,elections/IS/2016_10.csv
RO,Camera Deputaților,2016-12-11,,,elections/RO/2016_12.csv
LI,Landtag,2017-02-05,,,elections/LI/2017_02.csv
NL,Tweede Kamer,2017-03-15,,,elections/NL/2017_03.csv
BG,Народно събрание,2017-03-26,,,elections/BG/2017_03.csv
MT,Parlament ta' Malta,2017-06-03,,,elections/MT/2017_06.csv
FR,Assemblée nationale,2017-06-11,1.0,,elections/FR/2017_06_1.csv
FR,Assemblée nationale,2017-06-18,2.0,,elections/FR/2017_06_2.csv
NO,Storting,2017-09-11,,,elections/NO/2017_09.csv
DE,Bundestag,2017-09-24,,Erststimme,elections/DE/2017_09_Erststimme.csv
DE,Bundestag,2017-09-24,,Zweitstimme,elections/DE/2017_09_Zweitstimme.csv
AT,Nationalrat,2017-10-15,,,elections/AT/2017_10.csv
CZ,Poslanecká sněmovna,2017-10-21,,,elections/CZ/2017_10.csv
IS,Alþingi,2017-10-28,,,elections/IS/2017_10.csv
