gisco_id,name,registered,turnout,invalid,blank,Changement citoyen,Décidons nous-mêmes,REC,LFI,RN,LÉ,Free Palestine,PA,Communistes,ENS,PACE,Équinoxe,Écologie positive,UPR,Paix et Décroissance,LR,LO,ND-AE,RS,NPA-R,PT,LP-VIA,Rester libre,Les Nationalistes,PS-PP,ANC,Résistons,France Libre,ETÉ,La Ruche citoyenne,PCF,Défendre les enfants,ÉAC,Démocratie représentative,EDE,LDF
FR_03110,Espinasse-Vozelle,733,440,7,10,0,0,20,15,176,17,0,0,0,49,0,0,1,2,0,26,3,2,0,0,0,4,0,0,56,0,18,0,2,0,10,0,11,0,0,0
FR_05050,Espinasses,574,340,12,12,0,0,16,11,165,6,0,0,0,36,0,0,2,2,0,12,2,0,0,3,0,4,0,0,29,0,5,0,1,0,8,0,5,0,1,0
FR_63153,Espinchal,123,70,0,0,0,0,7,2,30,0,0,0,0,7,0,0,0,1,0,6,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0,0,0
FR_14248,Espins,178,117,3,2,0,0,3,6,37,4,0,0,0,16,0,0,0,2,0,10,0,0,0,0,0,1,0,0,25,0,3,0,1,0,1,0,3,0,0,0
FR_66070,Espira-de-Conflent,167,98,0,1,0,0,9,3,34,7,0,0,0,12,0,0,2,2,0,3,0,0,0,0,0,1,0,0,13,0,4,0,0,0,1,0,0,0,0,0
FR_66069,Espira-de-lAgly,2683,1489,39,33,0,0,69,95,737,46,0,0,0,121,0,5,13,13,0,65,6,0,1,3,0,15,0,0,116,0,33,2,3,0,29,0,14,0,0,0
FR_63154,Espirat,324,191,2,4,0,0,8,8,66,10,0,0,0,14,0,1,0,0,0,14,3,0,0,0,0,4,0,0,27,0,6,0,0,0,15,0,3,0,0,0
FR_64215,Espiute,50,30,1,1,0,0,2,1,11,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,0,1,0,0,0,0,0,0,0
FR_43090,Esplantas,126,83,1,3,0,0,3,1,29,0,0,0,0,7,0,0,0,0,0,20,0,0,0,0,0,1,0,0,7,0,8,0,0,0,1,0,0,0,0,0
FR_09117,Esplas,84,53,2,0,0,0,5,3,16,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,2,0,0,0,0,0
FR_09118,Esplas-de-Sérou,169,83,3,1,0,0,3,19,10,9,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,1,0,1,16,0,8,2,0,0,2,0,1,0,0,0
FR_64216,Espoey,939,559,10,8,0,0,36,23,175,20,0,0,0,110,0,4,2,3,1,34,1,2,0,0,0,5,0,0,63,0,32,0,2,0,7,0,6,0,1,0
FR_34094,Espondeilhan,898,557,8,3,0,0,33,21,273,11,0,0,0,45,0,1,1,2,0,28,4,0,1,0,0,5,0,0,75,0,14,0,2,0,13,0,6,0,0,0
FR_70219,Esprels,557,351,21,1,0,0,13,16,167,10,0,1,0,27,0,0,1,3,0,24,2,0,0,0,0,2,0,0,29,0,10,0,0,0,7,0,0,0,2,0
