gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PDL,PNȚCD,Pavel,FC
RO_004927,Ighiu,5365,1942,80,0,214,7,1143,304,23,0,73,86,12
RO_004981,Întregalde,656,225,8,0,27,5,62,77,9,3,20,10,4
RO_005103,Jidvei,4220,1011,36,0,147,24,462,227,15,7,45,34,14
RO_005167,Livezile,1290,455,22,0,68,3,251,50,5,2,35,16,3
RO_005210,Lopadea Nouă,2445,1258,33,0,33,455,607,73,9,4,24,15,5
RO_005309,Lunca Mureşului,2055,729,17,0,53,160,293,129,9,4,45,16,3
RO_005336,Lupşa,2792,781,14,0,74,1,352,193,22,4,90,25,6
RO_005577,Meteş,2515,1180,44,0,116,8,653,266,13,10,39,27,4
RO_005700,Mihalţ,2872,1270,34,0,162,6,336,583,57,3,47,33,9
RO_005755,Mirăslău,1903,740,18,0,118,183,246,75,24,2,35,34,5
RO_005826,Mogoş,854,277,14,0,116,4,75,35,6,1,16,8,2
RO_006048,Noşlac,1554,623,20,0,34,106,342,77,4,1,21,13,5
RO_006119,Ocoliş,624,324,13,0,75,0,146,42,2,3,29,9,5
RO_006164,Ohaba,707,517,30,0,51,0,293,104,7,1,11,15,5
RO_006217,Pianu,2859,1057,46,0,171,3,568,189,9,1,43,22,5
RO_006271,Poiana Vadului,964,341,19,0,39,1,209,42,0,0,18,12,1
RO_006397,Ponor,526,351,21,0,53,0,140,127,1,0,4,3,2
RO_006468,Poşaga,1063,330,17,0,70,2,107,57,10,13,35,17,2
RO_006547,Rădeşti,1141,621,15,0,115,90,310,57,6,2,17,6,3
RO_006592,Râmetea,980,564,7,0,12,433,75,20,2,0,9,6,0
RO_006627,Râmeţ,620,463,33,0,54,3,185,159,2,0,18,7,2
RO_006761,Roşia Montană,2499,1037,33,0,62,10,488,275,1,4,118,39,7
RO_006930,Roşia de Secaş,1269,500,14,0,64,1,250,138,3,1,21,6,2
RO_006976,Sălciua,1424,404,11,0,56,6,200,80,7,1,23,16,4
RO_007044,Săliştea,1869,1060,32,0,416,2,360,166,3,3,53,22,3
RO_007099,Săsciori,4539,1588,81,0,123,3,841,428,18,3,45,33,13
RO_007197,Scărişoara,1462,544,22,0,121,3,188,119,1,10,46,28,6
RO_007348,Sâncel,2220,691,37,0,153,2,331,78,14,4,40,25,7
RO_007384,Sântimbru,1998,842,34,0,66,10,541,92,14,5,48,28,4
RO_007446,Sohodol,1599,283,6,0,33,3,68,99,5,3,45,18,3
RO_007767,Stremţ,2172,760,25,0,66,4,224,351,7,3,43,27,10
RO_007810,Şibot,2099,1023,18,0,172,1,591,161,10,1,43,21,5
RO_007865,Şona,3641,1025,54,0,85,227,441,115,12,5,48,31,7
RO_007945,Şpring,2088,965,35,0,67,3,473,315,2,2,37,29,2
RO_008014,Şugag,2344,658,15,0,325,4,169,89,8,3,17,22,6
RO_008096,Oraş Teiuş,6356,1866,83,0,341,66,651,503,23,7,85,84,23
RO_008158,Unirea,4298,1028,35,0,223,163,311,156,10,20,66,36,8
RO_008229,Vadu Moţilor,1187,389,18,0,131,0,124,78,1,0,26,8,3
RO_008354,Valea Lungă,2526,1172,35,0,82,17,807,110,31,3,53,28,6
RO_008425,Vidra,1514,636,12,0,56,4,310,168,7,1,36,36,6
RO_008826,Vinţu de Jos,4335,1240,60,0,203,13,599,192,12,10,84,58,9
RO_009019,Cut,1038,360,14,0,45,1,152,103,18,1,14,8,4
RO_009026,Bucerdea Grânoasă,1863,991,45,0,262,171,332,154,6,0,7,7,7
RO_009262,Municipiul Arad,153994,27506,893,0,2871,3933,10023,4291,810,118,2658,1588,321
RO_009280,Fântânele,2905,562,28,0,37,61,230,150,4,2,29,16,5
