gisco_id,name,registered,turnout,invalid,blank,PR,PUSL,USR-PMP-FD,S.O.S. România,ARS,SENS,REPER,AUR,PDU,UDMR/RMDSZ,AD,PRM,CNR,Pîrvănescu,Gheorghe
RO_001017,Municipiul Alba Iulia,61923,28490,867,0,217,284,2535,1334,135,1085,1432,5333,823,540,155,157,12343,332,918
RO_001071,Ciugud,2820,2066,125,0,9,14,100,81,9,48,80,372,51,13,4,9,1079,14,58
RO_001151,Oraş Abrud,4344,2610,92,0,13,18,50,168,9,59,35,433,32,37,4,8,1600,11,41
RO_001213,Municipiul Aiud,20476,10111,381,0,46,147,457,382,35,199,271,1475,183,1429,16,77,4756,58,199
RO_001348,Municipiul Blaj,16565,8320,408,0,39,54,671,456,32,192,197,1041,159,344,22,42,4450,43,170
RO_001455,Oraş Câmpeni,5898,3566,167,0,18,14,149,409,13,73,56,672,75,46,2,34,1770,13,55
RO_001696,Oraş Cugir,21001,9238,380,0,57,64,956,420,44,237,174,1238,221,106,18,53,5056,39,175
RO_001794,Oraş Ocna Mureş,11327,5261,247,0,27,34,328,269,21,80,113,923,99,304,11,38,2664,20,83
RO_001874,Municipiul Sebeş,26068,12536,491,0,83,88,694,628,44,388,474,2767,285,115,40,52,5980,82,325
RO_001936,Oraş Zlatna,6458,3798,178,0,14,14,94,178,10,54,53,646,38,47,6,18,2378,14,56
RO_002130,Albac,1588,1380,117,0,7,6,35,74,0,25,12,290,10,4,3,8,772,3,14
RO_002309,Almaşu Mare,1016,823,51,0,3,11,54,45,3,9,9,182,13,9,2,4,410,2,16
RO_002381,Arieşeni,1291,1174,59,0,2,3,21,23,2,9,20,175,12,6,2,1,829,2,8
RO_002577,Avram Iancu,1145,882,74,0,2,7,19,63,2,6,7,258,6,2,0,7,421,3,5
RO_002915,Oraş Baia de Arieş,3183,1809,60,0,7,32,61,62,3,38,30,781,26,15,6,2,647,4,35
RO_002988,Berghin,1549,873,63,0,8,6,35,45,2,7,9,228,8,8,2,2,441,1,8
RO_003039,Bistra,3750,2353,135,0,16,12,30,199,5,35,17,413,35,17,15,15,1351,31,27
RO_003397,Blandiana,750,608,27,0,3,3,14,16,0,5,10,79,5,3,3,4,428,3,5
RO_003459,Bucium,1184,845,38,0,4,9,18,25,3,9,7,135,10,7,1,8,555,3,13
RO_003761,Cenade,802,470,44,0,5,5,7,46,0,12,2,31,4,3,1,2,303,0,5
RO_003805,Cergău,1242,935,73,0,5,29,125,50,0,13,7,84,6,5,1,5,508,2,22
RO_003841,Ceru-Băcăinţi,246,229,21,0,0,0,8,9,0,2,2,19,5,1,0,0,158,1,3
RO_003958,Cetatea de Baltă,2393,1171,98,0,10,5,21,61,2,9,6,151,10,178,2,4,603,4,7
RO_004008,Ciuruleasa,911,719,74,0,5,2,6,36,2,9,15,154,8,3,3,4,388,4,6
RO_004106,Câlnic,1528,1042,84,0,8,13,17,36,2,13,6,82,11,4,6,4,743,3,10
RO_004142,Cricău,1630,1249,33,0,14,10,26,55,4,16,11,152,19,8,1,4,870,4,22
RO_004188,Crăciunelu de Jos,1739,1195,106,0,4,9,222,57,1,21,15,152,6,17,0,2,562,8,13
RO_004240,Daia Română,2552,1563,86,0,14,2,54,62,2,13,12,212,11,17,2,2,1044,4,26
RO_004268,Doştat,801,609,40,0,5,2,26,23,1,6,9,45,8,2,0,2,432,2,6
RO_004302,Fărău,1223,892,72,0,7,2,10,32,1,1,8,51,8,104,1,0,586,2,7
RO_004366,Galda de Jos,3638,2519,130,0,17,18,361,123,10,70,40,411,44,139,6,15,1084,6,45
RO_004482,Gârbova,1661,1126,93,0,7,9,18,48,1,16,3,141,19,10,1,5,732,2,21
RO_004525,Gârda de Sus,1219,918,79,0,8,2,22,22,2,11,14,206,8,5,3,5,516,5,10
