gisco_id,name,registered,turnout,invalid,blank,UUR,FCER,Andreicuț,Puiu-Barraud,USR (2016),FD,UDMR/RMDSZ,PSD,AUR,SENS,REPER,RîA,S.O.S. România,PER,PNCR,ANC,PSDI,ARS,POT,DREPT,USR (1989),UPR,UBBR,UCRR,CRLR,ALAR (1999),UDSCR,UAR,UDTR,AMR,RO.AS.IT.,UER,FCR,APR-PE,UCR,FDGR/DFDR,UDTTMR,PNL,PNR [Partidul Nouă Românie],PPR,PRR,ADN,PLAN,PD,Hagimă,Banu-Muscel,PUGD,PP,Stoian,Secară,Curtean,Szűcs,Baciu [Gheorghe-Damian Baciu],PV,Iusein,Negoiță,Ion,Iancu,Toader,Karani,Sărmaș,Boșneagu,Tîrnoveanu,Ciobanu,POC,Dan [Aurelian-Leonard Dan],Dămureanu,Ștefan,Fanaca,Rusu,PNȚCD,Dumitrică,Olărașu,Cazacu,Moldovanu,Stegaru,Burlea,PPU,Voinea,Vlașin,Cirț,Măneanu,Tița,Renghea,Dan [Roberto Dan],David,Dumitru [Bogdan Dumitru],Dinulescu,Andrei-Ionuț Neșculescu,Bodnar,Drăgan,Balaș,Abrudan,Mocanu Gollent,Spiru,Spiridon [Silvian-Andrei Spiridon],Lisaru,Stancu,Pîrvulescu,Aga
RO_061826,Ghindăreşti,2185,703,28,4,0,1,0,0,128,2,1,47,94,11,2,0,78,2,2,0,0,1,20,5,0,1,5,0,234,1,0,1,0,0,1,1,0,2,0,0,1,26,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061871,Independenta,2338,848,31,6,2,1,0,0,39,23,6,96,193,8,4,7,87,2,2,4,3,1,54,12,1,1,0,0,0,1,0,0,32,1,2,3,0,1,0,0,31,177,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_061951,Ion Corvin,1574,582,18,2,0,0,0,0,35,60,1,87,157,7,3,3,92,3,2,0,1,1,23,6,1,0,0,0,0,1,0,0,21,0,2,1,1,0,0,1,1,41,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062020,Istria,1975,901,27,11,0,0,0,0,35,9,1,238,231,6,2,3,175,4,8,3,1,3,49,11,1,1,1,0,0,0,0,5,2,1,1,2,0,2,0,0,1,54,1,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062057,Lipnita,2427,901,26,8,0,0,0,0,48,16,2,164,233,8,0,2,111,1,3,4,4,5,52,4,1,0,0,0,1,1,1,1,10,4,0,0,0,1,1,1,3,174,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062137,Mereni,1945,826,28,2,1,0,0,0,41,13,2,122,244,18,2,2,145,2,8,3,1,3,51,5,0,0,1,1,0,0,0,2,8,6,0,0,0,0,0,0,14,82,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062191,Mihail Kogalniceanu,8434,4165,65,21,2,2,0,0,258,68,6,474,952,113,22,6,462,18,7,15,12,10,290,64,0,1,1,1,4,4,2,3,15,7,0,6,2,3,1,3,39,1142,11,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062253,Mihai Viteazu,2868,856,24,10,1,1,0,0,30,6,2,93,281,16,6,1,184,2,4,1,2,2,59,12,3,0,0,2,0,2,0,1,0,4,0,1,2,3,0,0,0,84,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062280,Mircea Vodă,4272,1561,44,19,3,10,0,0,69,28,4,361,401,17,5,3,301,9,14,4,8,6,85,25,2,0,0,1,1,4,2,0,0,6,1,2,0,10,0,2,1,83,2,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RO_062360,Oraş Murfatlar,8750,4197,77,15,2,1,0,0,292,83,10,672,951,110,12,4,506,15,12,15,18,12,336,61,1,2,0,0,0,1,3,5,30,7,0,8,2,5,2,0,116,746,9,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
