gisco_id,name,registered,turnout,invalid,blank,PSD,USR+,PRO,UDMR/RMDSZ,PNL,ALDE,Prodemo,PMP,PSR,PSDI,PRU,UNPR,BUN,Tudoran,AUR,Costea [Peter Costea]
RO_125677,Baldovineşti,875,721,23,0,408,50,16,3,162,9,1,35,3,1,2,4,1,1,1,1
RO_155546,Balint,1270,760,39,0,185,107,33,109,165,31,1,36,2,2,11,25,3,4,0,7
RO_100969,Baloteşti,7050,5072,108,0,1052,1590,287,25,1047,171,27,468,21,21,18,36,21,73,72,35
RO_110456,Balta,865,777,12,0,282,27,111,3,155,72,1,99,7,2,0,1,1,2,2,0
RO_044934,Balta Alba,1997,1257,75,0,470,55,50,11,484,31,7,36,5,5,3,0,4,8,5,8
RO_132226,Balta Doamnei,1935,990,60,0,302,157,41,18,201,92,8,52,7,6,3,4,3,10,6,20
RO_100273,Balş,2768,1087,82,0,315,105,19,10,468,32,8,10,4,2,1,7,1,13,8,2
RO_087843,Balsa,699,459,18,0,127,56,26,7,156,28,10,12,1,3,4,1,1,4,2,3
RO_162194,Banca,4417,1917,102,0,424,416,43,18,687,83,12,55,17,11,6,4,6,11,12,10
RO_115389,Band,4793,1815,146,0,298,111,160,587,352,30,30,27,12,4,16,4,3,6,14,15
RO_155591,Banloc,2527,966,33,0,197,119,70,20,413,29,7,37,4,1,9,7,0,7,6,7
RO_155662,Bara,262,322,3,0,130,18,22,3,51,18,1,25,3,4,0,36,0,1,6,1
RO_063633,Barcani,3085,1242,67,0,281,207,63,14,420,36,2,73,8,4,7,11,4,8,14,23
RO_075515,Barcea,5057,2055,74,0,467,142,51,12,1090,69,11,76,7,8,3,12,1,10,18,4
RO_087996,Baru,2289,1449,44,0,267,106,65,50,705,62,7,64,4,5,6,9,3,7,15,30
RO_013187,Bascov,8905,5214,127,0,1258,1246,524,36,1076,219,39,406,37,12,39,37,7,48,75,28
RO_009887,Bata,849,487,18,0,82,47,20,5,250,15,3,29,3,1,2,1,0,1,0,10
RO_115520,Batoş,3420,1495,53,0,249,197,69,144,597,19,9,95,15,8,8,7,2,10,6,7
RO_027383,Batar,4139,1626,99,0,476,99,40,218,425,53,7,35,7,8,7,4,2,8,18,120
RO_144152,Bazna,3069,1402,75,0,131,139,96,21,825,19,8,23,7,9,4,1,1,1,10,32
RO_155724,Beba Veche,1274,709,41,0,255,74,40,45,214,8,3,14,2,2,2,3,1,1,4,0
RO_045003,Beceni,3608,1809,81,0,667,207,128,9,502,63,11,45,8,11,14,9,5,21,23,5
RO_155760,Becicherecu Mic,2694,1446,29,0,236,446,104,10,370,44,7,79,9,6,8,11,3,8,16,60
RO_155083,Beciu,1251,680,27,0,333,35,19,6,202,22,4,12,5,1,1,2,4,2,3,2
RO_040544,Beclean,1425,878,38,0,128,139,39,5,396,70,7,27,0,0,2,7,2,2,5,11
RO_115708,Beica de Jos,1686,907,53,0,289,83,58,81,270,16,12,12,6,4,4,3,3,3,2,8
RO_159847,Beidaud,1275,679,34,0,268,41,43,6,141,105,1,24,1,5,2,0,0,3,4,1
ROZZBY,BELARUS,0,20,0,0,1,11,0,1,1,1,0,1,0,0,0,0,0,2,1,1
RO_095872,Belcesti,8424,2667,179,0,746,366,158,32,866,66,21,91,20,9,17,14,6,40,31,5
RO_101083,Belciugatele,1663,1231,53,0,226,141,49,5,610,27,10,60,7,6,5,6,3,6,14,3
RO_014352,Beleti-Negresti,1510,863,20,0,192,67,118,6,201,148,9,53,6,6,4,8,2,12,8,3
ROZZBE,BELGIA,0,13935,154,0,187,7006,318,139,3751,189,100,787,57,20,85,98,40,168,345,399
RO_063866,Belin,2145,653,30,0,22,21,16,488,40,10,3,3,1,0,1,3,3,1,0,11
RO_155797,Belinţ,2139,1381,31,0,271,259,119,13,464,58,7,62,7,1,2,26,3,8,8,42
RO_009930,Beliu,2491,1361,49,0,421,155,39,12,429,136,14,46,5,5,9,1,0,0,4,36
RO_056014,Belis,1116,974,27,0,150,213,47,8,361,43,7,59,1,1,7,4,0,5,8,33
RO_136964,Beltiug,2681,1384,84,0,111,55,28,359,695,16,0,9,2,3,4,3,2,2,6,5
RO_140244,Benesat,1207,675,17,0,115,80,44,126,235,15,4,24,4,2,2,1,0,2,1,3
RO_078873,Bengesti-Ciocadia,2645,1201,42,0,514,91,166,11,223,25,13,75,5,4,2,13,1,8,6,2
RO_045101,Berca,7336,3724,119,0,975,622,446,24,874,109,40,260,18,5,22,15,10,52,106,27
RO_101145,Berceni,6256,5010,102,0,1016,1456,292,27,1218,242,17,309,20,15,27,27,9,73,115,43
RO_130614,Berceni,5062,2744,101,0,473,376,111,19,1328,112,20,81,5,10,12,13,6,18,28,31
RO_151576,Berchisesti,2396,1188,47,0,580,85,48,13,311,18,4,26,2,5,5,3,0,20,8,13
RO_120511,Bereni,1006,547,6,0,6,0,3,517,3,6,0,3,0,0,0,2,0,1,0,0
RO_014405,Berevoesti,2687,1165,61,0,454,103,75,9,241,18,8,160,4,1,8,8,2,3,7,3
RO_162498,Berezeni,3984,1366,85,0,502,105,62,10,380,104,8,34,12,10,8,3,3,13,9,18
RO_021249,Beresti-Bistrita,1679,786,56,0,257,74,43,12,219,59,4,29,6,2,4,3,3,9,3,3
RO_075356,Beresti-Meria,2886,1379,71,0,585,71,74,8,392,68,9,55,6,4,5,7,2,9,6,7
RO_021338,Beresti-Tazlau,4403,1950,90,0,862,200,101,17,460,67,8,59,17,5,14,9,5,12,15,9
RO_002988,Berghin,1639,865,57,0,105,73,23,4,519,9,6,43,1,2,2,2,3,8,2,6
RO_168675,Berislăveşti,2207,1200,46,0,373,125,55,9,467,23,8,42,11,3,4,2,4,4,4,5
RO_088261,Beriu,2835,1526,38,0,236,199,79,14,789,42,13,58,8,5,4,5,2,4,15,15
RO_078926,Berlesti,1701,714,21,0,266,17,22,3,267,12,3,93,2,1,2,1,1,0,2,1
RO_051387,Berliste,941,493,19,0,145,27,47,6,193,14,7,22,2,1,0,0,0,3,1,6
RO_132342,Bertea,2548,1113,37,0,233,139,48,15,401,72,4,89,8,3,7,9,4,11,9,24
RO_042842,Bertestii De Jos,2458,835,38,0,227,48,97,8,332,17,10,27,4,2,2,10,2,1,8,2
RO_137032,Berveni,2933,1108,37,0,95,61,32,643,160,45,0,16,1,1,3,1,1,0,1,11
RO_051449,Berzasca,2234,957,31,0,544,48,40,9,136,26,2,81,3,1,2,10,2,7,4,11
RO_051500,Berzovia,3162,1261,54,0,275,126,138,8,504,26,20,48,6,4,5,5,0,6,9,27
RO_021418,Berzunti,4173,1443,119,0,302,220,38,17,205,454,4,31,9,12,3,10,5,9,3,2
RO_155840,Bethausen,2196,1118,36,0,349,123,72,20,281,37,13,46,9,1,6,56,1,2,8,58
RO_155092,Beuca,1060,843,0,0,487,39,19,2,222,7,1,56,1,1,1,1,1,2,2,1
RO_066330,Bezdead,3737,1811,57,0,316,222,119,9,912,26,17,87,6,2,4,5,3,7,11,8
RO_161552,Bestepe,1467,639,23,0,143,76,75,8,183,35,4,60,8,1,6,4,1,6,5,1
RO_107234,Bicaz,820,429,14,0,151,77,20,4,94,15,7,22,0,4,1,0,0,1,0,19
RO_121297,Bicaz-Chei,3683,1540,57,0,615,119,57,14,437,33,10,47,16,9,12,7,8,8,13,78
RO_121340,Bicazu Ardelean,3148,1203,43,0,200,166,84,15,469,28,8,79,7,8,7,0,6,17,36,30
