gisco_id,name,registered,turnout,invalid,blank,PSD-PC,PDL,PNL,UDMR/RMDSZ,PRM,PNȚCD,Pavel,FC
RO_046910,Glodeanu-Silistea,3453,2037,114,0,790,13,670,319,6,69,31,25
RO_047006,Grebanu,4321,1993,61,0,103,6,1450,245,1,91,32,4
RO_047079,Gura Teghii,3081,1108,54,0,172,8,274,460,2,78,52,8
RO_047159,Largu,1398,531,14,0,19,1,338,104,0,37,13,5
RO_047186,Lopatari,3364,1049,36,0,57,4,185,673,1,68,20,5
RO_047300,Luciu,2358,941,37,0,69,0,610,159,1,50,11,4
RO_047337,Magura,1812,490,24,0,63,2,102,210,1,55,28,5
RO_047373,Maracineni,6258,2404,88,0,100,6,1647,301,10,167,67,18
RO_047417,Margaritesti,690,326,22,0,34,0,228,31,2,2,4,3
RO_047453,Merei,5740,1888,61,0,261,7,587,658,13,210,68,23
RO_047578,Mihăileşti,1673,794,53,0,364,0,74,259,5,30,6,3
RO_047630,Manzalesti,2142,849,31,0,78,1,466,199,1,46,19,8
RO_047774,Movila Banului,2183,1257,52,0,34,1,800,297,0,49,11,13
RO_047818,Murgesti,883,453,20,0,12,2,30,375,3,6,2,3
RO_047854,Naeni,1497,950,39,0,507,10,208,130,5,36,11,4
RO_047916,Nehoiu,9710,5389,174,0,3047,28,841,814,20,318,120,27
RO_048021,Odaile,819,450,21,0,12,2,293,89,4,18,6,5
RO_048138,Padina,3636,939,42,0,84,1,192,540,4,51,19,6
RO_048165,Pardoşi,446,321,8,0,16,0,207,71,3,8,6,2
RO_048227,Panatau,2243,844,17,0,56,2,529,142,3,57,27,11
RO_048325,Pătârlagele,6859,2048,80,0,765,12,509,456,7,136,66,17
RO_048487,Pietroasele,2804,1050,35,0,74,2,567,287,5,53,18,9
RO_048557,Parscov,4835,1272,40,0,429,8,375,239,13,114,50,4
RO_048682,Podgoria,2645,739,50,0,95,10,357,140,3,50,26,8
RO_048744,Pogoanele,6368,1380,61,0,150,12,410,611,12,75,32,17
RO_048771,Posta Calnau,4866,2225,76,0,649,11,957,359,7,109,41,16
RO_048842,Puiesti,3589,1237,40,0,484,10,305,284,11,68,20,15
RO_048922,Racoviteni,1151,331,20,0,17,1,48,183,3,28,30,1
RO_048968,Ramnicelu,3230,1041,39,0,125,10,434,355,6,47,11,14
RO_049019,Robeasca,914,548,29,0,231,2,141,120,4,14,6,1
RO_049046,Rusetu,3405,1649,63,0,121,6,554,774,3,89,22,17
RO_049073,Sageata,4206,2599,120,0,98,14,991,1223,8,88,24,33
RO_049153,Sahateni,2730,608,32,0,39,1,326,116,2,67,19,6
RO_049206,Sapoca,2769,706,24,0,114,1,129,359,1,56,18,4
RO_049233,Sarulesti,1217,346,13,0,140,1,79,76,0,25,10,2
RO_049313,Scortoasa,2461,975,39,0,105,4,145,594,4,62,19,3
RO_049439,Scutelnici,2014,764,35,0,200,1,171,298,3,28,17,11
RO_049484,Siriu,2525,679,35,0,102,4,112,361,7,37,16,5
RO_049545,Smeeni,5475,1149,38,0,79,7,409,472,12,90,22,20
RO_049625,Stâlpu,2567,606,14,0,178,0,251,74,26,47,12,4
RO_049643,Tisau,4046,1463,82,0,506,5,445,278,32,70,37,8
RO_049769,Topliceni,3563,1194,49,0,362,14,295,347,4,74,39,10
RO_049849,Tintesti,3572,1081,48,0,59,6,128,750,17,56,15,2
RO_049894,Ulmeni,2609,665,21,0,60,6,293,195,3,45,29,13
RO_049956,Vadu Pasii,7586,2107,95,0,129,19,1195,429,18,149,61,12
RO_050022,Valea Ramnicului,4753,790,33,0,222,8,217,184,6,86,26,8
RO_050068,Valea Salciei,680,417,9,0,328,4,32,23,3,13,5,0
RO_050102,Vernesti,7124,1857,85,0,98,9,1128,317,24,134,48,14
RO_050228,Vintila Voda,2609,778,40,0,33,1,343,271,3,73,11,3
RO_050326,Viperesti,2726,726,38,0,71,4,350,180,3,62,16,2
RO_050399,Valcelele,1378,539,14,0,66,9,247,166,2,21,8,6
RO_050415,Zarnesti,4419,1246,61,0,158,13,160,679,9,80,82,4
RO_050479,Ziduri,3817,1382,46,0,90,32,768,296,22,78,40,10
RO_050549,Unguriu,1913,720,13,0,143,1,402,109,1,41,7,3
RO_050564,Florica,1284,545,16,0,249,3,114,131,1,23,5,3
RO_050790,Reşiţa,78362,10594,374,0,1369,458,2739,2786,324,1606,719,219
RO_050889,Anina,7946,1701,72,0,401,9,464,428,18,180,104,25
RO_050923,Băile Herculane,4890,2319,64,0,269,34,790,637,39,335,127,24
RO_050969,Bocşa,15310,2348,113,0,263,73,488,894,33,305,135,44
RO_050987,Ocna De Fier,601,210,4,0,47,2,60,60,9,15,12,1
RO_051010,Caransebeş,26225,4855,210,0,1477,41,1240,1021,98,525,194,49
RO_051056,Moldova Nouă,11995,2328,58,0,218,42,698,824,35,333,95,25
RO_051118,Oraviţa,11544,2265,103,0,484,54,598,530,50,254,158,34
RO_051207,Oţelu Roşu,10674,2723,110,0,292,76,1278,512,45,268,109,33
RO_051243,Armenis,2111,996,23,0,165,2,512,226,8,42,16,2
RO_051305,Bania,1519,497,17,0,199,4,142,79,3,42,9,2
RO_051332,Bautar,2203,1371,43,0,63,10,622,539,9,51,25,9
RO_051387,Berliste,973,556,24,0,134,13,148,158,14,35,25,5
RO_051449,Berzasca,2445,885,20,0,67,1,600,106,8,61,18,4
RO_051500,Berzovia,3225,503,23,0,113,26,89,131,7,62,36,16
RO_051546,Bolvasnita,1217,367,10,0,132,1,59,129,7,16,12,1
RO_051573,Bozovici,2711,1226,21,0,293,2,593,221,7,43,41,5
RO_051626,Brebu,1007,912,24,0,90,3,403,332,10,27,14,9
RO_051662,Brebu Nou,281,142,2,0,64,3,27,25,7,4,9,1
RO_051699,Buchin,1746,711,16,0,117,10,122,375,9,33,24,5
RO_051751,Bucosnita,2383,1248,12,0,95,5,694,367,7,54,11,3
RO_051804,Carasova,2645,500,38,0,56,23,159,77,8,54,64,21
RO_051840,Carbunari,970,600,11,0,79,4,208,193,5,76,23,1
RO_051877,Constantin Daicoviciu,2245,1203,26,0,225,10,358,473,30,55,21,5
RO_051948,Ciclova Romana,1370,602,15,0,291,7,142,65,8,47,22,5
RO_051984,Ciuchici,908,636,17,0,58,9,394,89,5,36,19,9
RO_052035,Ciudanovita,622,280,6,0,30,4,52,146,4,25,10,3
RO_052062,Copacele,1074,355,11,0,62,2,172,59,4,32,9,4
RO_052115,Cornea,1678,666,11,0,54,3,108,412,6,46,21,5
RO_052160,Cornereva,2540,624,17,0,52,6,238,257,6,30,11,7
RO_052570,Dalboset,1519,1023,37,0,462,3,235,234,7,27,15,3
RO_052650,Doclin,1607,342,14,0,27,3,70,162,9,24,26,7
RO_052696,Dognecea,1589,577,18,0,26,4,386,60,1,52,26,4
RO_052721,Domasnea,1182,536,15,0,71,1,210,191,10,18,16,4
RO_052758,Ezeris,1070,586,13,0,213,0,101,209,15,26,8,1
RO_052785,Farliug,1547,1032,25,0,50,10,731,121,15,57,20,3
RO_052856,Forotic,1445,580,24,0,126,3,197,149,11,36,28,6
RO_052909,Garnic,1205,547,12,0,54,3,129,312,3,19,11,4
RO_052936,Glimboca,1490,904,10,0,61,1,591,176,3,46,16,0
RO_052954,Goruia,714,324,8,0,54,2,90,105,5,41,17,2
RO_052990,Gradinari,1676,593,25,0,94,0,55,291,17,59,43,9
RO_053023,Iablanita,1962,596,10,0,95,3,244,148,8,58,24,6
RO_053069,Lapusnicel,1009,609,4,0,115,4,314,105,25,30,9,3
RO_053103,Lapusnicu Mare,1511,512,12,0,118,1,166,122,15,60,15,3
RO_053130,Luncavita,2179,935,17,0,48,1,518,306,15,15,12,3
RO_053167,Lupac,2297,359,16,0,67,6,126,61,13,30,31,9
RO_053210,Marga,1015,597,4,0,122,0,64,372,0,15,20,0
RO_053247,Maureni,2049,380,13,0,26,6,86,188,7,44,4,6
RO_053274,Mehadia,3424,1247,25,0,201,10,449,294,53,182,30,3
RO_053327,Mehadica,688,475,6,0,65,1,247,108,4,19,21,4
RO_053345,Naidas,928,472,16,0,26,0,248,117,20,24,18,3
RO_053372,Obreja,2564,979,26,0,213,6,138,439,57,67,26,7
RO_053425,Paltinis,2037,393,16,0,45,3,152,105,8,46,14,4
RO_053489,Coronini,1572,559,9,0,89,5,206,198,2,32,14,4
RO_053513,Pojejena,2637,2020,27,0,310,18,1263,202,100,63,28,9
RO_053577,Prigor,2244,862,29,0,314,3,75,317,25,71,18,10
RO_053639,Ramna,1300,619,20,0,48,4,95,312,8,94,33,5
RO_053675,Racasdia,1652,455,22,0,89,4,157,83,17,53,23,7
RO_053700,Eftimie Murgu,1441,758,13,0,454,4,66,157,11,31,16,6
RO_053728,Rusca Montana,1712,323,22,0,74,6,83,57,7,53,16,5
RO_053755,Sacu,1245,595,12,0,42,0,346,140,7,26,16,6
RO_053791,Sasca Montana,1356,763,26,0,102,10,294,222,11,46,31,21
RO_053853,Sichevita,1979,612,28,0,127,5,140,226,7,43,29,7
RO_054056,Slatina-Timis,2583,1254,12,0,641,5,302,234,7,24,19,10
RO_054109,Socol,1744,1033,16,0,95,3,642,147,60,47,15,8
RO_054163,Sopotu Nou,1045,434,4,0,76,1,237,84,2,18,9,3
RO_054270,Teregova,3512,2121,30,0,68,1,1091,835,11,52,21,12
RO_054305,Ticvaniu Mare,1423,618,24,0,203,6,78,199,24,48,24,12
RO_054350,Tarnova,1465,405,11,0,47,2,103,192,8,28,10,4
RO_054387,Toplet,2305,690,20,0,41,7,99,394,5,76,41,7
RO_054412,Turnu Ruieni,2759,709,17,0,135,7,136,289,24,67,25,9
RO_054485,Valiug,686,312,2,0,91,12,97,69,8,17,11,5
RO_054500,Varadia,1155,701,44,0,56,4,388,128,7,40,28,6
RO_054537,Vermes,1403,630,11,0,73,11,313,171,2,23,18,8
RO_054573,Vrani,874,368,14,0,30,0,156,93,29,25,17,4
RO_054617,Zavoi,3285,2245,26,0,278,2,300,1399,16,193,30,1
RO_054699,Zorlentu Mare,754,548,11,0,9,1,439,65,2,12,5,4
RO_054975,Cluj-Napoca,272164,59346,1124,0,6183,16243,17706,9085,1425,4307,2613,660
RO_055008,Dej,33570,6575,197,0,651,1111,1235,2003,100,819,375,84
RO_055062,Cuzdrioara,2393,462,14,0,42,24,129,166,13,40,28,6
RO_055106,Jichisu De Jos,1035,833,21,0,46,10,476,211,18,31,10,10
RO_055160,Mica,3073,945,24,0,162,231,158,256,13,45,41,15
RO_055259,Turda,49407,10193,439,0,885,1250,2722,2411,178,1422,700,186
RO_055277,Mihai Viteazu,4983,1047,42,0,56,397,169,179,27,107,49,21
RO_055311,Sandulesti,1609,380,15,0,16,9,107,125,5,50,41,12
RO_055357,Câmpia Turzii,23981,4585,162,0,386,522,1385,1067,93,596,303,71
RO_055384,Gherla,19408,4885,117,0,592,1078,1472,879,67,387,244,49
RO_055446,Huedin,7762,2375,56,0,148,719,841,323,18,153,81,36
RO_055473,Aghiresu,6026,1946,49,0,58,893,523,250,40,69,51,13
RO_055598,Aiton,1035,540,31,0,35,32,105,265,6,21,29,16
RO_055623,Alunis,1109,372,14,0,137,11,104,55,1,26,19,5
RO_055687,Apahida,7656,1606,50,0,260,68,548,418,27,130,82,23
RO_055776,Aschileu,1400,575,22,0,41,50,293,92,15,31,19,12
RO_055838,Baciu,7024,2189,70,0,66,959,489,408,30,66,66,35
RO_055918,Baisoara,1875,862,39,0,78,4,472,115,9,74,44,27
RO_056014,Belis,1445,883,13,0,154,13,348,258,15,53,18,11
RO_056096,Bobalna,1384,833,34,0,73,16,325,227,67,42,37,12
RO_056210,Bontida,3780,1029,34,0,80,124,461,141,8,116,51,14
RO_056265,Borsa,1287,580,17,0,304,29,103,91,4,11,17,4
RO_056327,Buza,1132,534,9,0,59,268,103,61,4,15,13,2
RO_056354,Caianu,2138,651,14,0,30,326,132,82,7,26,24,10
RO_056425,Calarasi,2078,540,30,0,21,198,134,80,7,32,31,7
RO_056461,Calatele,2085,833,17,0,77,89,272,267,9,62,34,6
RO_056522,Camarasu,2118,506,38,0,37,22,125,227,4,22,15,16
RO_056568,Capusu Mare,2872,1477,31,0,61,569,500,185,22,51,41,17
RO_056666,Caseiu,3785,956,34,0,71,10,253,426,14,87,51,10
RO_056773,Catina,1650,560,18,0,56,92,109,162,39,43,30,11
RO_056844,Ceanu Mare,3386,872,44,0,52,26,417,192,9,85,25,22
RO_056988,Chinteni,2318,1359,33,0,47,166,179,833,16,28,37,20
RO_057083,Chiuiesti,2141,916,48,0,196,8,301,238,20,51,45,9
RO_057163,Ciucea,1421,475,16,0,66,0,189,119,6,48,26,5
RO_057225,Ciurila,1129,626,30,0,39,7,317,123,25,40,36,9
RO_057314,Catcau,1987,817,15,0,386,20,181,151,10,27,19,8
RO_057350,Cojocna,3396,1174,47,0,85,247,364,321,21,54,24,11
RO_057449,Cornesti,1370,844,10,0,106,60,174,410,1,38,31,14
RO_057546,Dabaca,1294,374,4,0,38,9,101,121,8,45,41,7
RO_057582,Feleacu,3086,718,27,0,29,296,227,69,12,18,35,5
RO_057644,Fizesu Gherlii,2197,725,23,0,77,218,182,130,16,40,29,10
RO_057706,Floresti,8526,2225,51,0,272,636,692,253,22,166,97,36
RO_057742,Frata,3496,503,28,0,113,27,117,135,7,39,25,12
RO_057831,Geaca,1402,525,18,0,108,120,79,106,15,45,20,14
RO_057902,Gilau,6308,1517,35,0,98,257,685,233,9,114,78,8
RO_057948,Garbau,2021,1029,26,0,335,442,104,59,8,24,22,9
RO_058008,Iara,3680,1170,27,0,91,30,604,207,28,105,64,14
RO_058142,Iclod,3523,877,33,0,78,16,389,204,20,77,45,15
RO_058204,Izvoru Crisului,1325,649,11,0,15,479,53,55,7,18,6,5
RO_058259,Jucu,3334,1325,36,0,63,122,651,252,21,95,63,22
RO_058311,Luna,3859,780,18,0,71,91,303,138,19,79,36,25
RO_058357,Maguri-Racatau,1880,353,15,0,33,3,182,72,14,16,16,2
RO_058393,Manastireni,1393,691,24,0,55,89,320,119,27,38,17,2
RO_058464,Margau,1411,578,17,0,45,4,279,158,11,45,15,4
RO_058534,Marisel,1310,449,8,0,65,2,278,55,2,10,23,6
RO_058552,Mintiu Gherlii,3091,1042,40,0,124,17,177,556,15,55,47,11
RO_058623,Mociu,2914,811,37,0,49,173,308,125,8,53,36,22
RO_058721,Moldovenesti,2866,899,28,0,34,548,126,78,7,33,30,15
RO_058794,Palatca,1086,599,18,0,18,85,352,80,6,15,15,10
RO_058856,Panticeu,1368,595,15,0,101,23,90,292,5,31,23,15
RO_058918,Petrestii De Jos,1454,808,27,0,108,13,349,86,15,132,56,22
RO_058990,Ploscos,609,167,11,0,21,7,64,42,2,10,10,0
RO_059041,Poieni,4613,1473,52,0,112,15,579,492,11,114,76,22
RO_059130,Recea-Cristur,1218,949,16,0,27,9,760,81,15,26,7,8
RO_059238,Risca,1486,846,23,0,28,1,648,92,7,21,22,4
RO_059283,Sacuieu,1304,416,22,0,72,1,183,83,9,22,21,3
RO_059327,Savadisla,3578,1764,39,0,74,1011,357,142,36,47,38,20
RO_059416,Sic,2197,945,18,0,10,868,16,7,0,8,8,10
RO_059434,Sancraiu,1430,1122,13,0,11,895,74,74,5,25,11,14
RO_059498,Sanmartin,1381,1151,8,0,35,71,824,105,9,72,16,11
RO_059586,Sanpaul,1937,816,64,0,210,8,201,192,6,44,75,16
RO_059657,Suatu,1574,678,20,0,38,450,78,33,6,23,19,11
RO_059693,Tritenii De Jos,3981,793,19,0,78,115,217,254,17,50,34,9
RO_059764,Tureni,1986,647,26,0,95,160,143,131,7,32,41,12
RO_059826,Taga,1750,667,26,0,204,23,160,133,7,71,31,12
RO_059880,Unguras,2457,1005,36,0,121,585,83,120,8,21,14,17
RO_059942,Vad,1740,1166,43,0,514,12,221,280,18,32,25,21
RO_060026,Valea Ierii,850,462,8,0,46,6,284,67,2,32,12,5
RO_060062,Viisoara,4850,1100,76,0,33,278,161,424,11,54,42,21
RO_060099,Vultureni,1180,642,21,0,210,94,128,106,11,32,31,9
RO_060169,Negreni,2267,815,19,0,81,2,432,179,14,40,30,18
RO_060419,Constanţa,277188,50211,1943,0,5454,459,13859,15714,1534,6505,4008,735
RO_060455,Eforie,8928,3340,131,0,514,25,1158,797,75,354,252,34
RO_060482,Mangalia,36119,9493,471,0,874,84,2586,2958,199,1403,781,137
RO_060507,Năvodari,32242,8051,363,0,1705,48,1855,2475,84,838,610,73
RO_060534,Techirghiol,6344,1850,58,0,399,10,591,418,25,164,169,16
RO_060570,Agigea,5579,1282,79,0,109,10,359,387,18,163,134,23
RO_060598,23 August,4505,952,39,0,48,8,516,150,11,101,72,7
RO_060632,Limanu,4783,1053,46,0,256,15,334,155,26,120,85,16
RO_060687,Ovidiu,12027,2300,134,0,229,30,852,528,28,309,158,32
RO_060721,Tuzla,5535,1010,47,0,79,5,303,361,21,95,92,7
RO_060776,Cernavodă,15364,3383,173,0,671,24,588,958,91,598,249,31
RO_060801,Hârşova,8845,1971,103,0,473,16,595,499,18,146,94,27
RO_060847,Medgidia,38982,5950,390,0,912,62,1129,1748,160,1068,381,100
RO_060883,Adamclisi,1860,637,21,0,21,8,101,411,8,38,22,7
RO_060945,Albesti,2827,1242,63,0,28,8,716,269,23,62,69,4
RO_061005,Aliman,2228,481,14,0,64,5,40,287,4,51,12,4
RO_061069,Băneasa,4339,951,39,0,248,13,161,280,11,141,49,9
RO_061121,Castelu,3747,1214,47,0,36,1,656,334,6,75,43,16
RO_061167,Cerchezu,1214,663,22,0,168,5,69,346,18,19,10,6
RO_061210,Chirnogeni,2763,648,31,0,128,5,65,318,11,47,35,8
RO_061256,Ciobanu,2855,513,26,0,59,3,205,158,13,23,21,5
RO_061283,Ciocarlia,2356,467,21,0,16,6,98,247,4,49,22,4
RO_061318,Cobadin,7248,960,48,0,82,16,171,371,18,111,131,12
RO_061372,Cogealac,4457,1577,44,0,240,9,785,289,29,125,50,6
RO_061452,Comana,1522,544,12,0,149,3,148,195,5,10,17,5
RO_061513,Corbu,4696,1007,49,0,380,4,174,177,64,101,51,7
RO_061559,Crucea,2702,664,43,0,64,6,62,413,10,31,30,5
RO_061620,Cumpăna,9160,2153,118,0,71,9,457,1161,31,167,116,23
RO_061675,Deleni,1896,911,47,0,25,6,136,562,6,76,42,11
RO_061737,Dobromir,2019,1065,47,0,247,20,87,612,4,22,14,12
RO_061808,Garliciu,1481,406,9,0,17,2,42,290,2,20,14,10
RO_061826,Ghindăreşti,2274,321,15,0,32,3,64,164,4,18,18,3
RO_061871,Independenta,2468,702,29,0,64,8,148,366,19,37,25,6
RO_061951,Ion Corvin,1660,740,47,0,43,15,175,376,7,38,22,17
RO_062020,Istria,2057,640,30,0,392,8,36,113,3,43,14,1
RO_062057,Lipnita,2739,1067,76,0,96,21,175,542,11,69,57,20
RO_062137,Mereni,1856,767,22,0,326,9,258,95,8,34,12,3
RO_062191,Mihail Kogalniceanu,8211,1689,56,0,292,18,456,587,17,182,69,12
RO_062253,Mihai Viteazu,2623,694,48,0,463,6,51,71,3,31,18,3
RO_062280,Mircea Vodă,3622,601,38,0,17,1,72,382,6,51,23,11
RO_062360,Basarabi,9089,2333,100,0,326,16,906,654,16,146,148,21
RO_062397,Negru Vodă,4539,827,36,0,96,14,220,308,15,77,45,16
RO_062440,Nicolae Balcescu,4183,962,34,0,54,4,351,383,9,64,52,11
RO_062486,Oltina,2305,637,44,0,173,5,106,224,6,35,35,9
RO_062538,Ostrov,4233,1035,78,0,148,19,132,445,14,143,43,13
RO_062609,Pantelimon,1371,642,29,0,36,7,71,459,5,19,12,4
RO_062672,Pecineaga,2525,456,24,0,48,2,166,114,7,54,37,4
RO_062707,Pestera,2637,413,25,0,31,3,37,263,5,30,17,2
RO_062761,Poarta Alba,3883,1339,89,0,216,10,531,200,9,147,121,16
RO_062798,Rasova,2986,568,27,0,33,2,283,140,3,40,27,13
RO_062823,Saraiu,1147,255,25,0,18,2,35,143,7,20,4,1
RO_062878,Sacele,1848,798,28,0,450,6,100,117,3,70,19,5
RO_062903,Seimeni,1732,410,22,0,158,4,67,104,12,22,20,1
RO_062949,Silistea,1150,465,19,0,41,2,61,304,3,13,11,11
RO_062985,Targusor,1403,450,28,0,70,4,57,219,7,42,17,6
RO_063045,Topalu,1529,580,15,0,83,1,37,413,0,20,8,3
RO_063072,Topraisar,4463,981,41,0,55,8,169,544,18,81,53,12
RO_063125,Valu Lui Traian,8934,2101,86,0,69,15,1130,354,20,176,229,22
RO_063152,Lumina,7160,1660,74,0,135,23,398,752,17,105,136,20
RO_063161,Dumbrăveni,468,210,4,0,10,3,42,132,1,10,7,1
RO_078821,Vulturu,7679,1698,107,0,125,18,309,824,31,188,65,31
RO_063189,Tortoman,1379,456,20,0,17,4,27,327,2,43,13,3
RO_063198,Amzacea,2145,518,31,0,65,3,100,277,2,22,13,5
RO_063278,Horia,1014,342,17,0,29,3,137,123,9,13,11,0
RO_063286,Costineşti,2317,871,51,0,121,13,295,154,12,147,63,15
RO_063294,Bărăganu,1655,421,23,0,84,8,82,163,5,35,15,6
RO_063300,Cuza Vodă,2583,395,16,0,28,3,57,218,13,35,16,9
RO_063318,Saligny,1693,367,5,0,35,0,65,206,4,30,20,2
RO_063326,Grădina,973,480,14,0,67,3,34,311,4,26,15,6
RO_063334,Fântânele,1329,388,17,0,89,1,30,217,0,21,10,3
RO_063394,Sfântu Gheorghe,53997,18501,246,0,427,15521,690,720,63,406,311,117
RO_063447,Baraolt,7924,2714,38,0,30,2466,40,62,10,19,22,27
RO_063526,Covasna,9733,4095,97,0,221,2484,415,596,25,141,84,32
RO_063553,Comandau,857,365,7,0,18,303,19,10,1,1,4,2
RO_063580,Întorsura Buzăului,7147,1000,54,0,90,13,275,364,9,124,54,17
RO_063633,Barcani,3010,412,16,0,20,8,63,224,2,52,23,4
RO_063688,Sita Buzaului,3738,408,20,0,36,15,139,112,9,52,17,8
RO_063740,Târgu Secuiesc,17557,5963,97,0,41,5525,102,97,8,29,41,23
RO_063777,Aita Mare,1365,532,9,0,8,473,10,16,4,5,4,3
RO_063802,Batani,3515,1289,46,0,13,1136,21,25,3,12,15,18
RO_063866,Belin,1983,483,15,0,10,384,23,23,3,6,11,8
RO_063893,Bodoc,1965,1171,39,0,7,1019,33,43,0,8,15,7
RO_063937,Borosneu Mare,2398,825,46,0,9,657,33,61,3,7,3,6
RO_064005,Brates,1256,648,14,0,10,583,9,20,1,4,1,6
RO_064041,Bradut,3599,2125,28,0,38,1901,53,50,1,15,21,18
RO_064096,Bretcu,3054,1177,60,0,41,875,56,77,2,42,15,9
RO_064130,Catalina,2823,1350,46,0,11,1183,33,35,5,11,15,11
RO_064194,Cernat,3310,1688,32,0,12,1565,17,28,5,8,5,16
RO_064238,Chichis,1309,361,14,0,10,258,24,11,4,22,17,1
RO_064265,Dobarlau,1753,471,24,0,31,11,107,211,7,46,25,9
RO_064318,Ghelinta,3923,1636,44,0,8,1506,11,36,2,6,10,13
RO_064345,Ghidfalau,2079,801,41,0,7,662,21,45,1,4,13,7
RO_064390,Haghig,1653,313,14,0,20,114,33,67,4,31,23,7
RO_064425,Ilieni,1562,667,17,0,4,580,13,21,5,13,7,7
RO_064461,Lemnia,1614,835,34,0,4,750,12,18,0,6,5,6
RO_064504,Malnaş,924,507,9,0,8,451,12,9,3,5,7,3
RO_064568,Moacşa,981,542,18,0,3,476,11,25,0,4,2,3
RO_064602,Ojdula,2888,1024,27,0,11,917,20,18,1,5,12,13
RO_064639,Ozun,3785,1347,48,0,34,1143,33,47,3,12,15,12
RO_064719,Poian,1468,756,28,0,2,707,3,7,1,3,3,2
RO_064773,Reci,1839,985,29,0,13,854,23,43,4,8,2,9
RO_064826,Sanzieni,3809,1771,44,0,16,1616,20,35,1,11,10,18
RO_064871,Turia,3202,1233,52,0,4,1093,22,24,3,11,12,12
RO_064906,Valea Crisului,1783,759,68,0,11,492,120,50,1,7,4,6
RO_064942,Valcele,2627,853,51,0,23,179,78,424,10,37,36,15
RO_064997,Varghis,1566,607,16,0,4,560,4,10,5,2,4,2
RO_065011,Zagon,4328,1348,69,0,63,876,177,104,3,36,17,3
RO_065048,Zabala,3918,1368,64,0,33,1091,41,91,3,23,16,6
RO_065099,Valea Mare,933,147,6,0,5,2,28,71,0,30,4,1
RO_065105,Mereni,1115,638,15,0,3,583,8,14,1,6,4,4
RO_065113,Arcuş,1147,512,9,0,9,471,5,8,0,2,5,3
RO_065121,Bixad,1490,471,14,0,4,425,5,11,2,2,2,6
RO_065139,Micfalău,1542,601,24,0,7,550,5,9,1,2,2,1
RO_065147,Dalnic,804,445,23,0,3,380,6,18,2,3,3,7
RO_065154,Estelnic,903,681,20,0,3,601,19,19,1,4,5,9
RO_065342,Târgovişte,80559,19481,1245,0,1708,126,6619,5200,221,2702,1476,184
RO_065379,Aninoasa,4988,2194,90,0,93,10,446,1251,22,134,130,18
RO_065413,Doicesti,3876,1113,52,0,79,6,291,528,7,101,38,11
RO_065431,Razvad,7178,3322,168,0,235,15,1493,984,18,262,119,28
RO_065477,Sotanga,5820,2400,111,0,66,8,366,1615,8,138,73,15
RO_065501,Ulmi,3335,1133,79,0,75,1,231,521,5,142,70,9
RO_065609,Fieni,6588,2355,97,0,163,7,634,1076,25,221,121,11
RO_065645,Motaieni,1836,1168,37,0,197,3,200,629,3,68,24,7
RO_065681,Găeşti,13302,4440,151,0,384,25,1393,1831,36,474,131,15
RO_065707,Gura Foii,1917,1749,43,0,61,4,866,669,7,65,21,13
RO_065752,Petresti,4788,1970,75,0,109,7,951,636,13,105,54,20
RO_065841,Moreni,18131,5390,255,0,345,28,1600,2209,61,576,275,41
RO_065869,Iedera,3120,1251,66,0,66,3,537,405,6,129,32,7
RO_065921,Pucioasa,13187,4252,203,0,431,12,1284,1660,39,359,231,33
RO_066009,Brăneşti,3702,1491,46,0,110,4,708,403,13,121,76,10
RO_066081,Titu,8575,3266,145,0,234,11,1604,815,22,286,127,22
RO_066152,Branistea,3563,1545,58,0,71,4,577,679,32,87,26,11
RO_066198,Baleni,6325,1819,146,0,79,1,633,781,4,115,48,12
RO_066223,Bărbuleţu,1949,920,37,0,41,1,496,223,6,40,74,2
RO_066330,Bezdead,3987,1147,54,0,84,7,439,428,5,72,47,11
RO_066401,Bilciuresti,1358,798,30,0,212,2,117,359,2,53,21,2
RO_066438,Buciumeni,3900,1567,80,0,104,4,300,954,13,68,32,12
RO_066474,Bucsani,5457,1811,86,0,246,8,587,664,7,158,48,7
RO_066526,Candesti,2473,1586,52,0,65,3,783,546,13,64,54,6
RO_066580,Cobia,2651,1265,51,0,120,3,184,772,7,96,27,5
RO_066697,Cojasca,4635,1730,149,0,87,2,143,1155,6,73,104,11
RO_066731,Comisani,4291,1110,50,0,43,2,314,522,6,90,76,7
RO_066768,Contesti,3194,1863,87,0,74,4,1032,517,5,94,39,11
RO_066857,Corbii Mari,5979,2818,168,0,102,10,1471,758,13,173,90,33
RO_066955,Cornatelu,1201,1202,27,0,49,4,686,362,2,33,36,3
RO_067014,Cornesti,5467,1692,81,0,92,9,252,1022,14,109,96,17
RO_067121,Costestii Din Vale,2678,1269,44,0,31,1,788,297,2,47,57,2
RO_067167,Crangurile,2565,1483,74,0,56,4,208,1054,10,49,19,9
RO_067256,Darmanesti,4006,1346,77,0,97,5,623,354,6,130,42,12
RO_067292,Dobra,2978,1255,75,0,59,5,568,373,7,89,67,12
RO_067327,Dragodana,5476,2366,104,0,155,4,1363,507,10,151,57,15
RO_067407,Dragomiresti,6666,2866,132,0,126,11,570,1811,13,124,54,25
RO_067470,Finta,3541,1218,60,0,46,5,283,631,11,61,107,14
RO_067522,Glodeni,3578,1512,77,0,128,7,778,370,4,72,72,4
