gisco_id,name,registered,turnout,invalid,blank,ФСБ-СБ,ДНБ,БСП-ОЛ,Гранит,KE,НДСВ,ДБ [Достойна България],ДСБ,ДЖБ,Евророма,КнР,БНС-НД,НВ,АТАКА,ФАГО,ОППБ,ДПС,БХК,ОДС,ПСД,ΡΚ,Пенев,Коев,Димов,Събчев,Илиев,Василев,Петров,Ничев,Мумджиев,Бозукова,Чаушев,Велчев,Абаджиев
BG_KRZ1539970,Krumowgrad,17886,11617,476,0,15,13,1674,0,8,414,43,128,10,21,98,83,48,91,20,51,8209,22,179,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ1640909,Kardzhali,62366,40120,1593,0,66,38,10318,0,19,3091,57,720,28,30,156,317,290,1932,39,107,20454,137,696,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ2148996,Momchilgrad,16775,10563,494,0,7,11,1295,0,2,218,32,41,4,12,58,38,31,50,10,40,8118,12,81,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KRZ3581236,Chernoochene,9050,7040,207,0,3,8,200,0,2,114,16,2,1,3,21,3,6,14,9,22,6363,9,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL0404501,Bobow dol,9224,4545,242,0,14,16,1783,13,6,1283,7,110,15,41,44,144,162,230,33,14,74,20,284,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL0504532,Boboshewo,2916,1477,80,0,4,5,616,3,8,351,4,34,4,2,42,49,65,65,2,4,35,0,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL2739116,Kocherinowo,4523,2385,120,0,4,14,1030,9,3,449,5,102,5,19,25,51,64,62,15,9,19,39,339,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL2941112,Kyustendil,60601,32274,1170,0,78,86,12790,139,117,8312,57,1651,102,160,295,1474,1061,1762,59,93,453,87,2289,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL3151216,Newestino,3174,1911,115,0,6,4,1075,6,6,300,2,81,12,6,6,71,35,28,2,10,40,2,102,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL3862671,Rila,2667,1529,113,0,5,8,733,11,3,262,4,66,2,3,12,56,45,90,12,5,4,1,91,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL4165365,Saparewa banya,6804,3066,115,0,10,7,1154,6,5,860,10,225,23,14,23,142,67,82,27,16,97,4,173,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL4868789,Dupnitsa,44470,20128,675,0,39,63,8096,21,21,5069,28,1478,35,93,217,834,749,736,120,64,224,101,1441,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_KNL5073047,Treklyano,849,636,14,0,3,2,408,3,1,69,0,15,0,1,13,34,6,10,1,1,32,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV0252218,Apriltsi,3226,1857,42,0,7,16,726,0,1,423,1,63,9,8,87,140,57,44,17,11,29,4,170,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1743476,Letnitsa,4521,2565,131,0,8,7,861,1,2,380,6,66,8,45,95,99,32,137,1,11,568,11,94,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1843952,Lowech,50939,29352,702,0,37,146,9446,38,24,6479,42,1477,70,663,509,1487,1043,2718,108,62,1381,239,2586,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV1944327,Lukowit,16152,9385,371,0,10,22,3221,12,16,2808,25,295,30,194,95,219,122,371,4,41,1048,60,410,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3372343,Tetewen,19190,11518,410,0,227,103,3458,17,14,1872,43,804,60,293,117,328,399,767,25,54,1681,29,809,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3473198,Troyan,31719,17575,366,0,83,49,5296,24,23,3625,24,1568,42,201,118,1203,683,2121,27,76,506,97,1420,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3675054,Ugarchin,6372,3833,261,0,3,17,1475,7,5,527,17,125,9,333,74,198,70,95,48,20,306,30,209,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_LOV3887014,Yablanitsa,5101,3153,137,0,9,8,1048,5,4,651,12,140,5,270,36,172,70,232,4,10,139,25,169,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
BG_MON0203928,Berkowitsa,18268,8550,270,0,28,40,3478,11,14,1792,28,286,27,99,392,552,202,528,97,44,114,46,456,2,2,0,0,0,0,42,0,0,0,0,0,0,0,0
BG_MON0405236,Bojchinowtsi,9085,4898,178,0,31,19,2585,8,7,796,8,106,22,86,36,329,45,116,44,17,218,12,221,2,3,0,0,0,0,9,0,0,0,0,0,0,0,0
BG_MON0706570,Brusartsi,5064,2895,115,0,6,13,1486,3,3,406,8,33,5,82,14,95,19,46,154,17,277,9,85,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0
BG_MON1112543,Walchedram,9790,5471,248,0,12,22,2440,12,11,727,7,140,31,102,27,127,61,144,129,24,188,5,1000,4,1,0,0,0,0,9,0,0,0,0,0,0,0,0
BG_MON1212961,Warshets,7559,3950,146,0,10,9,1762,8,5,597,4,147,7,55,73,188,98,247,150,19,56,17,334,4,1,0,0,0,0,13,0,0,0,0,0,0,0,0
BG_MON1414773,Georgi Damyanowo,2915,1892,67,0,17,11,787,2,6,280,3,38,6,14,76,28,20,50,94,8,26,0,233,1,1,0,0,0,0,124,0,0,0,0,0,0,0,0
BG_MON2444238,Lom,29107,14975,471,0,37,28,5283,29,10,3694,28,555,42,110,116,386,206,1181,165,69,1701,123,701,17,2,0,0,0,0,21,0,0,0,0,0,0,0,0
BG_MON2647593,Medkowets,4262,2497,107,0,9,6,1313,5,6,468,3,83,5,88,31,73,31,27,22,16,76,11,114,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
BG_MON2948489,Montana,52805,26313,671,0,188,67,9545,34,30,6221,30,928,83,304,342,1158,626,1865,384,94,253,168,3049,10,13,0,0,0,0,250,0,0,0,0,0,0,0,0
BG_MON3681390,Chiprowtsi,4297,2440,129,0,47,5,826,3,6,375,3,81,17,9,95,146,119,171,81,10,46,11,214,1,0,0,0,0,0,45,0,0,0,0,0,0,0,0
