gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Christen Democratisch Appèl (CDA),GROENLINKS,Democraten 66 (D66),ChristenUnie,Partij voor de Dieren,TROTS OP NEDERLAND LIJST RITA VERDONK,Partij voor Mens en Spirit (MenS),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,Nieuw Nederland,Lijst 17,Partij TTn,Heel NL,Evangelische Partij Nederland
NL_0512,Gorinchem,25421,18799,35,13,4179,3842,2877,1938,1844,1161,1212,921,242,91,46,348,22,2,15,10,2,0
NL_0513,Gouda,52501,41230,73,42,8908,7088,6524,3335,3969,3266,3131,2195,587,276,92,1638,54,12,26,12,2,0
NL_0693,Graafstroom,6993,5986,8,2,438,902,505,277,1596,145,134,931,27,16,11,988,3,3,3,3,0,0
NL_0365,Graft-De Rijp,4925,4120,7,2,791,1231,543,357,562,238,285,18,43,28,5,2,4,2,2,0,0,2
NL_0786,Grave,9517,7383,8,6,1090,1561,1181,1219,1222,423,417,47,93,75,20,2,6,2,10,2,2,0
NL_0241,Groesbeek,14979,11369,29,6,2327,1683,2156,1542,1983,727,574,75,149,57,29,8,5,4,9,4,5,0
NL_0014,Groningen,150336,115613,160,166,33124,17693,8534,13319,7330,14558,12480,4990,1877,254,345,318,238,16,125,32,0,54
NL_0015,Grootegast,9031,6869,9,6,1072,861,842,632,1981,275,195,780,72,30,16,87,5,0,5,0,0,5
NL_1729,Gulpen-Wittem,11728,9472,8,17,1393,1326,2424,1015,1966,619,360,99,142,45,43,7,5,0,5,5,5,0
NL_0158,Haaksbergen,18804,14664,17,11,2479,2995,2127,1480,3600,607,903,129,117,110,48,14,7,7,9,2,2,0
NL_0788,Haaren,10409,7717,14,7,1022,1842,1022,846,1825,416,469,52,90,63,27,2,9,2,8,0,2,0
NL_0392,Haarlem,112970,86478,181,78,22081,16363,10450,7891,6188,9812,9334,1210,1765,403,317,129,128,15,94,39,0,0
NL_0393,Haarlemmerliede en Spaarnwoude,4114,3358,3,4,561,957,557,241,443,208,267,27,47,19,11,4,6,2,2,0,0,0
NL_0394,Haarlemmermeer,103493,80329,154,67,12651,25393,13160,5500,8886,4223,5981,1759,1091,581,205,452,97,29,72,28,0,0
NL_1655,Halderberge,22672,16118,30,10,2486,3395,3637,1857,2744,644,763,108,154,185,37,16,27,2,18,2,3,0
NL_0160,Hardenberg,44470,34826,33,31,5439,5343,4138,2746,9114,1145,1059,4703,263,175,71,497,29,7,26,5,2,0
NL_0243,Harderwijk,33192,25585,52,19,3612,5669,3148,1654,5085,1310,1320,2651,289,101,70,520,35,8,16,3,9,14
NL_0523,Hardinxveld-Giessendam,13047,10722,11,2,1180,1488,1315,539,1797,224,197,1880,65,40,11,1954,5,3,4,3,6,0
NL_0017,Haren,14291,12202,13,12,2952,2856,760,733,1490,1248,1229,626,158,18,39,51,6,2,7,2,0,2
NL_0395,Harenkarspel,11914,9420,8,15,1498,2580,1282,812,1685,593,560,78,137,90,50,5,12,2,7,5,2,0
NL_0072,Harlingen,12155,9124,16,7,2297,1534,1276,1372,1065,586,396,350,113,46,28,22,9,3,3,0,0,3
NL_0244,Hattem,8986,7448,5,3,1550,1154,655,482,1375,315,405,1255,49,31,21,131,6,2,4,2,3,2
NL_0396,Heemskerk,29571,22261,50,12,4288,4820,3675,2292,2911,1684,1537,313,356,166,78,20,29,7,19,4,0,0
NL_0397,Heemstede,19771,16433,32,10,2754,5710,1267,759,1993,1213,2146,179,227,37,48,28,11,2,10,7,0,0
NL_0246,Heerde,14254,11281,17,5,1927,1872,1307,688,2595,376,450,1567,131,52,24,254,4,0,7,0,0,5
