gisco_id,name,registered,turnout,invalid,blank,VVD,Democraten 66 (D66),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),GROENLINKS,50PLUS,Partij voor de Dieren,ChristenUnie,Forum voor Democratie,OndernemersPartij,VNL (VoorNederland),Staatkundig Gereformeerde Partij (SGP),Piratenpartij,NIEUWE WEGEN,Lokaal in de Kamer,De Burger Beweging,GeenPeil,DENK,Vrijzinnige Partij,Libertarische Partij (LP),JEZUS LEEFT,Niet Stemmers,Artikel 1,StemNL,MenS en Spirit / Basisinkomen Partij / V-R,Vrije Democratische Partij (VDP)
NL_0230,Elburg,17316,14815,27,10,2357,719,738,378,2865,1523,437,334,206,2661,140,6,40,2280,25,10,3,5,5,2,2,3,23,6,6,2,3,0
NL_0114,Emmen,85022,66823,157,78,9869,5367,10227,5627,9455,12418,4304,3008,1412,1953,1518,101,237,328,144,115,80,54,27,324,12,8,0,0,0,0,0,0
NL_0388,Enkhuizen,14177,11585,38,17,2598,1356,1246,802,1158,1496,1027,412,462,245,223,20,44,164,51,13,10,5,7,162,6,0,0,7,14,0,0,2
NL_0153,Enschede,119458,92746,335,134,15236,12362,10653,5837,11163,14331,8574,2124,2551,3231,1690,96,326,376,581,77,66,36,55,2774,22,0,0,57,59,0,0,0
NL_0232,Epe,25890,21451,37,25,5077,2060,1600,1364,3280,2592,1171,755,559,1127,312,25,69,893,43,21,17,11,4,364,4,2,21,9,3,2,5,0
NL_0233,Ermelo,20911,17587,40,21,3646,1321,924,604,3574,1642,978,416,442,2217,295,11,49,1201,41,19,10,3,14,68,6,5,26,4,6,0,4,0
NL_0777,Etten-Leur,32857,26179,89,38,6841,2624,2863,1065,3541,4172,1909,913,561,242,403,33,95,51,42,37,49,7,13,539,7,4,9,12,18,2,0,0
NL_1722,Ferwerderadiel,6621,5372,10,5,780,346,571,338,1491,565,328,185,146,410,91,3,15,54,10,14,0,2,2,4,2,2,0,0,0,0,0,0
NL_0070,Franekeradeel,15726,12866,19,20,2268,1122,1363,1028,2758,1446,1045,429,342,562,222,14,45,61,38,28,20,8,8,11,9,0,0,0,0,0,0,0
NL_0779,Geertruidenberg,16929,13492,24,22,3362,1165,1825,582,1695,2554,801,523,287,127,303,15,61,42,31,16,11,2,0,24,4,6,3,6,2,0,0,0
NL_0236,Geldermalsen,20165,17398,21,13,4408,1505,969,731,2308,2860,917,555,337,435,363,15,69,1745,44,13,6,0,8,57,2,2,5,5,4,2,0,0
NL_1771,Geldrop-Mierlo,30323,24634,42,34,5312,3008,3240,1059,3377,3703,1961,875,724,299,397,23,91,31,104,29,25,16,6,236,4,9,0,13,13,3,0,0
NL_1652,Gemert-Bakel,23022,18792,30,27,4271,1710,2963,581,3691,2843,1067,614,391,68,280,31,79,23,50,13,14,6,6,13,3,3,0,11,3,3,0,0
NL_0907,Gennep,13561,10832,23,11,2276,1109,2325,511,1520,1376,693,281,284,83,168,9,38,11,19,19,0,3,2,64,2,2,0,5,0,0,0,0
NL_0689,Giessenlanden,11217,9950,8,6,2508,677,622,503,1738,1062,393,244,177,1022,172,5,38,688,12,18,7,3,4,7,3,3,27,3,3,3,0,0
NL_0784,Gilze en Rijen,19958,16417,46,17,3903,1816,1975,694,2256,2356,1161,714,365,90,311,19,58,30,45,27,29,4,8,472,4,3,3,6,4,3,0,0
NL_1924,Goeree-Overflakkee,38131,32212,69,33,6179,1687,2102,1376,4105,4954,1098,956,659,2330,603,23,155,5644,51,48,16,12,9,8,10,2,62,12,7,2,0,0
NL_0664,Goes,29383,23664,40,41,4676,2328,2436,1391,3434,2576,1866,721,733,1144,358,25,80,1514,66,56,14,6,8,121,8,5,0,0,16,5,0,0
