gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democraten 66 (D66),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),GROENLINKS,Partij voor de Dieren,ChristenUnie,50PLUS,Staatkundig Gereformeerde Partij (SGP),Partij voor Mens en Spirit (MenS),Piratenpartij,SOPN,Democratisch Politiek Keerpunt DPK,Partij van de Toekomst (PvdT),Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD
NL_0202,Arnhem,113562,80717,197,154,25574,15886,10342,8510,7060,3704,3231,2207,1483,1273,225,226,329,112,47,72,39,11,22,13,0
NL_0106,Assen,51055,38766,61,54,13737,7434,3924,2614,2466,2825,872,624,3080,434,303,67,93,82,25,32,8,10,12,9,0
NL_0743,Asten,12503,9846,18,12,1632,3262,1260,686,986,1393,135,107,29,238,9,16,25,8,10,14,3,2,0,2,0
NL_0744,Baarle-Nassau,5277,3767,6,3,580,1271,394,206,448,560,54,71,26,116,4,4,11,4,2,5,0,0,2,2,0
NL_0308,Baarn,18927,14623,24,24,2890,5154,866,1570,1127,1127,427,314,537,254,168,29,52,21,8,8,15,2,2,5,0
NL_0489,Barendrecht,34610,26750,30,49,5130,8910,1614,1699,3378,2055,399,559,954,558,1241,36,56,28,19,10,10,7,4,4,0
NL_0203,Barneveld,38677,32661,47,25,2723,9053,1169,957,2485,4589,240,240,3488,385,7079,30,46,21,26,24,12,11,4,7,0
NL_0005,Bedum,8168,6545,7,9,1887,1038,600,363,316,1034,169,99,810,82,96,3,14,3,4,5,2,3,2,0,0
NL_0888,Beek,13195,9972,28,21,2116,2417,1227,687,1763,1032,150,165,35,232,6,20,33,19,8,7,5,0,5,0,0
NL_0370,Beemster,6805,5477,8,11,1075,2413,344,410,410,439,110,105,27,73,11,7,13,2,12,5,2,2,0,0,0
NL_0889,Beesel,10696,7564,16,13,1570,1785,964,401,1528,798,103,105,22,186,4,23,19,9,8,4,2,2,0,2,0
NL_0007,Bellingwedde,7367,5571,21,12,2116,995,801,216,625,243,75,152,142,76,29,16,12,6,0,8,6,19,6,0,0
NL_0491,Bergambacht,7480,6179,9,1,1123,1977,289,313,489,521,57,95,362,91,822,6,8,3,6,3,2,2,0,0,0
NL_1724,Bergeijk,14080,10868,18,10,1705,3428,1388,632,1196,1828,124,142,48,256,10,13,22,18,12,11,2,2,3,2,0
NL_0373,Bergen (NH.),10413,7410,10,12,1225,1786,1537,341,1151,925,90,82,23,159,8,5,20,11,11,11,2,0,0,2,0
NL_0893,Bergen (L.),24288,19915,27,23,4395,7091,1344,1946,1574,1481,569,600,132,454,24,97,62,52,10,19,4,5,3,3,0
NL_0748,Bergen op Zoom,50329,35361,118,42,8629,9848,4029,2627,4968,2377,547,655,277,917,58,41,88,35,27,39,15,16,3,5,0
NL_1859,Berkelland,34990,27599,46,30,7597,7649,2907,1833,1973,3709,398,330,328,493,56,64,57,62,23,19,6,11,6,7,0
NL_1721,Bernheze,22521,16879,22,23,2903,5331,2776,1172,1433,2330,225,174,45,309,18,19,45,16,16,14,6,0,6,6,0
NL_0568,Bernisse,9895,7606,18,12,1412,2639,553,380,1077,721,95,126,250,166,94,16,25,3,4,11,0,3,0,3,0
NL_0753,Best,21532,16405,35,31,3353,5098,2008,1217,1578,1515,236,226,267,682,28,16,51,24,10,16,5,5,3,3,0
NL_0209,Beuningen,19611,15045,35,16,3722,4373,2153,1092,1554,1111,232,229,91,310,22,17,44,13,8,6,10,3,2,2,0
NL_0375,Beverwijk,29607,20771,38,34,5543,5592,2007,1434,2754,1196,459,552,185,662,38,50,95,42,32,22,15,9,4,8,0
NL_0585,Binnenmaas,22658,17899,30,18,3591,5548,1204,928,2043,1643,208,358,805,276,1119,29,36,16,18,14,7,2,2,4,0
NL_1728,Bladel,15084,11218,14,22,1936,3518,1676,675,1148,1499,144,133,38,312,3,18,25,19,8,17,2,6,4,2,0
NL_0376,Blaricum,7052,5872,9,13,986,2819,317,557,351,382,70,116,66,120,23,9,7,15,2,4,2,2,3,2,0
NL_0377,Bloemendaal,16736,14335,25,14,2329,6616,505,2023,574,1088,383,316,147,192,31,32,29,17,2,6,4,0,2,2,0
NL_0055,Boarnsterhim,14836,11947,15,19,4674,3020,980,771,620,1086,174,150,170,128,34,41,23,13,8,6,7,5,2,2,0
NL_1901,Bodegraven-Reeuwijk,24734,19964,29,30,2721,7163,850,1245,1627,2386,346,273,1256,298,1600,26,44,15,21,12,7,4,2,9,0
NL_0755,Boekel,7496,5597,10,9,829,1713,949,324,539,891,60,74,17,132,3,8,14,5,3,12,3,3,3,0,0
NL_NLZZBO,Bonaire,10336,2565,58,358,514,448,121,247,70,415,44,59,111,50,9,0,0,0,4,0,7,13,0,37,0
NL_1681,Borger-Odoorn,20466,15950,25,15,5589,3694,1571,765,1381,1317,248,268,571,231,90,48,47,48,14,16,3,3,0,6,0
NL_0147,Borne,16617,13015,21,12,3156,3255,1345,978,1031,2433,189,114,159,193,17,33,34,18,16,4,3,4,0,0,0
NL_0654,Borsele,17116,13332,28,19,2509,3114,1112,616,1240,1502,198,210,396,168,2113,24,25,17,9,13,5,8,6,0,0
NL_0499,Boskoop,11186,9075,8,14,1486,3278,478,659,791,977,167,159,442,156,357,23,22,17,12,13,2,3,6,5,0
NL_0756,Boxmeer,21869,18014,27,28,2647,4385,5674,1014,1260,2156,231,159,77,230,15,18,30,34,6,9,10,0,2,2,0
NL_0757,Boxtel,23181,17077,40,24,4137,4422,2682,1444,1535,1531,357,246,100,406,15,26,61,15,4,20,5,4,2,2,0
NL_0758,Breda,135080,97618,220,196,23102,29766,10992,10524,8790,6311,2315,1780,627,1841,136,251,411,133,60,76,39,13,26,9,0
NL_0501,Brielle,12807,9642,17,29,1894,3418,904,624,1343,615,133,199,114,234,34,13,22,15,7,15,3,2,2,5,0
NL_1876,Bronckhorst,29487,23121,32,26,5711,7029,2065,1606,1584,3304,370,331,414,308,192,58,29,28,10,13,4,2,4,2,0
NL_0213,Brummen,16681,12665,23,11,3892,3525,1172,951,1146,954,252,221,169,208,40,34,26,12,9,7,6,3,3,3,0
NL_0899,Brunssum,23352,15789,25,49,3820,2410,2669,679,3784,1070,201,324,194,371,18,40,40,41,18,18,5,6,3,4,0
NL_0312,Bunnik,11075,9346,15,11,1980,2931,516,1084,539,1052,472,166,207,173,133,21,22,6,5,9,3,0,3,0,0
NL_0313,Bunschoten,14908,11943,28,15,772,3364,300,203,934,1772,38,72,3399,102,887,12,14,4,12,11,2,0,2,2,0
NL_0214,Buren,19935,15688,21,18,3183,5559,901,1016,1948,1046,209,277,360,275,780,13,34,13,5,21,5,2,2,2,0
NL_0381,Bussum,24138,19095,34,18,3836,7555,1020,2460,1177,1142,494,504,285,317,78,43,69,23,11,10,7,5,6,5,0
NL_0502,Capelle aan den IJssel,50298,35132,93,55,8248,9279,2786,2277,4693,1778,484,875,1400,890,1940,80,116,49,28,23,15,9,8,6,0
NL_0383,Castricum,26957,22373,30,18,5232,7729,1739,2190,1417,1986,660,506,166,408,32,67,70,21,18,16,6,58,2,2,0
