gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,LPF,GL,D66,SP,LN,CU,Verenigde Senioren Partij,SGP,Vrije Indische Partij & OuderenUnie,Partij van de Toekomst,Duurzaam Nederland,Nieuwe Midden Partij,Republikeinse Volkspartij
NL_0744,Baarle-Nassau,4925,3950,0,2,340,569,1717,772,162,135,170,47,12,14,3,2,2,3,2,0
NL_0308,Baarn,18351,15117,0,21,1976,3088,3921,2427,1033,876,836,230,506,61,118,9,9,6,0,0
NL_0489,Barendrecht,25285,21496,0,11,2065,3562,5858,5128,842,988,821,339,740,49,1056,13,9,10,5,0
NL_0203,Barneveld,34124,30174,0,6,1728,3001,11310,3734,698,573,612,327,2604,57,5489,17,8,6,4,0
NL_0144,Bathmen,4080,3589,0,13,588,884,1150,360,199,187,131,50,12,10,2,2,2,0,2,0
NL_0005,Bedum,8100,7076,0,4,1132,651,2659,621,392,328,292,81,841,9,58,2,2,3,2,0
NL_0888,Beek,13101,10204,0,12,1134,1428,4035,1834,615,450,431,166,33,29,2,23,3,5,4,0
NL_0370,Beemster,6517,5587,0,15,841,1350,1416,929,285,303,274,103,26,36,3,3,0,0,3,0
NL_0889,Beesel,10104,7427,0,6,827,1032,2755,1550,431,308,290,153,16,30,6,11,3,2,7,0
NL_0007,Bellingwedde,7548,5725,0,7,1818,736,895,1055,402,218,342,117,87,26,16,0,4,2,0,0
NL_0206,Bemmel,32110,26070,0,16,3610,4159,9351,3675,1601,1566,1257,561,123,87,22,16,16,4,6,0
NL_0372,Bennebroek,4165,3609,0,4,335,981,1175,504,183,229,127,30,26,8,6,0,0,0,6,0
NL_0491,Bergambacht,6863,6024,0,3,951,1040,1469,933,158,233,190,103,277,8,653,0,2,2,2,0
NL_1724,Bergeijk,13431,11226,0,7,1066,1713,4907,1892,499,334,508,164,43,60,6,6,16,4,4,0
NL_0373,Bergen (NH.),10046,7582,0,10,957,917,3267,1350,304,250,343,118,9,33,4,9,8,2,2,0
NL_0893,Bergen (L.),24490,21233,0,14,2844,4590,4970,3865,1589,1345,1292,465,100,119,17,12,0,7,4,0
NL_0748,Bergen op Zoom,48290,35760,0,34,4503,7343,9311,7501,2163,1856,1915,615,218,120,38,47,30,57,9,0
NL_0207,Bergh,14062,10948,0,9,1510,1581,4435,1839,498,411,421,136,29,38,15,4,15,4,6,0
NL_0492,Bergschenhoek,9898,8553,0,4,646,1731,2657,2067,258,377,250,167,322,24,46,3,3,0,0,0
NL_0493,Berkel en Rodenrijs,12403,10874,0,7,852,1728,3809,2251,427,406,359,141,763,25,96,3,3,3,3,0
NL_1721,Bernheze,21367,17061,0,26,1576,2324,7480,2132,856,669,1654,237,25,29,11,12,25,5,0,0
NL_0568,Bernisse,9811,8169,0,13,973,1565,2311,1914,233,403,298,184,130,22,113,2,2,6,0,0
NL_0753,Best,20339,16466,0,25,1783,2930,5614,2816,938,855,895,233,226,60,24,14,34,16,3,0
NL_0209,Beuningen,18642,14898,0,38,2141,2619,4485,2336,1122,807,953,193,75,72,16,17,20,4,0,0
NL_0375,Beverwijk,27225,21207,0,17,3535,3014,5099,4481,1685,1002,1433,536,140,175,29,0,18,25,18,0
NL_0585,Binnenmaas,14998,12729,0,13,1624,2135,3405,2948,436,541,460,206,219,38,692,3,2,5,2,0
NL_1728,Bladel,14341,11568,0,36,1083,1606,5100,1736,573,450,579,280,25,40,6,10,40,4,0,0
NL_0376,Blaricum,7242,6450,0,7,652,1846,1585,1094,338,459,316,61,55,19,11,0,5,0,2,0
NL_0495,Bleiswijk,7360,6487,0,4,518,1237,2216,1397,198,247,180,102,266,11,102,3,4,2,0,0
NL_0377,Bloemendaal,12736,11496,0,7,1158,3691,2782,1652,691,865,410,97,76,39,22,0,4,4,4,0
NL_0055,Boarnsterhim,14318,12283,0,12,3322,2273,2765,1219,980,705,638,197,92,31,37,0,7,4,4,0
NL_0497,Bodegraven,14141,11860,0,8,1096,1823,4099,2040,495,435,372,139,637,51,655,3,3,2,2,0
NL_0755,Boekel,6860,5617,0,7,455,558,2718,936,231,201,381,68,10,39,0,0,10,2,2,0
NL_0064,Bolsward,7050,5808,0,9,897,703,2329,701,378,199,335,96,114,19,16,0,3,9,0,0
NL_0211,Borculo,8006,6727,0,7,1363,1773,1895,667,332,231,303,67,52,15,7,5,5,4,4,0
NL_1681,Borger-Odoorn,20394,16281,0,18,4384,2784,3578,2139,894,866,812,238,463,49,33,6,14,2,2,0
NL_0147,Borne,15439,12896,0,6,2017,1791,5474,1374,659,609,615,169,112,35,16,10,7,7,7,0
NL_0654,Borsele,16443,13491,0,19,1307,1563,4952,1754,593,438,489,159,347,51,1806,0,7,4,2,0
NL_0499,Boskoop,11212,9616,0,13,757,1677,3281,1734,532,432,318,158,333,26,335,7,10,2,2,0
NL_0756,Boxmeer,21738,17996,0,17,1935,2321,7189,2555,1016,776,1807,208,56,66,15,18,9,7,7,0
NL_0757,Boxtel,22336,17013,0,20,2244,2363,5517,2691,1316,1056,1369,225,73,71,11,23,20,13,11,0
NL_0758,Breda,124467,93908,0,121,12283,17411,25024,15403,7841,6321,6546,1612,516,332,95,134,92,162,15,0
NL_0311,Breukelen,10650,9227,0,11,836,1820,2876,1294,526,511,351,121,339,42,489,7,3,3,0,0
NL_0501,Brielle,12373,10232,0,11,1414,2255,2262,2396,423,533,519,238,86,54,29,6,3,2,2,0
NL_0213,Brummen,16320,13484,0,43,3000,2373,3586,1917,788,681,651,220,109,39,47,15,12,3,0,0
NL_0899,Brunssum,23417,16406,0,27,2508,1559,5273,3410,916,501,1601,280,198,58,8,39,19,4,5,0
NL_0312,Bunnik,10461,9320,0,10,1110,1698,3065,1083,850,666,489,111,101,17,113,4,0,3,0,0
NL_0313,Bunschoten,13693,12010,0,6,347,592,5120,1511,157,122,163,89,3575,10,296,4,5,13,0,0
NL_0214,Buren,19456,16256,0,13,2818,3336,3698,3160,620,723,590,279,266,33,693,7,15,5,0,0
NL_0381,Bussum,23627,19718,0,23,2618,4843,4679,2917,1388,1434,1096,213,260,145,77,0,16,5,4,0
NL_0502,Capelle aan den IJssel,49436,39136,0,45,5522,5806,8074,10103,1838,1855,1722,739,1240,116,1988,32,21,26,9,0
NL_0383,Castricum,26709,23406,0,15,3048,4696,6581,3343,1969,1547,1382,522,149,105,17,19,0,3,10,0
NL_0109,Coevorden,27251,22223,0,10,5425,3960,6330,2697,1154,964,868,297,346,65,74,16,10,3,4,0
NL_1706,Cranendonck,15322,12124,0,11,1277,1759,4947,2402,462,426,530,181,33,58,7,9,15,6,6,0
NL_0611,Cromstrijen,10018,8379,0,5,1138,1415,2239,1784,263,366,359,124,151,40,481,6,3,2,3,0
NL_1684,Cuijk,18045,14053,0,19,1859,1956,4708,2345,1064,753,986,212,28,72,8,15,11,15,2,0
NL_0216,Culemborg,18543,15037,0,19,2364,2506,3520,2815,1262,804,1103,252,196,34,126,7,19,10,0,0
NL_0148,Dalfsen,19408,16716,0,9,1713,1870,8134,1393,637,527,437,192,1460,27,293,7,10,4,3,0
NL_0065,Dantumadeel,14692,11984,0,11,1853,746,5062,1380,495,295,433,139,953,20,580,0,11,5,5,0
NL_0310,De Bilt,32257,28199,0,29,3365,6123,6809,4052,2161,2079,1622,347,678,89,823,8,11,3,0,0
NL_0552,De Lier,8102,7059,0,9,306,1066,3434,1498,135,183,133,110,143,9,17,6,4,4,2,0
NL_1663,De Marne,8444,6937,0,7,1480,865,1904,826,432,227,422,105,603,20,32,7,2,3,2,0
NL_0736,De Ronde Venen,25437,21542,0,15,1742,4536,7132,4023,814,1007,868,348,578,81,350,23,20,5,0,0
NL_1690,De Wolden,18090,15222,0,7,2865,3441,4426,1659,745,646,620,239,420,62,60,16,12,2,2,0
NL_0503,Delft,72674,58947,0,141,10129,9143,12253,10167,6112,4253,4136,762,1103,154,343,75,30,137,9,0
NL_0010,Delfzijl,22248,16505,0,14,4199,2035,4247,2555,870,640,825,329,629,82,34,21,11,11,3,0
NL_0400,Den Helder,45825,33260,0,39,4478,6681,7501,6864,1925,1703,1542,874,922,349,180,139,0,41,22,0
NL_0149,Denekamp,19257,16876,0,12,1248,1721,10697,1562,494,461,409,171,47,31,6,8,4,3,2,0
NL_0762,Deurne,24071,18604,0,23,1833,2414,7885,3204,1016,685,1060,309,40,65,16,18,25,7,4,0
NL_0150,Deventer,63833,49543,0,49,11216,7556,11300,5895,5039,3118,3318,823,844,154,77,72,23,48,11,0
NL_0218,Didam,12781,10255,0,7,1514,1269,4254,1733,504,363,416,121,20,28,8,9,4,4,4,0
NL_0384,Diemen,17677,13908,0,24,2357,2593,2267,3038,1093,893,989,328,143,147,18,0,7,6,5,0
NL_0219,Dinxperlo,6403,4782,0,3,707,490,2325,543,208,149,176,56,102,11,7,3,0,3,3,0
