gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,SP,GL,D66,LPF,CU,PvdD,LN,Partij van de Toekomst,Lijst Ratelband,SGP,De Conservatieven.nl,Nieuwe Communistische Partij,Duurzaam Nederland,Alliantie Vernieuwing en Democratie,VIP Vooruitstrevende Integratie Partij,Lijst Veldhoen
NL_1684,Cuijk,17985,14535,0,13,3910,2205,4914,1263,681,484,795,28,69,73,26,8,6,2,5,49,2,2,0
NL_0216,Culemborg,18608,15074,0,15,4196,3044,3521,1165,1017,676,947,180,74,58,33,15,115,0,6,12,0,0,0
NL_0148,Dalfsen,19562,17288,0,13,3234,2045,8497,550,424,366,485,1349,0,38,18,10,254,3,2,0,0,0,0
NL_0065,Dantumadeel,14711,12331,0,6,3316,776,5226,526,357,203,420,818,25,77,9,3,563,0,5,0,3,0,0
NL_0310,De Bilt,32213,28445,0,35,5713,7287,7201,1609,1860,1937,1212,556,170,69,16,18,738,10,4,3,5,2,0
NL_0552,De Lier,8084,7052,0,11,689,1347,3865,173,160,142,477,117,26,21,3,6,12,2,2,0,0,0,0
NL_1663,De Marne,8455,7121,0,3,2378,921,1912,480,307,168,269,573,50,16,15,5,20,0,3,0,3,0,0
NL_0736,De Ronde Venen,25442,21728,0,11,3265,5675,8084,843,715,828,1280,485,94,98,40,16,281,5,2,5,2,0,0
NL_1690,De Wolden,18108,15688,0,4,4348,3784,4726,563,537,506,698,314,53,64,29,9,45,2,5,2,0,0,0
NL_0503,Delft,72545,58837,0,161,17275,10420,11629,4233,5029,4012,3834,971,371,224,52,81,299,31,33,144,13,18,7
NL_0010,Delfzijl,22204,17209,0,9,7598,2243,3918,933,534,443,738,566,80,69,15,13,19,0,20,10,10,0,0
NL_0400,Den Helder,45725,33846,0,22,9209,8814,7794,1427,1350,1262,2472,755,272,212,51,35,146,0,11,8,6,0,0
NL_0762,Deurne,24078,19351,0,26,3785,2862,8804,1413,652,488,985,48,77,120,56,6,13,6,2,3,4,2,0
NL_0150,Deventer,64415,51930,0,38,19991,8114,10947,3545,3811,2435,1869,777,0,202,62,31,65,19,24,0,0,0,0
NL_0218,Didam,12815,10490,0,5,2932,1363,4413,513,327,244,544,30,44,47,11,11,3,3,0,3,3,0,0
NL_0384,Diemen,17646,13849,0,16,4175,3179,2368,915,930,797,1105,119,86,87,20,18,9,3,11,10,3,0,0
NL_1774,Dinkelland,19229,17123,0,6,2436,2063,11008,434,355,282,431,35,0,35,22,5,5,5,5,0,0,0,0
NL_0219,Dinxperlo,6410,5105,0,1,1385,581,2393,229,148,97,157,66,16,14,8,5,3,0,0,2,0,0,0
NL_0504,Dirksland,6158,5257,0,4,1056,696,1481,195,87,95,341,237,41,20,4,0,997,0,2,0,2,0,0
NL_0221,Doesburg,8463,6837,0,19,2332,1046,1537,867,262,282,302,88,36,23,16,6,13,0,2,5,2,0,0
NL_0222,Doetinchem,36754,29686,0,18,9733,5069,8235,1818,1596,1103,1110,411,139,108,44,23,238,6,6,28,6,0,0
NL_0766,Dongen,18672,14962,0,23,3608,2510,5109,1572,539,555,719,92,63,75,30,14,29,9,8,4,2,2,0
NL_0058,Dongeradeel,18353,15583,0,10,3358,1192,7962,742,553,264,518,743,50,76,16,11,84,0,2,2,2,0,0
NL_0315,Doorn,7890,6666,0,1,1229,1843,2016,256,358,363,256,123,33,4,2,8,174,0,0,0,0,0,0
NL_0505,Dordrecht,88071,66070,0,92,19765,11772,14432,4179,3358,2656,5270,1797,422,265,68,97,1557,51,32,212,8,23,14
NL_0498,Drechterland,7483,6454,0,4,1233,1425,2453,298,291,210,414,29,28,38,12,7,7,0,2,2,2,0,0
NL_0316,Driebergen-Rijsenburg,13955,11996,0,29,2514,2666,3350,572,954,686,464,303,57,38,9,6,325,2,4,14,2,2,0
NL_1719,Drimmelen,20390,16520,0,23,4180,3153,5670,1063,548,601,957,65,69,76,48,26,16,9,6,2,8,0,0
NL_0303,Dronten,25919,21785,0,13,4077,4768,8035,886,877,686,1131,968,83,99,16,18,101,0,12,12,3,0,0
NL_0225,Druten,12947,10597,0,3,3199,1777,3506,699,434,372,488,14,37,39,14,2,6,0,4,3,0,0,0
NL_0226,Duiven,18541,15555,0,8,4145,3271,4953,844,644,606,725,144,82,76,19,16,12,4,2,4,0,0,0
NL_1711,Echt-Susteren,24854,19279,0,17,5176,2369,8096,1143,726,458,942,49,163,79,19,20,8,2,9,3,0,0,0
NL_0385,Edam-Volendam,21228,17548,0,5,2392,3579,7757,595,520,462,1926,90,71,78,16,30,9,0,9,6,3,0,0
NL_0228,Ede,76147,65123,0,61,10988,10755,23170,2301,2796,1934,2563,3978,192,167,54,44,6054,16,11,26,13,0,0
NL_0317,Eemnes,6301,5600,0,9,1071,1477,1724,265,273,319,265,92,32,15,8,13,36,0,8,0,0,0,0
NL_1651,Eemsmond,12771,10775,0,8,3971,1166,2944,645,419,225,300,901,48,32,36,9,55,0,14,0,2,0,0
NL_0770,Eersel,13636,11553,0,11,1801,2112,5402,717,368,406,542,32,40,75,29,5,3,4,3,3,3,3,0
NL_0229,Eibergen,12555,10971,0,7,2802,1358,5045,550,401,267,360,48,49,39,16,7,9,5,6,5,5,0,0
NL_0905,Eijsden,8969,7440,0,6,1935,1036,3208,349,319,200,298,7,32,20,8,11,4,3,3,3,0,0,0
NL_0772,Eindhoven,155809,116077,0,163,31424,20320,29476,11806,7202,5641,6818,1034,629,519,564,66,96,46,45,189,20,19,0
NL_0230,Elburg,16005,13923,0,10,1904,1670,5863,345,270,200,440,1408,34,30,14,10,1719,3,3,3,3,0,0
NL_0114,Emmen,83033,65299,0,50,29063,7269,16715,3798,2266,1789,2344,1246,236,232,106,53,79,10,33,10,0,0,0
NL_0388,Enkhuizen,12883,10500,0,16,3158,2200,2385,711,565,457,562,163,63,51,9,9,140,0,2,8,2,0,0
NL_0153,Enschede,113325,86834,0,111,33106,13545,19174,5650,4936,3592,3316,2646,0,282,143,74,146,29,84,0,0,0,0
NL_0232,Epe,25788,21561,0,7,6166,4105,6883,725,711,600,936,538,132,82,27,15,612,9,7,6,0,0,0
NL_0233,Ermelo,19765,16866,0,13,2069,2646,7605,653,652,419,657,1311,69,31,12,6,713,2,2,4,3,0,0
NL_0777,Etten-Leur,29270,22422,0,28,5839,4634,6876,1474,947,883,1291,114,76,106,54,29,15,8,6,35,5,2,0
NL_1722,Ferwerderadiel,6777,5676,0,4,1263,578,2654,300,210,97,235,248,26,35,6,4,12,0,2,2,2,0,0
