gisco_id,name,registered,turnout,invalid,blank,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
PL_1002301590405,Piaski,6599,4632,140,0,93,739,441,1855,413,869,82,0,0,0,0,0
PL_1002301590406,Pogorzela,3652,2399,94,0,49,427,210,991,199,384,45,0,0,0,0,0
PL_1002301590407,Poniec,5752,3880,162,0,114,585,310,1581,297,776,55,0,0,0,0,0
PL_1002301590501,Granowo,3844,2839,115,0,54,514,213,1001,246,586,110,0,0,0,0,0
PL_1002301590502,Grodzisk Wielkopolski,14998,11053,214,0,149,1766,1151,3123,868,3508,274,0,0,0,0,0
PL_1002301590503,Kamieniec,4939,3505,153,0,68,612,248,1271,236,876,41,0,0,0,0,0
PL_1002301590504,Rakoniewice,9849,6973,219,0,120,1449,443,2222,564,1859,97,0,0,0,0,0
PL_1002301590505,Wielichowo,5116,3654,112,0,72,724,247,1426,279,748,46,0,0,0,0,0
PL_1002301570601,Jaraczewo,5966,4334,166,0,74,657,270,2063,315,730,59,0,0,0,0,0
PL_1002301570602,Jarocin,34308,25240,509,0,472,3851,2219,8729,1539,7610,311,0,0,0,0,0
