gisco_id,name,registered,turnout,invalid,blank,N-VA,open vld,GROEN!,CD&V,SP.A,VLAAMS BELANG,Lijst Dedecker,PVDA+,LSP,MR,ECOLO,PS,CDH,BELG.UNIE,Parti Populaire,PROBRUXSEL,WALLONIE D'ABORD,Front des gauches,FN,R.W.F.,PTB+PVDA+,PIRATE PARTY,EGALITE,PTB+,FN+,MSplus,W+,Vrijheid,VIVANT,MP Education,Parti Pensionné PP,RESPECT,N,V.I.T.A.L.
BE_K00178,Termonde,60242,54765,2546,0,16836,7892,2622,8395,6924,7508,1383,410,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0
BE_K00043,Destelbergen,13937,12793,528,0,4066,2644,962,1483,1389,1175,342,135,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0
BE_K00044,Diest,47506,43480,2737,0,9957,5622,2151,7195,8049,5214,1808,383,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0
BE_K00047,Dixmude,39281,36270,2665,0,6469,4977,1363,9697,4311,3056,3362,227,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
BE_K00045,Dinant,28423,25201,2091,0,0,0,0,0,0,0,0,0,0,6233,2821,6798,3888,329,713,0,377,106,717,684,0,0,0,287,0,47,110,0,0,0,0,0,0,0
BE_K00046,Dison,9759,8269,855,0,0,0,0,0,0,0,0,0,0,1141,774,3206,1122,85,277,0,166,106,0,107,0,0,0,124,0,10,14,0,53,144,85,0,0,0
BE_K00048,Dour,33432,29576,2906,0,0,0,0,0,0,0,0,0,0,3365,1720,15553,2702,0,487,0,574,196,743,408,0,0,0,390,439,35,58,0,0,0,0,0,0,0
BE_K00049,Duffel,40261,36353,1603,0,11771,4317,2270,6785,3307,4977,882,369,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00050,Durbuy,8280,7135,355,0,0,0,0,0,0,0,0,0,0,1251,829,2401,1612,98,159,0,133,62,0,147,0,0,0,84,0,4,0,0,0,0,0,0,0,0
BE_K00051,Eeklo,39002,35708,2509,0,8765,5141,2335,7738,3448,3697,1440,441,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,0
BE_K00052,Eghezée,23176,21056,1350,0,0,0,0,0,0,0,0,0,0,5201,2861,5556,3611,202,742,0,298,67,402,419,0,0,0,218,0,10,119,0,0,0,0,0,0,0
BE_K00053,Enghien,15392,13706,1014,0,0,0,0,0,0,0,0,0,0,3305,1884,4009,1804,0,799,0,184,59,205,183,0,0,0,107,103,12,38,0,0,0,0,0,0,0
BE_K00054,Erezée,4763,4362,286,0,0,0,0,0,0,0,0,0,0,1006,439,1067,1090,66,88,0,57,31,0,170,0,0,0,60,0,2,0,0,0,0,0,0,0,0
BE_K00055,Estaimpuis,9487,8493,813,0,0,0,0,0,0,0,0,0,0,1457,958,3343,1182,0,144,0,157,31,170,72,0,0,0,54,85,8,19,0,0,0,0,0,0,0
BE_K00056,Etalle,12317,11238,1028,0,0,0,0,0,0,0,0,0,0,2121,1445,2418,3381,176,237,0,189,60,0,125,0,0,0,52,0,6,0,0,0,0,0,0,0,0
BE_K00057,Eupen,25875,21984,2556,0,0,0,0,0,0,0,0,0,0,5033,4349,3790,3780,327,294,0,170,277,0,75,0,0,0,111,0,28,32,0,1015,34,113,0,0,0
BE_K00058,Evergem,26056,23561,1320,0,6927,2779,1481,3820,2608,2838,1226,411,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0
BE_K00059,Fauvillers,1557,1443,107,0,0,0,0,0,0,0,0,0,0,291,169,225,532,27,42,0,20,12,0,12,0,0,0,5,0,1,0,0,0,0,0,0,0,0
BE_K00060,Ferrières,3588,3212,215,0,0,0,0,0,0,0,0,0,0,784,528,821,529,24,55,0,66,22,0,73,0,0,0,42,0,2,5,0,18,1,27,0,0,0
BE_K00061,Fléron,63265,55644,2655,0,0,0,0,0,0,0,0,0,0,13910,6493,18282,7172,469,1773,0,834,471,0,751,0,0,0,1412,0,80,215,0,206,144,777,0,0,0
BE_K00062,Flobecq,7052,6285,495,0,0,0,0,0,0,0,0,0,0,1442,551,2186,1087,0,163,0,85,26,83,55,0,0,0,55,44,1,12,0,0,0,0,0,0,0
BE_K00063,Florennes,8507,7662,651,0,0,0,0,0,0,0,0,0,0,1461,579,1998,1910,75,240,0,142,32,286,166,0,0,0,74,0,21,27,0,0,0,0,0,0,0
BE_K00064,Florenville,7919,7135,601,0,0,0,0,0,0,0,0,0,0,1222,669,2755,1347,108,132,0,104,45,0,121,0,0,0,28,0,3,0,0,0,0,0,0,0,0
