gisco_id,name,registered,turnout,invalid,blank,Open VLD,sp.a-spirit,CD&V,VB (1979),N-VA,Groen,VIVANT,LA,MARIA,B.U.B.,UFE,RESIST,MR,Ecolo,PS,LE,CDF,AGIR,R.W.F.,PCB-CPB,PCP,NATION,PC-RDS,NOOR,VB (2003),PH,PTB/PVDA,OMNIUM,VITAL,LSP/PSL,FRANCE,DL,MS,MDT,PDA,PPR,CHOPE
BE_K00144,Electoral Canton Nevele,23055,21908,947,0,5980,3727,6075,2002,1236,1598,167,59,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,31,0,0,0,0,0,0,0
BE_K00145,Electoral Canton Nieuport,8488,7770,518,0,1999,1816,1350,1321,389,200,72,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,10,15,12,0,0,0,0,0,0,0,0
BE_K00146,Electoral Canton Ninove,41359,39183,1952,0,11828,8525,6095,7513,1593,982,292,119,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,145,0,0,0,0,0,0,0
BE_K00147,Electoral Canton Nivelles,97971,87890,4745,0,0,0,0,0,0,0,1435,0,0,576,0,0,31734,6893,22063,12761,1199,4370,1191,499,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0
BE_K00148,Electoral Canton Oostrozebeke,12527,11973,800,0,2058,1703,4475,1840,751,176,65,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,35,12,14,0,0,0,0,0,0,0,0
BE_K00149,Electoral Canton Ostende,89964,82144,4460,0,18363,26962,10300,13012,4049,2273,889,588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724,0,195,151,178,0,0,0,0,0,0,0,0
BE_K00150,Electoral Canton Péruwelz,11533,10462,1164,0,0,0,0,69,0,0,91,0,0,0,0,0,2761,524,4118,840,89,480,134,40,0,57,0,0,0,0,29,0,0,0,41,11,14,0,0,0,0
BE_K00151,Electoral Canton Paliseul,10920,10147,902,0,0,0,0,0,0,0,75,0,0,0,0,0,2886,588,2514,2294,298,465,72,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,19,0
BE_K00152,Electoral Canton Peer,39327,37517,1519,0,6257,12764,7769,6290,1162,1033,414,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0
BE_K00153,Electoral Canton Perwez,18545,17424,704,0,0,0,0,0,0,0,223,0,0,51,0,0,6162,1606,4823,2822,284,495,152,74,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0
BE_K00154,Electoral Canton Philippeville,11461,10624,943,0,0,0,0,0,0,0,129,0,0,18,0,0,3016,550,3311,1674,80,643,127,0,0,0,0,0,0,0,53,0,0,0,0,0,13,0,0,0,67
BE_K00155,Electoral Canton Poperinge,14901,13981,817,0,3312,3268,3701,1676,607,379,103,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,19,16,17,0,0,0,0,0,0,0,0
BE_K00156,Electoral Canton Puurs,34092,31944,857,0,5709,6415,10134,5720,1027,1443,283,223,0,47,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00157,Electoral Canton Renaix,22613,20866,1649,0,5495,4689,3119,4045,418,560,319,260,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,183,0,0,0,0,0,0,0
BE_K00158,Electoral Canton Riemst,11051,10626,512,0,2650,2167,2643,1269,1127,128,75,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
BE_K00159,Electoral Canton Rochefort,8891,8294,586,0,0,0,0,0,0,0,60,0,0,6,0,0,3907,559,1488,1291,70,227,47,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,0,33
BE_K00160,Electoral Canton Roulers,59179,55796,3298,0,10020,13114,14508,7360,4892,1623,385,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,94,81,79,0,0,0,0,0,0,0,0
BE_K00161,Electoral Canton Ruiselede,13993,13347,895,0,2434,1815,5230,1588,753,332,187,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,20,14,16,0,0,0,0,0,0,0,0
BE_K00162,Electoral Canton Saint-Gilles,19460,16675,589,0,297,306,120,527,51,200,155,40,158,38,0,0,2872,2343,6563,987,144,485,73,0,388,33,151,131,14,10,0,0,0,0,0,0,0,0,0,0,0
BE_K00163,Electoral Canton Saint-Hubert,7560,7046,540,0,0,0,0,0,0,0,70,0,0,0,0,0,1833,361,2434,1274,201,169,45,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,14,0
BE_K00164,Electoral Canton Saint-Josse,84387,72882,2351,0,1760,1244,1274,2239,260,446,586,142,285,211,0,0,25601,6853,13398,10149,2492,2115,422,0,564,90,198,58,100,44,0,0,0,0,0,0,0,0,0,0,0
BE_K00165,Electoral Canton Saint-Nicolas,84939,77778,3097,0,10267,12549,8008,10648,2579,2085,942,303,0,106,0,0,6024,1587,14122,2682,221,1366,182,0,0,0,162,0,0,0,440,0,0,133,103,0,50,65,57,0,0
BE_K00167,Electoral Canton Saint-Trond,41560,39332,2046,0,7597,12710,8734,5793,1101,638,415,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
BE_K00168,Electoral Canton Saint-Vith,21231,19150,2455,0,0,0,0,0,0,0,1323,0,0,0,0,0,5881,1054,2880,4498,356,369,48,0,0,0,24,0,0,0,109,0,0,0,26,0,36,23,68,0,0
BE_K00169,Electoral Canton Sainte-Ode,4902,4607,307,0,0,0,0,0,0,0,18,0,0,0,0,0,1727,190,846,1293,72,116,19,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0
BE_K00170,Electoral Canton Schaerbeek,77957,66344,2657,0,1921,1494,981,4497,333,595,563,147,514,223,0,0,17124,6177,18065,5717,798,2311,234,0,1390,102,308,90,59,44,0,0,0,0,0,0,0,0,0,0,0
BE_K00171,Electoral Canton Seneffe,39669,36281,2623,0,0,0,0,244,0,0,434,0,0,0,0,0,7586,2237,14358,4208,472,2499,466,313,0,144,0,0,0,0,204,0,0,0,159,245,89,0,0,0,0
BE_K00172,Electoral Canton Seraing,46866,41799,2249,0,0,0,0,0,0,0,761,0,0,0,0,0,8649,2711,19813,3316,338,2276,281,0,0,0,310,0,0,0,584,0,0,0,222,0,89,109,91,0,0
BE_K00173,Electoral Canton Sint-Gillis-Waas,26120,24856,1039,0,5794,4953,5027,5082,1320,917,273,231,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,42,0,0,0,0,0,0,0
BE_K00174,Electoral Canton Soignies,39043,35668,2577,0,0,0,0,261,0,0,362,0,0,0,0,0,10303,2288,12180,4391,347,1912,389,200,0,73,0,0,0,0,130,0,0,0,124,26,105,0,0,0,0
BE_K00175,Electoral Canton Spa,23251,20648,1555,0,0,0,0,0,0,0,320,0,0,0,0,0,7195,1308,6289,2292,210,937,273,0,0,0,44,0,0,0,52,0,0,0,82,0,50,20,21,0,0
BE_K00176,Electoral Canton Stavelot,11494,10445,825,0,0,0,0,0,0,0,138,0,0,0,0,0,3843,757,2427,1792,126,286,151,0,0,0,18,0,0,0,24,0,0,0,23,0,12,8,15,0,0
BE_K00177,Electoral Canton Tamise,31421,29544,939,0,6412,6719,5152,6426,999,1071,319,1261,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,59,0,0,0,0,0,0,0
BE_K00178,Electoral Canton Termonde,59033,55045,1847,0,14561,12649,10950,9719,2612,1621,495,268,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,123,0,0,0,0,0,0,0
