gisco_id,name,registered,turnout,invalid,blank,Open VLD,VB (1979),CD&V,Groen,sp.a-spirit,LDD,PTB/PVDA,CAP,NP-FN,MR,Ecolo,PS,LE,AGIR,CDF,R.W.F.,B.U.B.,PCB-CPB,VÉLO,FDB,PJM,Trefle,RW,PW,WDA,VIVANT,DLC,MP Education,UMP-B,Pluralis,GSCD,BP,VITAL
BE_K00183,Electoral Canton Torhout,15823,14928,795,0,1794,1649,5335,730,2849,1627,59,38,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
BE_K00184,Electoral Canton Tournai,49680,44071,3578,0,0,0,0,0,0,0,77,82,0,13097,5484,12618,5329,1954,222,421,38,617,0,0,0,0,124,120,107,184,19,0,0,0,0,0,0
BE_K00185,Electoral Canton Turnhout,59250,55217,2491,0,7277,11126,19068,3843,7726,2884,490,246,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00186,Electoral Canton Uccle,72530,60887,1938,0,1039,902,709,342,497,166,209,158,0,25071,9729,10047,7219,1495,262,259,137,205,152,62,232,57,0,0,0,0,0,0,0,0,0,0,0
BE_K00187,Electoral Canton Verlaine,7135,6522,299,0,0,0,0,0,0,0,35,17,0,1961,1143,1911,718,244,24,55,0,22,0,0,0,0,35,0,12,28,0,10,8,0,0,0,0
BE_K00188,Electoral Canton Verviers,39847,34286,2663,0,0,0,0,0,0,0,131,53,0,9344,3860,8419,6308,2034,155,355,0,332,0,0,0,0,118,0,107,156,0,230,21,0,0,0,0
BE_K00070,Electoral Canton Furnes,38642,35318,1738,0,7464,3805,9840,1746,5375,4863,199,84,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
BE_K00189,Electoral Canton Vielsalm,8930,8225,718,0,0,0,0,0,0,0,0,0,0,1687,1065,1554,2696,302,41,105,0,50,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
BE_K00190,Electoral Canton Vilvorde,59439,54013,2377,0,8161,10978,11025,2753,6917,2529,146,123,0,3292,1010,2402,1272,455,179,48,125,64,16,70,44,27,0,0,0,0,0,0,0,0,0,0,0
BE_K00191,Electoral Canton Virton,17034,15608,1377,0,0,0,0,0,0,0,0,0,0,3315,1867,3637,4129,672,55,400,0,139,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
BE_K00192,Electoral Canton Visé,16765,15360,739,0,0,0,0,0,0,0,97,26,0,5412,1587,4441,2072,565,49,112,0,36,0,0,0,0,70,0,21,43,0,78,12,0,0,0,0
BE_K00193,Electoral Canton Vleteren,2827,2670,172,0,439,339,994,124,243,330,12,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
BE_K00067,Electoral Canton Fourons,2524,1348,137,0,160,235,642,60,71,23,5,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BE_K00194,Electoral Canton Waarschoot,6222,5779,278,0,1142,751,1985,292,801,439,73,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00195,Electoral Canton Walcourt,13224,12186,795,0,0,0,0,0,0,0,59,0,0,3816,1373,3188,1547,974,43,201,37,0,0,0,0,0,103,0,50,0,0,0,0,0,0,0,0
BE_K00196,Electoral Canton Waremme,36151,33455,2016,0,0,0,0,0,0,0,162,40,0,9717,3620,12273,3643,1192,62,224,0,207,0,0,0,0,90,0,78,85,0,23,23,0,0,0,0
BE_K00197,Electoral Canton Wavre,97468,87770,3304,0,0,386,0,0,0,0,237,0,0,41083,15213,11723,10991,2064,451,929,280,428,0,0,0,0,0,0,233,0,0,0,0,0,105,343,0
BE_K00198,Electoral Canton Wellin,5023,4689,279,0,0,0,0,0,0,0,0,0,0,1477,436,974,1205,216,8,52,0,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
BE_K00199,Electoral Canton Wervik,13549,12677,788,0,1349,1889,4098,630,2728,1016,86,28,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
BE_K00200,Electoral Canton Westerlo,49346,46236,2887,0,5559,9379,17808,2193,4580,3209,428,129,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00201,Electoral Canton Wetteren,36945,34991,1501,0,8869,5410,8818,2245,4271,3572,198,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00203,Electoral Canton Zandhoven,70510,64529,2283,0,11973,15779,19709,4054,6242,3703,542,184,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00204,Electoral Canton Zaventem,65450,59127,2142,0,10023,6794,9575,2327,3607,1559,109,77,0,12559,3078,2321,3674,504,272,101,206,45,43,57,31,23,0,0,0,0,0,0,0,0,0,0,0
BE_K00205,Electoral Canton Zele,26828,25146,1149,0,7390,4452,7120,948,2539,1292,185,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00206,Electoral Canton Zomergem,20183,18826,971,0,4368,2543,6391,1274,1894,1171,183,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00207,Electoral Canton Zonnebeke,9255,8682,583,0,1348,1058,3120,320,1289,875,29,27,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
BE_K00208,Electoral Canton Zottegem,20094,18827,858,0,4284,2457,4596,1192,4257,1040,101,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_K00105,Electoral Canton Léau,16714,15699,913,0,2981,2650,4801,435,2937,826,100,29,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
