gisco_id,name,registered,turnout,invalid,blank,N-VA,Open VLD,CD&V,Vooruit,VB (1979),Groen,SD&P,PTB/PVDA,PP (2009),ROSSEM,B.U.B.,PVGW,DéFI,PS,MR,LE,PTB-GO,Ecolo,R!,FPN,La Droite,WDA,LO,RW,P+,NATION,R.W.F.,FW,NWA,MGJOD,LDD,VLC,PP [Parti Pensionnés],ISLAM,CIM,VPB,GC,Égalitaires !,P-Lib,Agora Erasmus,La Lutte,MOVE
BE_44012,De Pinte,0,7744,198,0,2157,1617,1979,617,179,791,0,131,52,6,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_34009,Deerlijk,0,8657,409,0,2488,1007,2145,1241,363,621,0,111,0,20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0
BE_44011,Deinze,0,21761,1032,0,6378,3912,4554,2468,900,1887,16,400,133,47,24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_41011,Denderleeuw,0,13377,770,0,4539,1616,1729,2341,1208,738,45,254,72,29,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_42006,Dendermonde / Termonde,0,32009,1410,0,10384,4231,6403,4090,2243,2176,42,626,256,81,44,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_37002,Dentergem,0,6215,332,0,2709,556,1138,671,274,316,0,60,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
BE_13006,Dessel,0,6691,325,0,3099,416,1478,510,402,272,0,135,30,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_44013,Destelbergen,0,13015,467,0,4290,2759,1839,1391,571,1216,9,328,100,29,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_71011,Diepenbeek,0,13568,713,0,4774,1480,2495,1792,924,885,0,327,126,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24020,Diest,0,16849,850,0,4674,3661,2482,2714,811,1178,0,342,43,47,28,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_32003,Diksmuide / Dixmude,0,12282,693,0,3458,1513,2596,2091,498,600,0,171,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0
BE_23016,Dilbeek,0,26575,1118,0,6827,7959,3482,2298,899,2012,0,358,114,28,160,0,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_72041,Dilsen-Stokkem,0,13446,889,0,3540,2322,2745,2192,805,553,0,277,81,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_91034,Dinant,0,8925,851,0,0,0,0,0,0,0,0,0,301,0,25,0,191,1894,2802,1345,376,628,176,0,148,0,0,0,0,61,53,15,26,0,0,0,0,0,0,33,0,0,0,0,0,0
BE_63020,Dison,0,8383,819,0,0,0,0,0,0,0,0,0,842,0,16,0,146,2804,1096,1021,428,565,143,0,130,96,0,0,0,24,17,4,0,0,0,67,60,102,3,0,0,0,0,0,0,0
