gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_21004,Bruxelles / Brussel,0,78294,5880,0,1659,1683,1516,1045,1573,20073,3803,148,647,14509,12229,4526,6207,614,2182,0,0,0
BE_25014,Braine-l'Alleud / Eigenbrakel,0,26350,1476,0,0,0,0,0,0,1962,0,0,0,2770,12594,3496,2889,313,850,0,0,0
BE_25015,Braine-le-Château / Kasteelbrakel,0,7086,452,0,0,0,0,0,0,573,0,0,0,874,3144,972,713,132,226,0,0,0
BE_55004,'s Gravenbrakel / Braine-le-Comte,0,15352,1177,0,0,0,0,0,0,1896,0,0,0,2543,5684,1993,1418,270,371,0,0,0
BE_64015,Braives,0,4989,395,0,0,0,0,0,0,483,0,0,0,692,2062,719,437,99,102,0,0,0
BE_45059,Brakel,0,11466,716,0,3011,1699,1314,1171,2062,481,838,129,45,0,0,0,0,0,0,0,0,0
BE_11008,Brasschaat,0,26542,846,0,5727,9070,2441,2402,2004,1363,2273,199,217,0,0,0,0,0,0,0,0,0
BE_11009,Brecht,0,21432,754,0,6409,6455,1773,2536,1228,795,1148,216,118,0,0,0,0,0,0,0,0,0
BE_35002,Bredene,0,13385,690,0,4031,2369,2613,1070,661,809,859,205,78,0,0,0,0,0,0,0,0,0
BE_72004,Bree,0,11924,572,0,3216,2638,934,2286,973,591,578,80,56,0,0,0,0,0,0,0,0,0
BE_51012,Brugelette,0,2608,268,0,0,0,0,0,0,354,0,0,0,490,870,310,191,58,67,0,0,0
BE_KAE004,Foreign Voters - Flandre occidentale,4496,1968,65,0,296,288,191,187,304,91,464,35,47,0,0,0,0,0,0,0,0,0
BE_57093,Brunehaut,0,5473,547,0,0,0,0,0,0,712,0,0,0,1218,1588,803,381,109,115,0,0,0
BE_KAE003,Foreign Voters - Bruxelles-Hal-Vilvorde,15739,6434,450,0,232,231,68,64,178,295,201,13,93,857,1872,396,1240,58,186,0,0,0
BE_42004,Buggenhout,0,11130,445,0,3134,2596,1127,1553,844,474,819,83,55,0,0,0,0,0,0,0,0,0
