gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,BLANCO,GV,B.U.B.,L’Unie,DierAnimal,Volt,PS,MR,LE,Ecolo,Chez Nous,DéFI,CC,LO,RMC,Agora,TFA
BE_23038,Kampenhout,0,8745,335,0,1648,2652,854,1094,887,490,534,111,87,0,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_23039,Kapelle-op-den-Bos,0,7217,575,0,1395,2134,953,935,425,293,365,75,40,0,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11023,Kapellen (Antwerpen) / Kapellen (Anvers),0,18713,533,0,3866,6932,1721,1325,1724,959,1187,128,97,0,13,0,184,44,0,0,0,0,0,0,0,0,0,0,0
BE_43007,Kaprijke,0,4890,234,0,1087,1146,539,847,441,224,283,40,33,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_13017,Kasterlee,0,14286,466,0,3227,4610,1293,2373,728,542,707,117,75,0,19,0,87,42,0,0,0,0,0,0,0,0,0,0,0
BE_24048,Keerbergen,0,9500,254,0,1645,3287,1026,924,1280,352,475,161,68,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_63040,Kelmis / La Calamine,0,4719,598,0,0,142,0,0,0,336,0,0,62,0,32,0,0,0,910,811,1107,397,245,46,25,0,8,0,0
BE_72018,Kinrooi,0,7492,387,0,1844,1309,478,2579,244,308,233,46,49,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_45060,Kluisbergen,0,4921,262,0,1140,944,462,683,680,258,378,44,53,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_31043,Knokke-Heist,0,22603,728,0,4375,8583,1854,1938,3336,675,750,258,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_32010,Koekelare,0,6454,388,0,1800,953,1340,860,543,203,146,175,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_21011,Koekelberg,0,9026,571,0,233,268,0,0,0,1609,0,34,55,0,21,13,0,41,2394,1376,593,788,0,297,93,22,0,18,600
BE_38014,Koksijde,0,16273,587,0,2415,5774,1867,1651,2461,487,706,200,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_11024,Kontich,0,15170,336,0,2364,5899,1406,1525,1215,915,1131,129,85,0,19,0,106,40,0,0,0,0,0,0,0,0,0,0,0
BE_32011,Kortemark,0,9261,531,0,2585,1696,1396,1518,731,291,300,133,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24054,Kortenaken,0,6005,287,0,1518,1471,729,819,529,254,199,105,68,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_24055,Kortenberg,0,13415,498,0,2145,3682,1593,1761,1612,767,925,170,110,0,90,62,0,0,0,0,0,0,0,0,0,0,0,0,0
BE_73040,Kortessem,0,6478,320,0,1494,1408,646,1074,671,412,314,48,78,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
